text,pengaksesan,transaksi,akun,cs,performa
kecewa dana transaksi transfer rekening baca terikim alias nyangkut minggu pengembalian email whatsapp telpon costomer care disuruh menunggu terus kurang profesional slow respon tunggu iktikad kabar sebaiknya soal akun,0.0,1.0,1.0,1.0,0.0
dana benar mengecewakan akun bekukan login minggu uang saldo tahu hangus telponn cs kali akun tetap login tahu konplean kemana kecewa pengguna dana cukup pesan pribadi perbaiki nasabah kecewa,1.0,1.0,1.0,1.0,0.0
menggunakan dana kali kecewa transfer rekening bank statusnya pending melihat ulasan google kasus transfer rekening bank pending terjadi nominal besar menghubungi cs whatsapp sibuk email jawaban telepon sibuk pelayanan dana jadi menurun kapok mengunakan dana untuk transaksi digital,0.0,1.0,0.0,1.0,0.0
hubungi admin dana kemana masalah gimana masalah uang tertahan dana pembelian bukalapak ditolak seller aduh uangnya dibalikin saldo akun bukalapak masuk dana gimana nasib uang ya jadi urusannya dana bukalapak gimana tanggung jawabnya bukalapak ammppun belanja jadi puu iingg aduh jadi mulai mikir deh belanja bukalapak,0.0,1.0,1.0,0.0,0.0
aplikasi sampah uang ketahan menunggu gara tf gagal giliran chat lewat whatsapp dm twitter email respon pas ditelpon cs bicara sebentar langsung matiin habis pulsa ribu tanya cs menit bicara langsung panggilan akhiri aplikasi jelek download download deh slow respon benar cs,0.0,1.0,0.0,1.0,0.0
dibantu prosesnya transfer pending terus bintang satu balik uangnya terkirim secepatnya tambah bintangnya proses urgent untuk berobat terima,0.0,1.0,0.0,0.0,0.0
tf ovo hitungan detik uang berhasil berhasil uang kepotong proses berlangsung ovo masuk aman uang kepotong trasnferan berhasil,0.0,1.0,0.0,0.0,0.0
menyesal banget pakai dana pas aplikasi terus klik kirim uang muter muter terus sinyal full pihak dana perbaiki server janji terus pindah dompet digital gopay ovo,0.0,1.0,0.0,0.0,0.0
kirim email prihal pelepasan akun premium proses selesai pertanyaan persyaratan kirim kejelasan terkait permasalahan lambat responnya menghapus ulasan berarti pihak dana menyelesaikan keluhan,0.0,0.0,1.0,1.0,1.0
kemarin benar berhasil konfirmasi upgrade premiumnya berubah gagal konfirmasi kak kemarin senang topup terus cape kak komplain terakhir kali berhasil lebih baik pakai aplikasi terimakasih,0.0,1.0,1.0,0.0,0.0
parah untuk responnya untuk aplikasi memperkerjakan customer service untuk melayani customer customer puas pelayanannya menunggu uang dbutuhkan respon cepat kecewa,0.0,1.0,0.0,1.0,1.0
aplikasinya diperbaiki meng update meng uprage akun jadi premium dua bulan akun premium mengikuti prosedurnya pencerahannya uang didalamnya,0.0,1.0,1.0,0.0,0.0
kembalikan saldo jam menunggu saldo berkurang transaksi tulisannya aplikasi menunggu menunggu hubungi via whatsapp penuh layanan email balasannya solusinya,0.0,1.0,0.0,1.0,0.0
hai kak kritik terkait penggunaan dibagian pembayaran pulsa data listrik digital voucher dan lain-lain loading jam pm jam aplikasi terbuka bagian elektronik payment cara lakukan update aplikasi clear cache untuk koneksi internet test jaringan stabil tetap sekian terimakasih ditunggu pembaruannya,0.0,1.0,0.0,0.0,0.0
nomor handphone blokir jadi log ganti nomor handphone menggunakan akun dana lapor berkali untuk mengganti nomor handphone tanggapan menunggu menunggu menunggu sumpah menyesal banget memberikan nomor nik jadinya,0.0,0.0,1.0,0.0,0.0
saran pengguna aplikasi dana mulai pakai aplikasi dana selamatkan uang rekan tf uang dana uang masuk dana,0.0,1.0,0.0,0.0,0.0
akun dibuka mengganti kata sandi kecewa akun terus dibekukan katanya menunggu menit menit disuruh menunggu satu jam salah,0.0,0.0,1.0,0.0,0.0
awalnya bahagia menggunaan dana recommendasiin pcr untuk download trx menggunakan dana saldo kepotong sananya masuk dirowayat pengiriman ketnya proses telepon cust service email whatsapp dana solusinya masalah handling complaint ditingkatkan trimakasih,0.0,1.0,0.0,1.0,0.0
akun dibekukan kembali berikan penjelasan kirim email untuk pengaduan masalah aplikasi tindak lanjut jelas menggunakan dana untuk transaksi penting,0.0,1.0,1.0,1.0,0.0
dana tipu saldo ribu verifikasi premium error terus mengikuti intruksi berikan kembalikan saldo dana laporkan kepihak berwajib atas tindakan penipuan,0.0,1.0,1.0,0.0,0.0
menghubungi customer service maksudnya login dana sulit untuk login dompet digital nama terima hukum berlaku,1.0,0.0,0.0,0.0,0.0
berulang kali upgride premium photo ktp kurang jelas kesalahan capil mengurus ktp mampus susahnya lengkapi paspojuga kemarin sim tolonglah rumit aplikasi ktp digunakan persepsi orang buruk dana,0.0,0.0,1.0,0.0,0.0
aplikasinya bagus sayang untuk mengatasi masalah buruk uang nggak tahu kemana terkirim nggak dikembalikan nggak hubungi lewat whatsapp dilempar email pas email solusi telpon nggak,0.0,1.0,0.0,1.0,0.0
transfer bank riwayat tertulis menunggu tunggu masuk jadi jelas aplikasi uang kembali sebarin teman teman donwload tahu jeleknya aplikasi,0.0,1.0,0.0,0.0,0.0
