text,pengaksesan,transaksi,akun,cs,performa
makai aman kendala aplikasi bagus banget lancar mbangkin lambat untuk transfer bank bumn gratis senang banget pokoknya pakai app saran untuk fitur isi saldo debit card fitur dirilis isi saldo bolak balik banking terus habis transaksi saldo layar awal berubah bertambah kurangnya saldo jendela refresh tutup,0.0,1.0,0.0,0.0,1.0
selamat sore jawabannya tanggal mengisi saldo mandiri onlen dua kali masuk satu kali rekening terkirim dua kali pertanyaan kedua mengisi masiluk linkaja kemana kira kira uangnya,0.0,1.0,0.0,0.0,0.0
benar benar kapok isi saldo ribu rekening kepotong saldo masuk masuk komplain suruh menunggu merugikan nasabah laporkan ojk media konsumen hati transaksi menggunakan linkaja uang aman dirugikan pandemi mengambil hak orang,0.0,1.0,0.0,0.0,0.0
halo link dibantu aplikasi tiba minta update update saldo didalam pas masuk pakai nomor handphone nomor handphone mati bantu solusinya uang disana terima kasih,0.0,1.0,0.0,0.0,0.0
susah transfer gagal nominal sesuai no pengiriman benar kemarin trf alasan masuk akal maintenance jam,0.0,1.0,0.0,0.0,0.0
pelayanannya susah jadi salah isi pulsa nomor satunya nomor aktif jadinya pulsanya masuk aktifin nomor tetap pulsa masuk refund ngehubungi via chat susah banget,0.0,1.0,0.0,0.0,0.0
puas sistem pelayanan cs awal kali komplain dilayani bot secara berbelit pas mengobrol agen jawabannya pakai template gak bedanya mengobrol manusia robot menerima pengaduan pelanggan pengguna linkaja namanya cash semenjak cash menjadi linkaja kualitas pelayanan pelanggan turun dua kali komplain dibeginikan,0.0,0.0,0.0,1.0,0.0
komplain salah memasukkan nomer pembelian data menjadi tanggung jawab pemegang link oke nomer aktif aktif terus saldo pengisian pulsa dijadikan bisnis provider link,0.0,1.0,0.0,0.0,0.0
update masalah transaksi lancar aplikasi keluar melakukan pembayaran pakai scan qris perbaiki soalnya mals pakai app sejenis,0.0,1.0,0.0,0.0,0.0
link ribet upgrde jadinya susah uang nomornya aktif memeprsulit mendowlond aplikasi sekira enak eh teryata mempersulit jadi suka memakai link,0.0,1.0,0.0,0.0,0.0
diupdate versi jadi lambat fitur titik tiga jadi blank jadi bayar internet versi masalah dibuka memaksa pelanggan versi bug ok if work don fix,0.0,0.0,0.0,0.0,1.0
habis upgrade tidak bisa cari nomer ditrasfer fine diperbaiki ganti untuk penilaiannya kembali,0.0,0.0,1.0,0.0,0.0
upgrade versi terbaru masalah link terbuka aplikasinya salah dimana dibantu aplikasi dibuka keluar option pilih bahasa dipilih terus keluar aplikasi henk terima kasih,0.0,0.0,1.0,0.0,0.0
tolonh perbaiki min update kontak handphone jadi terbaca android dipercepat time loading isi pulsa indosat kali topup mbangking masuk saldonya link why,0.0,1.0,0.0,0.0,0.0
amplikasi mainan sungguh sungguh butuh nasabah masa ktp poto burulang kali rumah keluar rumah gam sekalinya isi data poto wajah ujungnya gagal jadi lelah admin sirius handphone pakai telkomsel butuh digital untuk nabung uang terkumpul transfer rekening ambil istri kampung suruh mengeluh imel lingaja butuh nasabah hubungi,0.0,1.0,1.0,0.0,0.0
gagal memasukkan pin dianjurkan untuk reset pin via call center via email via pertanyaan keamanan diatur telepon call center disetiap kalibrasi data terputus solusi untuk reset pin,1.0,0.0,0.0,1.0,0.0
handphone rusak plus kartu login terdaftar aplikasi masuk menggunakan kartu halnya aplikasi mytelkomsel aplikasi login kartu masuk aplikasi lewat verifikasi gmail harapkan aplikasi linkaja minim opsi untuk login kartu aplikasi,1.0,0.0,1.0,0.0,0.0
secepatnya proses transfer saldo atm bri tanggal agustus saldonya tahap proses diminta menunggu jam masalahnya jumlahnya gede dibutuh cepat gercep linkaja saldonya cepat balikin,0.0,1.0,0.0,0.0,1.0
kecewa banget peguna linkajh isi saldonya lewat atm aplikasi linkajh saldonya masuk hubungi pihak link bilang suruh menunggu terus menunggu saldo masuk kecewa,0.0,1.0,0.0,0.0,0.0
perlu untuk upgrade layanan memuaskan baik suruh upgrade versi copot versi ingat kata sandi,0.0,0.0,1.0,0.0,0.0
kecewa aplikasi kemarin menarik uang linkaja atm jadi transfer uangku rekening bri ku eh tiba pending uangku masuk rekeningku dicancel jadi statusnya pending terus giliran email cs disuruh menunggu senin gila kali disuruh menunggu menarik uang pendingnya udah bilang butuh uang seenaknya ditahan uangku aplikasi,0.0,1.0,0.0,1.0,0.0
mempersulit pelanggan pelanggan setia link makai masalah tiba upgrade aplikasinya kebetulan no mati patah kartunya hubungi pihak xl onlen reaktivasi kartunya mengisi formulir pemindahan saldo secara lengkap pakai softcopy disuruh isi data secara ulang email meminta cap tanda basah operator uang kembali susah susah,0.0,1.0,1.0,1.0,0.0
informasi lingaja keluar suruh daftar kembali tanggal agt informasi gmail prakerja selamat menyambung rekening ling tanggal mintak ling untuk memasukan no handphone ling kemarin masik normal bantuannya uang prakerja pergunakan,0.0,1.0,0.0,0.0,0.0
maaf knapa waktu ambil foto untuk update full service susahnya meminta ampun permudah ambil berkali kali hasilnya bagus sesuai instruksi jawaban foto terbaca terus ganti handphone kulaitas handphone bagus bingung bintang satu sukses upgrade,0.0,0.0,1.0,0.0,0.0
untuk menu favorit transaksi trasfer rekening bank bpjs muncul tampilan menu favorit disimpan data menu favorit tapai sehabis update terakhir kemarin jadi hilang nyimpan menu transaksi bug diperbaiki transaksi menggunakan link ribet perlu kartu bebas tranfer ambil duit atm link kartu,0.0,1.0,0.0,0.0,0.0
alhamdulilah tahun link cukup puas memakai jasa untuk pembayaran pln net pam kedepan semoga membayar pajak pbb untuk kabupaten terhubung shopee pay,0.0,1.0,0.0,0.0,0.0
log susah banget kode verifikasi keluar pas kode tidak bisa autofill copy paste aplikasi upgrade jadi buruk banget,1.0,0.0,1.0,0.0,0.0
bintang berkurang kendala nomer telfon pakai terpakai solusi mudah link gara nomer tlfn pakai link mati jadi terima kode verifikasi solusinya min saldo link suka banget pakai link kali kendala trimakasih,1.0,1.0,1.0,1.0,0.0
menghubungi lewat email disuruh melampirkan data berkas pendukung salah satu kartu keluarga memfoto kartu keluarga asli ditolak dikira fotocopy kertasnya hvs putih diberikan edukasi verifikator dokumen kartu keluarga terbaru disdukcapil menggunakan kertas hvs putih jadi dikira fotocopy,0.0,0.0,0.0,1.0,0.0
aplikasi aneh top up gak masak telfon call center suruh menunggu jam tunggu tetap gak masuk telfon katanya suruh menunggu aneh,0.0,1.0,0.0,1.0,0.0
barusan habis update terima kode verifikasi akun berkali coba jadi susah untuk transaksi,1.0,1.0,1.0,0.0,0.0
halo selamat siang menyampaikan ketidaknyamanan mengunduh bergabung linkaja melakukan upgrade full service mengambil gambar mengunggah foto ktp gagal gambar ambil berubah ukuran menjadikan kualitas gambar jelek,0.0,0.0,1.0,0.0,0.0
bintang untuk linkaja tahun pakai linkaja baik lancar bertransaksi tranfer bank dan lain-lain memperbarui aplikasi kemarin versi eh transaksi transfer uang bank kebijakan pembaruan baik menghancurkan versi versi kecewaa,0.0,1.0,0.0,0.0,0.0
top up pulsa gagal balik upgrade versi jadi ngelag terus cek emoney maunya lancar versi,0.0,1.0,1.0,0.0,0.0
bintang saran topup alfamayg menggunakan nomor token cukup nomor handphone terdaftar linkaja gampang praktis pakai nomor terdaftar ketimbang nomor token berlaku menit krang maksimal topup menggunakan nomor handphone terdaftar bintang,0.0,1.0,0.0,0.0,0.0
saran bolehkan tim linkaja memproses keamanan akun transaksi penambahan kode otp pin tolonglah bagus perlu diotak atik diupdate terakhir nutup lambat perlu kacau aplikasi jengkel,1.0,1.0,1.0,0.0,1.0
slow respon tengah malam layanan buruk ditingkatkan jam andalkan jadi baik memelihara server,0.0,0.0,0.0,1.0,0.0
halo min menambahkan metode pembayaran tertulis halaman gagal dimuat bantuannya perlu,0.0,1.0,0.0,0.0,0.0
berikan update untuk menaikkan limit transfer perhari bank limit rp rasa selebihnya bagus terima,0.0,1.0,0.0,0.0,0.0
aplikasi update kacau tiga transaksi tercatat sukses saldo berkurang kartu toll mandiri menambah saldo komplain masalahnya tetap terulang untuk linkaja kedepan semoga menjadi aplikasi terbaik memperbaiki sistem,0.0,1.0,0.0,0.0,0.0
masalah aplikasi gampang hang kali memulai aplikasi akun keluar dilaman awal masukkan nomor handphone sandi terus tab favorit disimpan hilang semuamya lebih baik gak perlu mengeluarkan pembaharuan masalah pembaruan untuk menghilangkan masalah bug munculin masalah bug hah gunain link jadi niat ganti dompet digital sejenis deh,0.0,0.0,1.0,0.0,0.0
wow linkaja mantap pas aplikasi tanggal agustus mendadak saldo bertambah juta benar benar saldo mendadak terima linkaja,0.0,1.0,0.0,0.0,0.0
kak meminta bantuannya masuk susah nomernya betul masalah tiba tiba upgrade kak soalnya link pakai kerja susah masuk terus,0.0,0.0,1.0,0.0,0.0
aplikasi ampas sms verifikasi lambat masuk terlanjur waktu habis setengah jam masuk nomor kadaluarsa anjink percaya fintech kantor cabangnya kendala susah urusan kali kecewa app bye uninstall menyarankan orang aplikasi verifikasi mu basi ketinggalan zaman,0.0,0.0,1.0,0.0,1.0
verifikasi aneh verifikasi pakai sms pas sms aplikasi tutup masukkan nomor handphone verifikasi nomor lewat sms sms aplikasi tutup aplikasi masukkan nomor handphone verifikasi lewat sms sms aplikasi tutup tunggu menit kiamat login,1.0,0.0,1.0,0.0,0.0
aplikasi meminta diperbarui selsai diperbarui aplikasi meminta kode verivikasi sms kodenya masuknya terlambat menunggu waktu habis sms masuk jaringan bermasalh aman aman sedang apa diperbarui ribet solusi min ditop up meminta perbarui,1.0,1.0,0.0,0.0,0.0
diupdate saldo jadi hilang aplikasi jelas kayak tambah bagus jadi menyusahkan,0.0,1.0,0.0,0.0,0.0
uang aplikasi link ambil coba kasik bantuan ambil coba berkali kali tetap,0.0,1.0,0.0,0.0,0.0
update versi terbaru mengakses akun link nomor gunakan akun full service berharap menggunakan akun akun diganti nomor terimakasih,0.0,0.0,1.0,0.0,0.0
cukup maximal tambah logout melulu meminta verifikasi email melulu verifikasi email nomor jadi transaksi terhambat,0.0,1.0,1.0,1.0,0.0
upgrade versi jadi hang teman download untuk pertama kali handphone langsung jadi kedip versi perbaiki bugnya terimakasih,0.0,0.0,1.0,0.0,0.0
untuk upgrade akun sulit foto ktp blur masa aktif seumur hidup beri kemudahan aplikasi sebelah melampirkan dokumen,0.0,0.0,1.0,0.0,0.0
habis update data kontak ditemukan isi pulsa ketik nomernya lewat pencarian kontak datanya gimana,0.0,1.0,0.0,0.0,0.0
aplikasi bagus kebingungan mencari bank syariah indonesia bsi virtual akun briva solusinya,0.0,0.0,1.0,0.0,0.0
hai admin caranya upgrade terus diulang kali tetap solusinya soalnya ambil uang jadi ribet,0.0,1.0,1.0,0.0,0.0
ktp mulai buram daftar gagal cara data sesuai masalah ktp aja buram,0.0,0.0,1.0,0.0,0.0
kesan gak bagus coba transaksi pulsa smartfren ribu statusnya pending terus tombol batalkan jadi transaksi terus pending dibatalkan saldo berkurang cara menghubungi cs onlen via telegram whatsapp aplikasi tipu,0.0,1.0,0.0,1.0,0.0
update pilihan bank mengingat bank syariah indonesia bsi menu kirim uang gak pilihan bank bsi,0.0,1.0,0.0,0.0,0.0
aplikasi tidak bisa andalkan isi saldo saldo bertambah komplain suruh menunggu jam,0.0,1.0,0.0,0.0,0.0
haloo min bantu transfer baca link atas nama sarkowi no minal masuk link dana baca terpotong bukti transfer mbengking bantu min proses terima,0.0,1.0,0.0,0.0,0.0
versi terbaru susah banget login logout kendala versi jelek banget saldo link,1.0,1.0,0.0,0.0,0.0
halo min kemarin beli token listrik dipakai gagal terus diemail katanya berhasil digunain tlng informasi jelasny terima,0.0,1.0,0.0,0.0,0.0
bantu akun terblokir telpon membantu pulsa habis nelpon habis jadi uang lengket aplikasi dasar pemerasan,0.0,1.0,1.0,1.0,0.0
upgrade full servis gagal terus data masukan benar foto ktp terang dibantu,0.0,0.0,1.0,0.0,0.0
minn salah masukkan kode verifikasi terus suruh menunggu menit terus menunggu stengah jam terus link tiba keluar,1.0,0.0,1.0,0.0,0.0
akun keluar akunq premium uh menyebalkan paswod masukkan udah benar salah jelaz,0.0,0.0,1.0,0.0,0.0
aplikasi ewallet gak rugi biaya admin gratis kali kali transfer rek bank kayak aplikasi sebelah,0.0,1.0,0.0,0.0,0.0
link diversi terbarunya kena bug transfer pulsa pending untuk kembalikan saldo nama akun larasati no akun,0.0,1.0,1.0,0.0,0.0
habis update akun jadi hilang nomer daftar aktif soalnya tranfer pending,0.0,0.0,1.0,0.0,0.0
lalap masalah tf akun fullservice respon lambat tf bank status transaksi pending saldo terpotong responnya terimakasih,0.0,1.0,1.0,1.0,1.0
isi pulsa pending kepotong refund masuk pulsanya lapor jawabannya tunggu tunggu aplikasi mendukung,0.0,1.0,0.0,0.0,0.0
versi tambah nyaman super duper lambat jaringan full enakan versi lancar cepat waktu aplikasi gak kayak super lambat,0.0,0.0,0.0,0.0,1.0
aplikasi babi upgrade gagal terus isi data benar duit didalamnya diambi aplikasi bgstt babii,0.0,0.0,1.0,0.0,0.0
telpon untuk mengajukan keluhan biaya mahal woii deh ribu hilang transaksi terkirim tujuan transaksi alami transaksi pengiriman pulsa nominal ribu kali transaksi payah payah payah payah,0.0,1.0,0.0,1.0,0.0
ok banget appnya transaksi pending mencoba kontak email kal salah slow respon mencoba kirim dm akun twitternya selang uang masuk rekening tujuan status app pending sukses linkaja,0.0,1.0,1.0,1.0,0.0
dua minggu ber transaksi aplikasi linkaja top up saldo juta layanan linkaja aplikasi layak bintang mulai jenuh kurang percayalah aplikasi linkaja be tahun ok jelas,0.0,1.0,0.0,0.0,0.0
upgrade meng akses kontak dipengaturan izinkan akses kontak repot isi pulsa data,0.0,1.0,1.0,0.0,0.0
now watching transaksi aplikasinya heng terus ditingkatkan pelayanan mudah untuk bertransaksi terima,0.0,1.0,0.0,0.0,0.0
app sebelah warna biru baik kekurangan link top up pakai biaya admin warung sbeeluh biaya admin fitur tf bank sehari biaya admin transaksi langsung proses pakai pending status instal app salah satunya konek app my sel beli paket internet konek app my tsel link jadi beli pulsa manual statusnya pending mengecewakan,0.0,1.0,0.0,0.0,0.0
beli pulsa listrik apl keluar no token masukkan meteran listrik trnyta muncul tulisan terpakai coba bbrapa kali tetap gagal komplain lewat email dpet balesan no token msukkan ttpa terpakai saldo hilang ribu sgatlah berharga,0.0,1.0,0.0,1.0,0.0
habis update meminta verivikkasi nomor mati pakai nama orang gimana mengeluh saldo mengendap dilink dimakan,0.0,1.0,0.0,0.0,0.0
linkaja gimana link jadi error terus transaksi now watching isi pulsa keluar terus udah dihapus download keluar aplikasi terus diperbaiki jadi ribet saldo jadi ngendap transaksi beli paket kuota lewat telkomsel pembayaran via linkaja berhasil aneh,0.0,1.0,0.0,0.0,0.0
aneh ya aplikasi update full service pas foto ktp kamera blur pihak aplikasi jelas ktp kelihatan jelas,0.0,0.0,1.0,0.0,0.0
apknya download udah suruh update terus transaksi apknya udah top up,0.0,1.0,0.0,0.0,0.0
transaski isi saldo bank bri aplikasi brimo saldo terpotong masuk link terjadi perbaikan kecewa kecewa bintang mewakili penilaian,0.0,1.0,0.0,0.0,0.0
top up susah indomabilangnya eror niat aplikasi sesuai email sesuai nomer nomer dimintain verivikadi saldonya anjing payah,0.0,1.0,0.0,1.0,0.0
akun diblokir uang balik call center dihubungi salahkan customer jadi pelajaran developer untuk baik kemudahan penggunaan aplikasi komplain dibikin ruwet ruwet terus kerja ditempatmu coba baik tambah ruwet terimakasih,0.0,1.0,1.0,0.0,0.0
top up shopee upgrade gagal terus saldo terlanjur masuk link verifikasi mail gagal terus jaringan lancar solusinya,0.0,1.0,1.0,0.0,0.0
isi saldo gak masuk saldo rekening berkurang laporan data lengkap disuruh tunggu jam gak reversal saldo terus laporan jadinya dsuruh tunggu jadi jam dsuruh menunggu jam,0.0,1.0,0.0,0.0,0.0
login akun lancar saldo curi pihak linkaja jadi login cs hubungi tanggapan an,1.0,1.0,1.0,1.0,0.0
alhamdulillah bulan agustus transaksi mendapat bonus informasi promo konsisten untuk konsisten,0.0,1.0,0.0,0.0,0.0
luar untuk dunia dunia genggaman linkajja lawan grtis wow jadilah aplikasi emoney ter baik dunia kasihgems mendpatkan uang permudah penarikan jaya link,0.0,1.0,0.0,0.0,0.0
download aplikasi masalah pending transaksi apapun refundnya buruk aplikasi tanggapan admin respon sulit kasihan pelanggan aplikasi uang stuck aplikasi tindak lanjuti payah jelek perbaiki uninstall al ok,0.0,1.0,0.0,1.0,0.0
parah topup linkaja saldonya dipakai beli paket data aplikasi topup duitnya dipakai,0.0,1.0,0.0,0.0,0.0
kecewa banget tanggal juli transfer baca ribu kejelasan telfon baca udah berhasil saldo nol tlfon suruh nggu kirim bukti transfer bilang masuk hadeh,0.0,1.0,0.0,1.0,0.0
halo admin tf uang transaksi gagal saldo terpotong komplain masa prosrs penangan kerja minggu uang kembali tahi,0.0,1.0,0.0,0.0,0.0
transaksi pending saldo terpotong parahnya menunggu jam untuk tindaklnjuti sekian kalinya linkaja menjadi aplikasi melayani baik lebih baik hapus playstore,0.0,1.0,0.0,0.0,0.0
upgrade full gagal bolak balik kembali masukkan data awal maslh mesti foto ktp blur perbaikan systim kesalahan foto ktpnx foto kamera mp masak blurr,0.0,0.0,1.0,0.0,0.0
ribet transaksi beli paket data beli pulsa saldo berkurang notifikasi sukses pulsa masuk pakai apl linkaja bagus mengecewakan,0.0,1.0,0.0,0.0,0.0
halo link transfer bank bsi dulunya bank syariah jadi bsi update link tambah asik pakai apl terima,0.0,1.0,0.0,0.0,0.0
download instal pas meminta verifikasi no telepon berkali kali sms masuk he,0.0,0.0,1.0,0.0,0.0
kapok isi pulsa pulsa masuk komplain menunggu masuk komplain responnya menunggu kali pengecekan trxnya pulsa terus pulsa masuk dana refund dana kemanakan beri penjelasan cek trxnya untuk pengguna aplikasi baik coba isi pulsa pelayanan payah habis pulsa komplain via telepon terus,0.0,1.0,0.0,0.0,0.0
transfer rek bri sukses dibatalkan dikembalikan kak ternyata no rekeningnya tutup pas periksa bank uang masuk jadi kemana uangnya,0.0,1.0,0.0,0.0,0.0
isi saldo shopee lewat link keterangan pending googlling trnyta mengalami kasus katanya pending jam uang kembali rugi uang uang dagangan belanjakan uang muter lumayan pakai link kayak jadi kapok pakai linkaja lebih baik pindah aplikasi sebelah,0.0,1.0,0.0,0.0,0.0
admin isi pulsa masuk masuk perhatikan merugikan pengguna aplikasi proses penindakannya,0.0,1.0,0.0,0.0,0.0
email verifikasinya susah upgrade full servicenya susah alasan foto ktp blur kurang pencahayaan ribet,0.0,0.0,1.0,1.0,0.0
maaf bintang kurangi kecewa kali transfer ngegantung sabtu kembali dana dua kali tidak apa-apa sptnya bakal dana kembali cukup repot pas dana segitu digunakan,0.0,1.0,0.0,0.0,0.0
upgrade akun susahnya meminta ampun foto berulang kali ktp terbaca lelah banget lihat aplikasi hubungi lewat email tetap tidak ada perubahan solusi diberikan menyelesaikan masalah dikamera handphone foto ktp jelas pas halaman berikutnya tetap terbaca salah ktp rusak kamera handphone jelas sistemnya dodong saldonya akun,0.0,0.0,1.0,1.0,0.0
isi pulsa masuk saldo terpotong komplain customer service solusi suruh menunggu jam lewat jam pulsa terisi saldo balik lapor suruh menunggu diluar libur kapok pakai app katanya bumn kalah aplikasi sebelah saldo kembali bintang saldo balik,0.0,1.0,0.0,0.0,0.0
beli pulsa ribu gagal kembalikan dananya sistem model brow ambil dana mitra halal email masuk masuk kembalikan dananya perbaiki sistemnya,0.0,1.0,0.0,1.0,0.0
menggunakan link praktis murah lewat bank sayangnha waktu untuk membayar disediakan menit membuat pelanggan memiliki kuota internet mengisi saldo menggunakam wifi rumah jarang memiliki paket data akses untuk indomadan alfamatudak cukup menit alangkah baik disediakan top up waktu praktis efisien thyou,0.0,1.0,0.0,0.0,0.0
apl eror terjadi pengisian pulsa trkrm notif berhasil saldo kepotong susah transaksi berurutan gak langsung nggu menit menyebalkan refund mesti nggu jm butuh kesini bagus jelek cs sgala kendala perbaiki tingkatkn pelayanan baik mengecewakan planggan customer tetap setia linkaja,0.0,1.0,0.0,1.0,0.0
sialan isi saldo masuk coba hubungi cs berbelit coba hubungi lewat mail disuruh tunggu saldo gak masuk kampreet,0.0,1.0,0.0,1.0,0.0
beli token listrik input meteran gagal terus hubungi cs link pulsa habis solusi lewat gmail solusi konfirmasi aplikasi katanya selsaikan pas input gagal terus menuju uninstal,0.0,1.0,0.0,1.0,0.0
alami kasus melakukan pengisian pulsa pulsa masuk saldo terpotong melakukan laporan lewat email berkali kali seminggu saldo dikembalikan hubungi call center pakai solusinya rating turunkan kebijakan pihak terkait alhamdulillah ulasan rating playstore langsung dikembalikan semoga jadi pelajaran kedepannya,0.0,1.0,0.0,1.0,0.0
benar biaya admin kirim uang bank tahu bank soalnya kirim uang bank bri mandiri bni sayangnya jumlah tranfer perhari dibatas juta semoga naik batas maksimal transfer bekerja bank kalbar untuk daerah kalimantan barat semoga waktu pilihan bank kalbar untuk transfer uang semoge kedepannya link tetap biaya admin pajak apapun amin,0.0,1.0,0.0,0.0,0.0
link bagus saran untuk pengisian saldo penarikan saldo alfamaatau indoma mempermudah orang memiliki atm bank terimakasih link sukses,0.0,1.0,0.0,0.0,0.0
min upload foto ktp melakuka registrasi reksa dana terproses kamera muncul,0.0,0.0,1.0,0.0,0.0
