raw,processed,predict
"Saya sangat kecewa dengan dana. Transaksi transfer ke rekening BCA saya tidak terikim2 alias nyantol sudah 1 Minggu gak ada pengembalian sama skali. Sudah saya email,whatsapp dan sudah telpon costomer care 3x malah disuruh nunggu terus. Kurang profesional dan slow respon. Saya tunggu iktikad dan kabar baiknya soal akun saya !!!",kecewa dana transaksi transfer rekening baca terikim alias nyangkut minggu pengembalian email whatsapp telpon costomer care disuruh menunggu terus kurang profesional slow respon tunggu iktikad kabar sebaiknya soal akun,-1
"DANA bener2 mengecewakan , sampai sekarang akun saya di bekukan dan tidak bisa login sampe saat ini sudah sekitar 1 Minggu Lebih dan uang saldo saya gak tau masih ada atau sudah hangus , telponn CS nya sudah lebih dari 5 kali sampe sekarang akun saya tetap saja tidak bisa login ,gak tau saya harus konplean kemana lagi , dan saya sangat kecewa ,padahal saya pengguna DANA sudah cukup lama Pesan saya pribadi ,mohon di perbaiki agar nasabah yg lain tidak kecewa seperti saya ,",dana benar mengecewakan akun bekukan login minggu uang saldo tahu hangus telponn cs kali akun tetap login tahu konplean kemana kecewa pengguna dana cukup pesan pribadi perbaiki nasabah kecewa,-1
"Ini hub. Admin DANA kemana ya...? Klo ada masalah lalu gmn..? Sy ada masalah uang yg tertahan di dana karena pembelian sy di BUKALAPAK ditolak seller... Duh, lalu knp uangnya bukan dibalikin ke saldo akun BUKALAPAK...tp malah masuk ke dana...??? Lalu gmn nasib uang sy..? Knp ssy JADI URUSANNYA KE DANA .?? Bukan ke Bukalapak...? Gmn tanggung jawabnya BUKALAPAK..? Ammppuuuunnn..mo belanja malah jadi PUUSSIINGG... Duh jd mulai mikir2 dulu deh klo mau belanja lagi di bukalapak...",hubungi admin dana kemana masalah gimana masalah uang tertahan dana pembelian bukalapak ditolak seller aduh uangnya dibalikin saldo akun bukalapak masuk dana gimana nasib uang ya jadi urusannya dana bukalapak gimana tanggung jawabnya bukalapak ammppun belanja jadi puu iingg aduh jadi mulai mikir deh belanja bukalapak,-1
"Saya sudah kirim email prihal pelepasan akun premium saya, sudah 7 hari tapi proses nya tidak selesai. Segala macam pertanyaan dan persyaratan sudah saya kirim. Tapi belum ada kejelasan terkait permasalahan saya. Sangat lambat responnya. Jika saya blm menghapus ulasan ini berarti pihak dana blm menyelesaikan keluhan saya.",kirim email prihal pelepasan akun premium proses selesai pertanyaan persyaratan kirim kejelasan terkait permasalahan lambat responnya menghapus ulasan berarti pihak dana menyelesaikan keluhan,-1
"Kemarin sudah bener berhasil di konfirmasi upgrade premiumnya, kok sekarang berubah gagal konfirmasi lagi sih kak, padahal kemarin saya sudah seneng mau topup lagi. Kalo begini terus capek kak, ini saya komplain sekali lagi dan yg terakhir kali, kalo gak berhasil juga maka mending pake aplikasi lain sajalah masih banyak ini. Terimakasih",kemarin benar berhasil konfirmasi upgrade premiumnya berubah gagal konfirmasi kak kemarin senang topup terus cape kak komplain terakhir kali berhasil lebih baik pakai aplikasi terimakasih,-1
"Tolong dong aplikasinya diperbaiki, saya sudah meng update dan sudah meng uprage. Tapi kenapa akun saya tidak bisa jadi premium? Padahal dua bulan yg lalu akun saya sudah premium saya sudah mengikuti prosedurnya. Tapi sekarang kok ga bisa lagi? Mohon pencerahannya uang saya masih ada 150.000 didalamnya",aplikasinya diperbaiki meng update meng uprage akun jadi premium dua bulan akun premium mengikuti prosedurnya pencerahannya uang didalamnya,-1
"Nomor hp yg lama gua udah ke blokir jd gua ga bisa log in,gua mau ganti ke nomor hp yg baru supaya bisa menggunakan akun dana gua lagi, tp udah di lapor berkali2 utk mengganti nomor hp yg baru tanggapan hanya menunggu,menunggu,menunggu... sumpah nyesel banget gua ngasih nomor NIK jadinya😡",nomor handphone blokir jadi log ganti nomor handphone menggunakan akun dana lapor berkali untuk mengganti nomor handphone tanggapan menunggu menunggu menunggu sumpah menyesal banget memberikan nomor nik jadinya,-1
"Kenapa akun saya tidak bisa dibuka? Padahal saya belum mengganti kata sandi. Saya sangat kecewa sekali jika akun saya terus dibekukan. Katanya harus nunggu 15 menit ,setelah 15 menit kok disuruh nunggu lagi satu jam. SALAH SAYA APA ?!!!",akun dibuka mengganti kata sandi kecewa akun terus dibekukan katanya menunggu menit menit disuruh menunggu satu jam salah,-1
"Tolong akun saya yang dibekukan tanpa sebab di buka kembali. Tolong berikan penjelasan, saya sudah kirim email untuk pengaduan masalah saya dalam aplikasi ini. Tp tidak ada tindak lanjut yg jelas. Saya mau menggunakan dana saya untuk transaksi penting.",akun dibekukan kembali berikan penjelasan kirim email untuk pengaduan masalah aplikasi tindak lanjut jelas menggunakan dana untuk transaksi penting,-1
"dana ini mau nipu atau gimana sih,saldo saya 300 ribu,kok tidak bisa verifikasi ke premium,error terus padahal saya telah mengikuti semua intruksi yang telah di berikan,kembalikan saldo dana saya,atau saya laporkan kepihak berwajib atas tindakan penipuan!",dana tipu saldo ribu verifikasi premium error terus mengikuti intruksi berikan kembalikan saldo dana laporkan kepihak berwajib atas tindakan penipuan,-1
Percuma ngasih keluhan di play store. Jawaban nya suruh balas lewat email itupun belum tentu ngasih solusi yg tepat balas pertanyaan aja belum tentu. Tolong berikan pelayanan yg baik & benar. Agar kami para pengguna akun DANA sangat merasa puas....,memberikan keluhan play store jawaban suruh balas lewat email itupun memberikan solusi tepat balas pertanyaan berikan pelayanan baik benar pengguna akun dana merasa puas,-1
"Saya sangat kecewa, saya mau transfer uang untuk bayar lazada tidak bisa, karena tidak bisa di pakai untuk transaksi, jdi saya mau transfer balik uang saya ke rekening tp itu pun susah harus upgrade dlu ke premium,, Ribet bgt si Tlg dong dipermudah Pelayanan customer juga lelet bgt kayak keong lgi jalan, org lagi penting juga lama bgt responnya. Toloooooong tolong BANGET diperbaiki lgi pelayanannya... Terimakasih",kecewa transfer uang untuk bayar lazada pakai untuk transaksi jadi transfer balik uang rekening susah upgrade premium ribet banget dipermudah pelayanan customer lambat banget keong jalan orang penting banget responnya banget diperbaiki pelayanannya terimakasih,-1
"Susah banget buat transaksi online nomer handphone selalu saja sudah terdaftar akun lain saya bingung,dan akhirnya uninstal ulang eh malah gak bisa dapat kode OTP yang baru,katanya kode sudah terkirim ke nomer anda tapi kok gak ada sih ,gimana nih min...tolong dong bantu",susah banget transaksi onlen nomer handphone terdaftar akun bingung uninstal ulang eh kode otp katanya kode terkirim nomer min bantu,-1
"Aplikasi buruk masak saya logout terus login lagi akun dana saya langsung di beku,kan tanpa ada masalah apa-apa. Mending gua pake link aja,OVO,Gojek Klo dana uninstall aja tanpa ada kesalahan apa-apa masak langsung akun saya di beku,kan.",aplikasi buruk masak logout terus login akun dana langsung beku masalah lebih baik pakai link ovo gojek dana uninstall kesalahan masak langsung akun beku,-1
"Aduh kok jadi begini sih min !!! Tiba"" mau login sandi salah ! Padahal udah bener loh dan 3x coba malah di bekukan dalam 1 jam ! Ini maksudnya apa yah ... Mohon perbaiki akun saya . saya baru saja mengirim uang sebanyak 300rb",aduh jadi min tiba login sandi salah benar loh coba bekukan jam maksudnya ya perbaiki akun mengirim uang ribu,-1
"Mau upgrade ke premium susah sekali,hasil foto ktp sdh jelas di bilang hasil kurang baik? Tolong dong di permudah sistem upgrade nya,ini merugikan pengguna klo sistem g jelas begini,gmn kita mau rekomendasi ke org lain klo aplikasi nya aja susah kita pakai!",upgrade premium susah hasil foto ktp jelas bilang hasil kurang baik permudah sistem upgrade merugikan pengguna sistem jelas gimana rekomendasi orang aplikasi susah pakai,-1
"Maaf sebelumnya, kenapa saya transfer dari Bank BCA ke akun dana kok belum masuk padahal sudah berhasi transfer. Sudah 2x saya begini yg pertama dari Bank Neo Commerce transfer ke akun dana berhasil tapi di saldo dana tidak ada. Mohon penjelasannya dan berikan pelayanan yg baik bagi customer nya",maaf transfer bank baca akun dana masuk berhasi transfer pertama bank neo commerce transfer akun dana berhasil saldo dana penjelasannya berikan pelayanan baik customer,-1
"Suda coba upgrade ke premium bolak balik gagal mulu,,, memang kenapa dngan ktp saya.mau transfer kemana mana jadi g bisa,uda top up pngennya mau tf mala g jadi,, Aplikasinya bikin mumet g membantu sama sekali,,, Tolong dooong kembalikan dana saya,saya mai tf kok g bisa,,,",coba upgrade premium bolak balik gagal terus ktp transfer kemana jadi top up pngennya tf mala jadi aplikasinya pusing membantu kembalikan dana tf,-1
Maaf saya ubah . karna akun dana saya tiba tiba dibekukan. Suruh chat sana sini tapi gk ada yang respon. Awal nya saya suka sama aplikasi nya. akhir akhir ini banyak yang mengeluh tentang dana. Semoga dana bisa mengembalikan uang saya,maaf ubah akun dana tiba tiba dibekukan suruh chat gak respon awal suka aplikasi akhir akhir mengeluh dana semoga dana mengembalikan uang,-1
"Ini dana kenapa ya saya mau tarik dana melalui aplikasi lain tapi pada saat dihubungkann kok bisa di bilang data saya salah padahal sudah betul sesuai dengan ktp , saya ulang kembali upload foto Kk malah gk mau terkirim padahal jaringan saya bagus . Gimana sih nih aplikasi nya . Tolong dong diperbaiki kalo gini trs lama2 uninstal aja apk nya",dana tarik dana aplikasi dihubungkann bilang data salah betul sesuai ktp ulang kembali upload foto kakak gak terkirim jaringan bagus aplikasi diperbaiki terus uninstal aplikasi,-1
"Dari Tanggal 4 Agustus 2021 sampai skrg Aplikasi Dana saya tidak bisa digunakan. Padahal akun saya sudah Premium dan memiliki Saldo. Transfer ke Rekening Bank lain tidak bisa, Transfer sesama Dana tidak bisa, Top Up Pulsa juga tidak bisa. Saya sudah berapa kali hubungi Cutomer Service dan Mengirim Email k HELP DANA. Tapi sampai saat ni hasil nya masih ZONK. Pada hal seluruh kelengkapan Data yg diminta sudah dikirim. TAPI HASILNYA MASIH ZONK JUGA. Duit gua juga masih nyangkut di Aplikasi DANA.",tanggal agustus aplikasi dana digunakan akun premium memiliki saldo transfer rekening bank transfer dana top up pulsa kali hubungi cutomer service mengirim email help dana hasil bodoh kelengkapan data diminta dikirim hasilnya bodoh duit nyangkut aplikasi dana,-1
"Padahal saya baru saja suka dengan Dana karena sudah bisa digunakan di play store,tapi saat saya login di akun lain malah muncul tulisan ""Anda ingin menghubungi customer service?"" Dan menyebabkan saya tidak bisa login sama sekali😔",suka dana digunakan play store login akun muncul tulisan menghubungi customer service menyebabkan login,-1
Buat kalian jangan pernah download apk ini ya soalnya bakalan buat uang yang ada di dana bakalan nganggur....apalagi buat yang dananya gk premium buat scan qris gk bisa....saldoku di dana ada lebih dari 200k & danaku belum prem aku mau scan qris gk bisa....pokoknya jangan download ya...kalaupun sudah error kalian bakal disuruh chat cs dana tapi itu akan buat sia sia karena gk bakal di respon sama sekali...saran aja sih mending pake e wallet lain dari pada dana....Terimakasih,download aplikasi soalnya uang dana tidak punya pekerjaan dananya gak premium scan qris gak saldoku dana danaku prem scan qris gak pokoknya download error bakal disuruh chat cs dana sia sia gak bakal respon saran lebih baik pakai wallet dana terimakasih,-1
"Saya mendapatkan pengalaman buruk menggunakan aplikasi ini Saya kemarin isi saldo 50K Terus saya top up nih 3K bisa 2 kali Nah besoknya saya top up lagi Malah akses pembayaran nya ditolak. Bayangin, topup Rp. 3000 akses nya ditolak. Katanya itu melebihi batas maksimal pembelian, apa apaan ini? Padahal udah pasang akun lengkap tapi belum dapet dana premium, karena saya user di bawah 17 tahun. Mohon perbaiki ini, ini sangat mengganggu",mendapatkan pengalaman buruk menggunakan aplikasi kemarin isi saldo terus top up kali besoknya top up akses pembayaran ditolak bayangkan topup rp akses ditolak katanya melebihi batas maksimal pembelian pasang akun lengkap dana premium bawah tahun perbaiki mengganggu,1
Buat cs dana kenapa sy mau login ke akun lama sy tidak bs?nomorny sdh bener kata sandi nya jg udh bener sempet sy ubah juga terus sy masukin tpi kok tetep muncul ' anda ingin menghubungi customer service ' itu mkst ny apa ya?tolong ksh tau,cs dana login akun nomorny benar kata sandi udah benar ubah terus masukkan tetap muncul menghubungi customer service maksud tahu,-1
Kenapa dana saya tidak bisa dibuka.. Saat login bisa trus verifikasi jg bisa.. Tpi kenapa abis itu malah balik lagi..??? Tolong balikin dana saya agar seperti semula.. Bisa dibuka kembali... Terima kasih,dana dibuka login terus verifikasi habis balik balikin dana dibuka kembali terima,-1
"Gimana kak dengan akun dana saya yang dibekukan secara tbtb? Bilangnya saya melakukan penipuan padahal Nerima transferan aja engga. Saldonya full limit lagi 10jt😭 tolong jangan gini dong kak saya juga butuh buat kirim keluarga, masa gini si gak ada tanggung jawabnya sama sekali🥺 tolong banget ya ka yaallah akun saya dibuka lagi jangan dibekukan🙏 saya tidak merasa nipu orang kak masalahnya, mohon bantuannya dong kak ya😊 semoga akun saya segara bisa dipakai lagi seperti semula😉",kak akun dana dibekukan secara tiba-tiba bilangnya melakukan penipuan menerima transferan saldonya full limit juta kak butuh kirim keluarga masa tanggung jawabnya banget kakak ya allah akun dibuka dibekukan merasa tipu orang kak masalahnya bantuannya kak semoga akun segara dipakai,-1
"Assalamu'alaikum wr.wb dan selamat sore kak mohon maaf saya atas nama Michelle Tasya Greschella Kaha baru kali ini memakai DANA tapi kok KTP saya gabisa upgrade ad informasi bahwa KTP saya ada yg pakai.. 🙏🙏 kalau bisa data saya dihapus dlu soalnya saya ada transfer uang ke dana mau tarik lagi,. Tp hrus upgrade tp gabisa krna data saya ada yg salah gunakan",menjadi seseorang alamu alaikum wr wb selamat sore kak maaf atas nama michelle tasya greschella kaha kali memakai dana ktp tidak bisa upgrade informasi ktp pakai data dihapus soalnya transfer uang dana tarik upgrade tidak bisa data salah gunakan,-1
