raw,processed,predict
"Saya sangat kecewa dengan dana. Transaksi transfer ke rekening BCA saya tidak terikim2 alias nyantol sudah 1 Minggu gak ada pengembalian sama skali. Sudah saya email,whatsapp dan sudah telpon costomer care 3x malah disuruh nunggu terus. Kurang profesional dan slow respon. Saya tunggu iktikad dan kabar baiknya soal akun saya !!!",kecewa dana transaksi transfer rekening baca terikim alias nyangkut minggu pengembalian email whatsapp telpon costomer care disuruh menunggu terus kurang profesional slow respon tunggu iktikad kabar sebaiknya soal akun,-1
"Dari 2018 sampai skg menggunakan dana, baru kali ini kecewa transfer ke rekening bank statusnya pending. Melihat ulasan di google kasus transfer ke rekening bank pending hanya terjadi dengan nominal besar. Menghubungi Cs WA selalu sibuk, email tidak ada jawaban, tlp pun selalu sibuk. Kenapa pelayanan dana jadi menurun seperti ini? Kapok ga akan pernah lg mengunakan dana untuk transaksi digital",menggunakan dana kali kecewa transfer rekening bank statusnya pending melihat ulasan google kasus transfer rekening bank pending terjadi nominal besar menghubungi cs whatsapp sibuk email jawaban telepon sibuk pelayanan dana jadi menurun kapok mengunakan dana untuk transaksi digital,-1
"Aplikasi sampah!!! Uang gua ketahan (menunggu) gara² tf gagal giliran di chat lewat wa, dm twitter, sama email ga ada respon sama sekali, pas ditelpon cs nya baru ngomong sebentar langsung di matiin sampe abis pulsa 20rb lebih cuma buat nanya ke cs yg belum sampe 2 menit ngomong langsung panggilan di akhiri.. Aplikasi jelek!!! Bagi yg belum download Jangan di download deh slow respon bener ini cs nya",aplikasi sampah uang ketahan menunggu gara tf gagal giliran chat lewat whatsapp dm twitter email respon pas ditelpon cs bicara sebentar langsung matiin habis pulsa ribu tanya cs menit bicara langsung panggilan akhiri aplikasi jelek download download deh slow respon benar cs,-1
"Saya sudah kirim email prihal pelepasan akun premium saya, sudah 7 hari tapi proses nya tidak selesai. Segala macam pertanyaan dan persyaratan sudah saya kirim. Tapi belum ada kejelasan terkait permasalahan saya. Sangat lambat responnya. Jika saya blm menghapus ulasan ini berarti pihak dana blm menyelesaikan keluhan saya.",kirim email prihal pelepasan akun premium proses selesai pertanyaan persyaratan kirim kejelasan terkait permasalahan lambat responnya menghapus ulasan berarti pihak dana menyelesaikan keluhan,-1
Parah sekali untuk responnya. Seharusnya untuk aplikasi seperti ini memperkerjakan customer service yang banyak untuk melayani customer. Sehingga customer puas dengan pelayanannya . Tidak MENUNGGU TERLALU LAMA SEPERTI INI. bagaimana kalau uang itu sangat dbutuhkan . Tidak bisa respon dengan cepat . Sangat KECEWA,parah untuk responnya untuk aplikasi memperkerjakan customer service untuk melayani customer customer puas pelayanannya menunggu uang dbutuhkan respon cepat kecewa,-1
"Tolong kembalikan saja saldo saya karena sudah 1x24 jam saya menunggu. Saldo berkurang transaksi sampai skrng tulisannya di aplikasi masih menunggu, mau sampai kapan menunggu??? Di hub via whatsapp selalu penuh layanan di email lama balasannya dan tidak ada solusinya",kembalikan saldo jam menunggu saldo berkurang transaksi tulisannya aplikasi menunggu menunggu hubungi via whatsapp penuh layanan email balasannya solusinya,-1
"Tolong akun saya yang dibekukan tanpa sebab di buka kembali. Tolong berikan penjelasan, saya sudah kirim email untuk pengaduan masalah saya dalam aplikasi ini. Tp tidak ada tindak lanjut yg jelas. Saya mau menggunakan dana saya untuk transaksi penting.",akun dibekukan kembali berikan penjelasan kirim email untuk pengaduan masalah aplikasi tindak lanjut jelas menggunakan dana untuk transaksi penting,-1
"Padahal aplikasinya udah bagus tapi sayang untuk mengatasi masalah sangat sangat buruk sekali, uang saya ngak tau kmn terkirim ngak dikembalikan juga ngak, di hubungi lewat wa dilempar ke email, pas di email sampe sekarang belum juga ada solusi, di telpon juga ngak bisa..",aplikasinya bagus sayang untuk mengatasi masalah buruk uang nggak tahu kemana terkirim nggak dikembalikan nggak hubungi lewat whatsapp dilempar email pas email solusi telpon nggak,-1
Percuma ngasih keluhan di play store. Jawaban nya suruh balas lewat email itupun belum tentu ngasih solusi yg tepat balas pertanyaan aja belum tentu. Tolong berikan pelayanan yg baik & benar. Agar kami para pengguna akun DANA sangat merasa puas....,memberikan keluhan play store jawaban suruh balas lewat email itupun memberikan solusi tepat balas pertanyaan berikan pelayanan baik benar pengguna akun dana merasa puas,-1
Maaf ya bintang saya kurangin. Soalnya gaba login seharian ini. Login malah di suruh nelfon cs nya. Tapi di telfon gabisa. Padahal punya pulsa. Di email juga gada balasannya. Nanti kalau sdh baik saya naikin lagi bintangnya. Makasih,maaf bintang kurangi soalnya gaba login seharian login suruh menelepon cs telfon tidak bisa punya pulsa email tidak ada balasannya baik naikin bintangnya terima kasih,-1
