raw,processed,predict
"DANA bener2 mengecewakan , sampai sekarang akun saya di bekukan dan tidak bisa login sampe saat ini sudah sekitar 1 Minggu Lebih dan uang saldo saya gak tau masih ada atau sudah hangus , telponn CS nya sudah lebih dari 5 kali sampe sekarang akun saya tetap saja tidak bisa login ,gak tau saya harus konplean kemana lagi , dan saya sangat kecewa ,padahal saya pengguna DANA sudah cukup lama Pesan saya pribadi ,mohon di perbaiki agar nasabah yg lain tidak kecewa seperti saya ,",dana benar mengecewakan akun bekukan login minggu uang saldo tahu hangus telponn cs kali akun tetap login tahu konplean kemana kecewa pengguna dana cukup pesan pribadi perbaiki nasabah kecewa,-1
Maaf ya bintang saya kurangin. Soalnya gaba login seharian ini. Login malah di suruh nelfon cs nya. Tapi di telfon gabisa. Padahal punya pulsa. Di email juga gada balasannya. Nanti kalau sdh baik saya naikin lagi bintangnya. Makasih,maaf bintang kurangi soalnya gaba login seharian login suruh menelepon cs telfon tidak bisa punya pulsa email tidak ada balasannya baik naikin bintangnya terima kasih,-1
"Susah banget buat transaksi online nomer handphone selalu saja sudah terdaftar akun lain saya bingung,dan akhirnya uninstal ulang eh malah gak bisa dapat kode OTP yang baru,katanya kode sudah terkirim ke nomer anda tapi kok gak ada sih ,gimana nih min...tolong dong bantu",susah banget transaksi onlen nomer handphone terdaftar akun bingung uninstal ulang eh kode otp katanya kode terkirim nomer min bantu,-1
"Aplikasi buruk masak saya logout terus login lagi akun dana saya langsung di beku,kan tanpa ada masalah apa-apa. Mending gua pake link aja,OVO,Gojek Klo dana uninstall aja tanpa ada kesalahan apa-apa masak langsung akun saya di beku,kan.",aplikasi buruk masak logout terus login akun dana langsung beku masalah lebih baik pakai link ovo gojek dana uninstall kesalahan masak langsung akun beku,-1
"Aduh kok jadi begini sih min !!! Tiba"" mau login sandi salah ! Padahal udah bener loh dan 3x coba malah di bekukan dalam 1 jam ! Ini maksudnya apa yah ... Mohon perbaiki akun saya . saya baru saja mengirim uang sebanyak 300rb",aduh jadi min tiba login sandi salah benar loh coba bekukan jam maksudnya ya perbaiki akun mengirim uang ribu,-1
"Ga usah di install, apk gaguna!!masa udh login malah keluar lagii gitu aja sampe seterusnya,padahal udh masukin nomor+pin yg dulu,dan ketika udh terverivikasi malah keluar dari apk nya!!! Katanya untuk mempermudah,eh malah mempersulit",perlu install aplikasi gaguna masa udah login keluar udah masukkan nomor pin udah terverivikasi keluar aplikasi katanya untuk mempermudah eh mempersulit,-1
Mohon info nya kak . Saya udah register dana. Tapi kemarin saya mau masuk ke dana lagi. Nomor yang saya pake regist hilang dan saya harus gimana biar saya bisa membuka dan transaksi pake akun. Dana saya lagi. Mohon info ny trimakasih,informasi kak register dana kemarin masuk dana nomor pakai regist hilang membuka transaksi pakai akun dana informasi trimakasih,-1
Ngelapor ke email help dana soal nomor yg digunakan hilang. Sdh email disertakan nmr baru jwbnnya sudah terdaftar. Tapi mana pas login masih pke nmr lama. Sudah email berkali2 malah diganti nomor tiket baru. Disuruh gak bikin email baru pas dibales tetep aja jawabannya jangan bikin email baru padahal sdh di teruskan dalam 1 email yg sama. Ini gimana ya?,ngelapor email help dana soal nomor digunakan hilang email disertakan nomor jwbnnya terdaftar pas login pakai nomor email berkali diganti nomor tiket disuruh email pas dibales tetap jawabannya email teruskan email,-1
"Tidak bisa login atau masuk Mau masuk selalu ada kata silahkan hubungi customer service, sangat mengecewakan, di batalin masih kya gitu mulu di hubungi cuma buang"" pulsa tetep tidak bisa masuk . Dihubungi lewat wa sedang penuh Lewat @help.dana.id sama saja belum jga di atasi",login masuk masuk kata silakan hubungi customer service mengecewakan batalin kaya terus hubungi buang pulsa tetap masuk dihubungi lewat whatsapp penuh lewat dana id atasi,-1
Ini aku habis download terus pas mau login tiba² keluar sendiri kenapa ya? Apa sinyal ku kurang bagus? Aku sudah coba pakai wifi hasilnya tetep keluar terus disuruh nulis nomor sama sandi lagi padahal jaringan udah bagus terus aku ganti ke paketan hasilnya tetep sama. Mohon diperbaiki🙏,habis download terus pas login tiba keluar sinyal ku kurang bagus coba pakai wifi hasilnya tetap keluar terus disuruh menulis nomor sandi jaringan bagus terus ganti paketan hasilnya tetap diperbaiki,-1
"Saya selalu mengunakan dana untuk transfer tpi kali ini saat saya masukan pin , pin saya salah terus padahl jelas itu pin sudah benar , sudah bbrpa kali saya masukan pin tetapi tetap salah, saya nge email ke dana.id tapi alamat tidak ditemukan . Mohon kak bagaimana solusinya karna mau dipakai",mengunakan dana untuk transfer kali masukan pin pin salah terus jelas pin benar kali masukan pin tetap salah nge email dana id alamat ditemukan kak solusinya dipakai,-1
aplikasi apaan..mau di gunakan aja untuk login keluar masuk keluar masuk dr tampilan..gk guna.. gk usah kirimin saran sama saya.. hrus ke email ini ke email itu... unistall aja lbih bagus dan yg lebih parah aku gk ada suka2nya sama aplikasi ini..paaaayyyaaaaahhhh,aplikasi gunakan untuk login keluar masuk keluar masuk tampilan gak gak perlu mengirimi saran email email unistall bagus parah gak suka aplikasi payah,-1
"Sy mau nanya min , kenapa aplikasi dana sy ngk bisa di buka . Asal sy mau masuk selalu pake otp,trus dah di ikuti katanya kamu terlalu lama tidak aktif . Maksd nya apa ya . Tolong donk min. Biar sy bisa login di Dana LG .",tanya min aplikasi dana asal masuk pakai otp terus ikuti katanya aktif maksud min login dana,-1
"Padahal saya baru saja suka dengan Dana karena sudah bisa digunakan di play store,tapi saat saya login di akun lain malah muncul tulisan ""Anda ingin menghubungi customer service?"" Dan menyebabkan saya tidak bisa login sama sekali😔",suka dana digunakan play store login akun muncul tulisan menghubungi customer service menyebabkan login,-1
"Dana sekarang sangat mengecewakan,dulu lupa pin bisa diganti tanpa menggukan customer servis tapi sekarang kenapa malah seperti itu.hadeh mohon bantuannya,soalnya masih ada banyak sisa saldoku didana tapi belom bisa buat transaksi apapun!!!",dana mengecewakan lupa pin diganti menggukan customer servis hadeh bantuannya soalnya sisa saldoku didana transaksi apapun,-1
Buat cs dana kenapa sy mau login ke akun lama sy tidak bs?nomorny sdh bener kata sandi nya jg udh bener sempet sy ubah juga terus sy masukin tpi kok tetep muncul ' anda ingin menghubungi customer service ' itu mkst ny apa ya?tolong ksh tau,cs dana login akun nomorny benar kata sandi udah benar ubah terus masukkan tetap muncul menghubungi customer service maksud tahu,-1
Kenapa dana saya tidak bisa dibuka.. Saat login bisa trus verifikasi jg bisa.. Tpi kenapa abis itu malah balik lagi..??? Tolong balikin dana saya agar seperti semula.. Bisa dibuka kembali... Terima kasih,dana dibuka login terus verifikasi habis balik balikin dana dibuka kembali terima,-1
"Baru update kemerin akhir juli skrang minta update lagi dan juga setiap mau login loading nya lama dan yg paling gue kecewa gue isi ulang dana kenapa selalu hilang 800 perak, memang kecil tpi bagi gue berarti yg tadinya gue top up buat bayar supaya pas malah kurang karna hilang nya beberapa perak. Tolong dong jelaskan... Lu udah untung dari data masih kurang kah sampe ngambil perperak gitu",update kemerin akhir juli meminta update login loading kecewa isi ulang dana hilang perak berarti top up bayar pas kurang hilang perak jelaskan untung data kurang kah mengambil perperak,-1
"Maaf sebelumnya.....saya sudah download apl dana dan saya mau login kok ngak bisa pasti kalau saya masukan no hp saya ada tulisan""layanan sedang sibuk""dari kemarin kaya gitu terus....tolong ya dana harus di perbaiki",maaf download apl dana login nggak masukan no handphone tulisan layanan sibuk kemarin kayak terus dana perbaiki,-1
"ini orang mau daftar bukan orang yng udah pernah daftar , baru aja insal apk , langsung masukan nomor telepon , terus nanyain pin , buat pinnya juga belum baru daftar , iya lah salah terus , ga ada tombol daftarnya",orang daftar orang daftar insal aplikasi langsung masukan nomor telepon terus nanyain pin pinnya daftar salah terus tombol daftarnya,-1
"tolong dana jangan terlalu ribet buat loginnya... dan klo bisa di tambahin login via email biar usernya gak merasa sulit..... bayangkan klo saldo kita masih banyak, trs tiba"" kartu kita rusak/hilang, kita loginnya gimana coba...???? klo login via email ada, kita kan masih tetap bisa login dan bisa mengganti nomor kita yg hilang ke nomor yg baru.... mohon pihak dana dapat mempertimbangkannya... terima kasih...",dana ribet loginnya tambahkan login via email biarnya merasa sulit bayangkan saldo terus tiba kartu rusak hilang loginnya coba login via email tetap login mengganti nomor hilang nomor pihak dana mempertimbangkannya terima,-1
semakin banyak pengguna DANA semakin d persulit buat login kembali.. haduuh dari k marin ga bisa bisa masuk . selalu timbul.. Hubungi kami. Jadi males pake dana.. biarin dah saldo nya angus Juga.. 1 bintang dah buat apl ini,pengguna dana persulit login kembali haduuh marin masuk timbul hubungi jadi malas pakai dana biarkan saldo angus bintang apl,-1
"Ini gmna ya waktu itu sya punya apk dana saya udh pengajuan premium dan sudah pernah ngambil uang dan d masukin ke apk dana, tpi wktu itu saya unistal dan skrng sy mau instal lagi, sy sudah memasukan no tlpn dan sudah memasukan pin tapi knpa ya keluat tra jadi ga bsa masuk ke beranda dananya? Saya udah beberapa kali kaya gini tolong donggg bntuu",gimana waktu punya aplikasi dana udah pengajuan premium mengambil uang masukkan aplikasi dana waktu unistal instal memasukan no telepon memasukan pin keluat tra jadi masuk beranda dananya kali kayak bntuu,-1
"Sumpah gwe gabisa masuk nih, masuk aja kode OTP nya mana lagi gk masuk masuk, jangan pernah download ni Apk klo gk nyesel nanti, katanya jaringan bermasalah apaan orang kuota gwe masih banyak, klo emang masih perlu perbaikan ngomong dulu bego",sumpah tidak bisa masuk masuk kode otp gak masuk masuk download aplikasi gak menyesal katanya jaringan bermasalah orang kuota perlu perbaikan bicara bodoh,-1
"Kenapa saya gabisa login ya? Padahal saya udh hubungi cs, tapi dimatiin, di wa antrian penuh, di email lama banget responnya... Saya butuh yg live chat ini... Ada gaji karyawan di dana saya soalnya",tidak bisa login udah hubungi cs dimatiin whatsapp antrian penuh email banget responnya butuh live chat gaji karyawan dana soalnya,-1
"Kepada YTH. Pihak costumer dana,saya pernah mengajukan masalah mengenai lupa pin & sesi pertanyaan jawabannya. Dan saya sudah mengisi semua yg tertulis/syarat² yg di berikan.tapi kenapa masih juga blm bisa untuk mengganti pinny? Kepada mas²/ mbak yg sudah dapat email dari saya,sudah berapa kali saya mengirimkan tetapi tidak ada tanggapan sama sekali... Tolong di tindak lanjuti dengan cara yg benar bukan untuk mengambil alih akun.... Sudah beberapa kali saya mengajukan pertanyaan tersebut namun!!",yang terhormat pihak costumer dana mengajukan masalah mengenai lupa pin sesi pertanyaan jawabannya mengisi tertulis syarat berikan untuk mengganti pinny mas mbak email kali mengirimkan tanggapan tindak lanjuti cara benar untuk mengambil alih akun kali mengajukan pertanyaan,-1
"Saran nih buat pengguna dana, kalo pas login biar ga di mintain otp usahakan lokasi/gps kalian mati/off!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!selamat mencoba:)",saran pengguna dana pas login mintain otp usahakan lokasi gps mati off selamat mencoba,-1
"Dulu puas bgt pake dana sampe aku rating 5 krn pelayanannya bener2 bagus. Hampir mau setaun pake dana gaada kendala apapun. Skarang males pake dana karna sering keluar sendiri akunnya, begitu mau login susah pake banget. Padahal nomor & pin udh bener tp tetep gabisa masuk, harus email cs lah, kirim ss dll lah. RIBET. Dan skarang memutuskan utk menyudahi berteman dgn dana. Bye dana km aku uninstall ya maaf.",puas banget pakai dana rating pelayanannya benar bagus setaun pakai dana tidak ada kendala apapun malas pakai dana keluar akunnya login susah pakai banget nomor pin udah benar tetap tidak bisa masuk email cs kirim dan lain-lain ribet memutuskan untuk menyudahi berteman dana bye dana uninstall maaf,-1
"Mohon diperbaiki, dari awal bulan Agustus ini saya tidak bisa buka aplikasi Dana. Udah masukin nomor + pin, Disuruh masukin kode OTP via SMS tpi tidak ada SMS yg masuk, tolong segera diperbaiki",diperbaiki awal bulan agustus aplikasi dana masukkan nomor pin disuruh masukkan kode otp via sms sms masuk diperbaiki,-1
"sangat bermanfaat,,tapi kenapa setelah upgrade minta otp terus untuk setiap transaksi ? Dan masuk login agak lama, Makin lama makin di bikin ribet sebenarnya nih, maaf ya bintangnya saya kurangin",bermanfaat upgrade meminta otp terus untuk transaksi masuk login ribet maaf bintangnya kurangi,-1
"Semakin di update semakin aneh ya. Saat apk di buka dan login terus apk ini otomatis minimize sendiri dan saat di buka malah balik ke mode login lagi. Berulang-ulang begitu terus dan sekarang aku tidak bisa membuka apk ini lagi. Terima kasih update terbarunya, benar-benar mengesalkan.",update aneh aplikasi login terus aplikasi otomatis minimize balik mode login berulang ulang terus membuka aplikasi terima update terbarunya benar benar mengesalkan,-1
Udah mulai kecewa ni. tidak bisa masuk ke akun di hape aku tapi pas saya masuk di hape yg laen bisa sudah restart hp masih gak bisa masuk juga setelah masukin pin selalu ada notifikasi hubungi costemar service. Males bangat................,mulai kecewa masuk akun hape pas masuk hape restahp masuk masukkan pin notifikasi hubungi costemar service malas banget,-1
"Apk Udah gakjelas, kemarin kehilangan kartu terus minta kode otp ke kartu itu, padahal pin nya udah benar, trus mau ganti nomor pun ribet bener udah berapa kali saya kirim kendala yang untuk mengganti nomor saya yang telah hilang, dan syarat yang di minta sudah di ikuti malahan yang di kirim ke email saya bertele tele gak jelas, padahal akun dana yang hilang itu udah premium, akhirnya mau ganti ke dana yang baru udah gak bisa karena udah terdaftar ke nomor dana yang hilang,, MOHON DI PERBAIKAN",aplikasi gakjelas kemarin kehilangan kartu terus meminta kode otp kartu pin benar terus ganti nomor ribet benar kali kirim kendala untuk mengganti nomor hilang syarat meminta ikuti kirim email bertele tele jelas akun dana hilang premium ganti dana terdaftar nomor dana hilang perbaikan,-1
"Dr kmren dsruh lsung ke dana help, saya dah laporan dr tgl 19juli smpe skrang blm ada tindakan, katanya 24 jam, slow respon, tyap kali login selalu di arahkan ke masukN no, pdahal verifikasi dah berhasil, tapi gak masuk beranda Dana. Balik lagi ke masuka no hp Ini gimnanaaaa",kemarin dsruh lsung dana help laporan tanggal juli tindakan katanya jam slow respon tyap kali login arahkan masukn no verifikasi berhasil masuk beranda dana balik masuka no handphone gimnana,-1
"Tolong ya pihak dana perbaiki sitemnua ,jgn selalu gagal login terus setiap login selalu di arahkan ke hubungi customer servicenya,,, Masalah nya di mana,?? Dari jam 8 pagi sampai skrng ,untuk coba login,selalu di arahkan ke customer servis Apa krna gonta ganti akun dana,dalam jumlah bnyak dalam satu divice?? Tiap"" orang yg punya akun dana bnyak,y punya alasan tertentu untuk kebutuhan jual beli onlline,, Intinya mohon di perbaiki sistemnya kembali,, secepat mungkin,",pihak dana perbaiki sitemnua gagal login terus login arahkan hubungi customer servicenya masalah jam pagi untuk coba login arahkan customer servis gonta ganti akun dana jumlah satu divice orang punya akun dana punya alasan untuk kebutuhan jual beli onlline intinya perbaiki sistemnya kembali secepat,-1
"Ini kenapa saya tidak bisa login lewat hp saya sendiri, padahal pin nya sudah benar tetap aja gk bisa masuk, tapi login pakek hp org lain bisa, ini gmn penyelesaian nya tolong??!",login lewat handphone pin benar tetap gak masuk login pakai handphone orang gimana penyelesaian,-1
Saya kecewa sama dana kenapa saya gak bisa login dan di suruh hub vs udah saya hub tetap gak ada perubahan saya ikhlas aja mau pihak dana ambil uang saya di apk dana terserah aja yg pasti saya sangat kecewa dgn apk ini mulai hari ini saya hapus saya biarkan uang 💸💰 saya terperangkap di apk dana ..,kecewa dana login suruh hubungi vs hubungi tetap perubahan ikhlas pihak dana ambil uang aplikasi dana terserah kecewa aplikasi mulai hapus biarkan uang terperangkap aplikasi dana,-1
"Aplikasi abal abal.. mau login aja ga bs.. udah masukin nmr hp tp ga ada nomor konfirmasi yg masuk ke sms hhh sudah dicoba berkali"" tetep aja ga bs, krn ga dpt sms konfirmasi utk lanjut",aplikasi abal abal login masukkan nomor handphone nomor konfirmasi masuk sms dicoba berkali tetap sms konfirmasi untuk lanjut,1
OTP.....itu apa ? kok ribet banget kyk birokrasi aja...mo msuk abis isi no tlp trus lanjut ngisi kode OTP.. 4 digit......yg jd pertanyaan OTP itu apa? Tlg di bls...ntar klo dah klir ksih bintang,otp ribet banget kayak birokrasi masuk habis isi no telepon terus lanjut mengisi kode otp digit jadi pertanyaan otp balas klir bintang,-1
"Tolong kepada pihak dana, saya minta untuk mengirim kode otp ke nomor saya, saya sudah berjam-jam menunggu kode otp, tapi masih belum ada, saya minta untuk segera di kirim!!👍👍👍",pihak dana meminta untuk mengirim kode otp nomor berjam jam menunggu kode otp meminta untuk kirim,-1
"Trun mnjadi 3 bintang,ngk bisa login ke akun dana saya,loginnya pun sekarang makin ribet,verifikasi wajahpun juga sudah tapi tetap tidak bisa masuk akun dana,,tolong dong lebih d perhatikan lagi untuk kami para pengguna,apalagi jika saldo masih lumayan banyak",turun menjadi bintang login akun dana loginnya ribet verifikasi wajahpun tetap masuk akun dana perhatikan untuk pengguna saldo lumayan,1
"Aplikasinya di awal penggunaan bagus. Tapi lama-kelamaan aplikasi nya jadi sering eror. Seperti tidak bisa login ke akun nya dan terkadang keluar sendiri jika tidak di gunakan selama seminggu. Dan sekarang saya tidak bisa masuk ke akun saya, hanya karena tidak saya gunakan selama seminggu. Tolong bantuannya, agar saya bisa segera masuk ke akun saya lagi",aplikasinya awal penggunaan bagus kelamaan aplikasi jadi eror login akun terkadang keluar gunakan seminggu masuk akun gunakan seminggu bantuannya masuk akun,-1
"Sekarang kenapa tidak bisa melakukan pembayaran,scan kode qr cuma stuk ajha,sudah lakukan unistal dan download ulang,tapi masalah tidak terselesaikan,mohon segera di perbaiki ,jgn sampai dana kehilangan banyak nasabah cuma karena hal kecil",melakukan pembayaran scan kode qr stuk lakukan unistal download ulang masalah terselesaikan perbaiki dana kehilangan nasabah,-1
Saya mau login ke akun saya kenapa bolak balik masukin no tlp terus? Abis tu tiba2 force close!!! Dompet dana makin lama makin aneh!! Kadang transaksi nunggu juga lama,login akun bolak balik masukkan no telepon terus habis tiba force close dompet dana aneh kadang transaksi menunggu,-1
"Kenapa chatt WA hanya dibalas autobot? Chatt sore dibalasnya tengah malam, sedih ya. Kirim pesan di e mail malah disuruh ke WA, Kapan Akunku bisa dibuka harusnya kan kalau SMS terkendala bisa kirim otp di email beres kan? Kenapa harus ribet begini?",chatt whatsapp dibalas autobot chatt sore dibalasnya tengah malam sedih kirim pesan mail disuruh whatsapp akunku dibuka sms terkendala kirim otp email beres ribet,-1
"Pelayanan nya kurang sigap,saya sudah beberapa hari tidak bisa login sudah hub via email juga sampai saat ini belum ada tindak lanjut trus bagaimana biar uang saya bisa kembali,tolong DANA kembalikan akun saya",pelayanan kurang sigap login hubungi via email tindak lanjut terus uang kembali dana kembalikan akun,-1
"Aplikasi sampah , cuma mau ganti no karna no lama hilang dan lupa pin ribetnya ga kelar"" udah seminggu lbih cs cuma minta foto ini itu udah saya kirim dari ktp sampe kk dan video masih aja kurang . Saldo dana saya ga bisa di ambil . Hanya mementingkan keuntungan pribadi .",aplikasi sampah ganti no no hilang lupa pin ribetnya kelar seminggu cs meminta foto kirim ktp kakak video kurang saldo dana ambil mementingkan keuntungan pribadi,-1
"Turun bintang 1 saya pengguna lama dumpet digital DANA, sangatt kecewa ahir"" ini saya mau masuk ke akun dana selalu gagal.. Padahal pin sudah benar, malah di suruh menghubungi customer service.. Dahhh sangat kecewa,atas nama kurnia fahrudin",turun bintang pengguna dumpet digital dana sangatt kecewa ahir masuk akun dana gagal pin benar suruh menghubungi customer service kecewa atas nama kurnia fahrudin,-1
bagaimana sih cara foto kan kode QR dana tolong di informasikan saya kasih 2karna saya gk tau pas buka aplikasi trus ku masukkan nomor dan nama dan itu kode QR nya tidak ada tolong ya makasih kalau udah di informasikan baru saya kasih bintang 5 oh iy tambah satu lagi kode siapa tau mintak kode tolong kirim kode ya makasih,cara foto kode qr dana informasikan gak tahu pas aplikasi terus ku masukkan nomor nama kode qr terima kasih informasikan bintang oh tambah satu kode tahu mintak kode kirim kode terima kasih,-1
kenapa saya kalo buka dana selalu keluar keluar terus..cuman bolak balik ngisi nomor sama pin terus dari dulu...tolong dong di perbaiki..saya butuh banget kok malah nggk bisa di gunain,dana keluar keluar terus bolak balik mengisi nomor pin terus perbaiki butuh banget gunain,-1
"Bisa tidak dana merekomendasikan game yg benar2 membayar dan saya sudah coba daftar ditolak terus padahal e-ktp sudah foto terus foto wajah terus kasih Email + password + pin + kode otp tetap tidak bisa, kenapa ini?",dana merekomendasikan permainan benar membayar coba daftar ditolak terus ktp foto terus foto wajah terus email word pin kode otp tetap,-1
Selamat malam admin Ini aplikasi DANA kenapa ya? Saya ada transaksi 150k barusan lewat counter . Dan aplikasi DANA tiba tiba tidak bisa login Tolong infonya admin. Haduhhhhh,selamat malam admin aplikasi dana transaksi barusan lewat counter aplikasi dana tiba tiba login infonya admin aduh,-1
"Ini dana knpa jdi gk bisa login? Udah beberapa kali saya instal msih aj susah login mlah keluar lg keluar lg verifikasi sudah berhasil jg.. Saya sudah top up, tolong pihak dana respon..",dana jadi gak login kali instal aja susah login keluar keluar verifikasi berhasil top up pihak dana respon,-1
Mohon untuk penanganan keluhan lebih dipercepat lagi.mohon untuk diupdate kembali aplikasi dana seperti yang sebelumnya yang lebih simpel.kenapa sekarang banyak sekali keluhan gangguan dana ketika login malah muncul popup untuk menghubungi customer care dana.mohon segera ditindak lanjuti karena membuat transaksi jadi terhampat dan menjadi tidak nyaman menggunakan aplikasi ini lagi.terima kasih,untuk penanganan keluhan dipercepat untuk diupdate kembali aplikasi dana simpel keluhan gangguan dana login muncul popup untuk menghubungi customer care dana ditindak lanjuti membuat transaksi jadi terhampat menjadi nyaman menggunakan aplikasi terima,1
"Ini bagaimana sih masa mau login aja susah gak bisa bisa,,,, tolong pihak apk dana jgn di persulit karna uang saya berada disana kalo susah login ini bagaimana mana pihak yg mau bertanggu jawab tolong jelas kan",masa login susah pihak aplikasi dana persulit uang berada disana susah login pihak bertanggu jawab jelas,-1
"Kenapa akun saya tidak bisa login. Pas masukin nomor dan pin muncul tulisan "" Kamu tidak aktif terlalu lama "" Cara aktifin nya bgaimana min. Tolong di respons",akun login pas masukkan nomor pin muncul tulisan aktif cara aktifin bgaimana min respons,-1
Ini kenapa sih ko gabisa masuk ya. Giliran udah login masukin pin tinggal masuk ke beranda ko malah kembali terus gamau masuk. Padahal lagi butuh banget mau tf susah jadinya. Di email juga udah tapi blum ada respon lagi,tidak bisa masuk giliran login masukkan pin tinggal masuk beranda kembali terus gak mau masuk butuh banget tf susah jadinya email respon,-1
ini aplikasi aneh ya kalo beberapa hari ngga dibuka pasti selalu log out sendiri dan masuknya harus pake kode OTP tapi setiap minta kode OTP ngga ada smsnya!! itu gimana coba loginnya lagi stupid banget ni 6g bikin,aplikasi aneh dibuka log out masuknya pakai kode otp meminta kode otp smsnya coba loginnya stupid banget,-1
Ka bagai mana cara buka afk dana yang sudah login tapi susahdibuka sekarang baru saja saya isi dana tapi susah dibukaa mohon beri penhelasannya ya ka soalnya penting!!! Sayang lah uang kalo hangus,kakak cara afk dana login susahdibuka isi dana susah dibukaa beri penhelasannya kakak soalnya penting sayang uang hangus,-1
Gimana solusi nya Apk dana saya setelah saya log out gak bisa login kembali..begitu login stelah saya masukkan PIN malah disuruh hubungi call service..mohon bantuannya..,solusi aplikasi dana log out login kembali login masukkan pin disuruh hubungi call service bantuannya,-1
"Apaan ini kode otp gak dikirim kan udah 3 jam saya nunggu terus, via sms gak bisa, via WA jga gak bsa...., gimana ini min.mau login susah jadi nya... ribet kali.",kode otp dikirim jam menunggu terus via sms via whatsapp min login susah jadi ribet kali,-1
jangan deh pake apk ini bahaya saya aja ga bisa masuk padhal pin sama nomor saya bener tapi kok akunnya malah di bekukan ada gerangan apa si kawan buat PT ini kembalikan uang dan akun saya jangan jadi korban kaya saya ya.,deh pakai aplikasi bahaya masuk padhal pin nomor benar akunnya bekukan gerangan kawan pt kembalikan uang akun jadi korban kayak,-1
"Kok saya gak bisa login ke dana ya, katanya suruh hubungin customer service, masih gak bisa login, tolong bagaimana saya bisa login kembali ke dana?",login dana katanya suruh hubungin customer service login login kembali dana,-1
"Hallo dana gimana ini,di suru login terus pas login di suru login lagi gak mau masuk gimna ini tolong di perbaiki dong ,udah coba berkali kali tetap aja sama .",halo dana suruh login terus pas login suruh login masuk gimana perbaiki coba berkali kali tetap,-1
Sumpah kecewa dengan layanan DANA. Mau mayar tapi kok kode OTP nya lama gak di kirim2 sampai2 akun dana saya di bekukam 1jam. Tolong dong pihak dana. Kerja nya yang seriud,sumpah kecewa layanan dana mayar kode otp kirim akun dana bekukam jam pihak dana kerja seriud,-1
"Kecewa banget, saldo dana saya ada 33.800 tarus saya log out dari akun dana untuk pembersihan. Pas mau login lagi saya tinggal 800rupiah Ini kok bisa?",kecewa banget saldo dana tarus log out akun dana untuk pembersihan pas login tinggal rupiah,-1
