raw,processed,predict
"Saya sudah kirim email prihal pelepasan akun premium saya, sudah 7 hari tapi proses nya tidak selesai. Segala macam pertanyaan dan persyaratan sudah saya kirim. Tapi belum ada kejelasan terkait permasalahan saya. Sangat lambat responnya. Jika saya blm menghapus ulasan ini berarti pihak dana blm menyelesaikan keluhan saya.",kirim email prihal pelepasan akun premium proses selesai pertanyaan persyaratan kirim kejelasan terkait permasalahan lambat responnya menghapus ulasan berarti pihak dana menyelesaikan keluhan,-1
Parah sekali untuk responnya. Seharusnya untuk aplikasi seperti ini memperkerjakan customer service yang banyak untuk melayani customer. Sehingga customer puas dengan pelayanannya . Tidak MENUNGGU TERLALU LAMA SEPERTI INI. bagaimana kalau uang itu sangat dbutuhkan . Tidak bisa respon dengan cepat . Sangat KECEWA,parah untuk responnya untuk aplikasi memperkerjakan customer service untuk melayani customer customer puas pelayanannya menunggu uang dbutuhkan respon cepat kecewa,-1
"Respon dari costumer care sangat cepat dan profesional, fitur transaksi yang sangat komplit dan terintegrasi, sangat memuaskan bagi saya generasi milenial dalam upaya transaksi online bahkan memudahkan saya untuk berinvestasi saham di broker manapun.",respon costumer care cepat profesional fitur transaksi komplit terintegrasi memuaskan generasi milenial upaya transaksi onlen memudahkan untuk berinvestasi saham broker manapun,-1
"Penanganan nya kurang cepat mau ngirim ke rek lain malah menunggu hampir 5 hari sudah telfon cs tapi ga ada pemberitahuan selanjut nya,sudah kirim via email tapi cuman di kasih tiket gangguan nya ga ada penanganan nya!!!duit masih nyangkut di dana .RESPON NYA KURANG BAGUS",penanganan kurang cepat mengirim rek menunggu telfon cs pemberitahuan selanjut kirim via email tiket gangguan penanganan duit nyangkut dana respon kurang bagus,-1
"loading ketika masuk Aplikasi Lambat sekali, suka keluar dan mengulang aplikasi dari awal..... Masuk ke A+ Reward, Dana Bisnis pun juga lambat loadingnya padahal sudah menggunakan Wifi dan Data Seluler pun juga tetap sama!!! Ini menunjukkan bahwa yg bermasalah memang aplikasinya, bukan pada Jaringan pengguna!!!",loading masuk aplikasi lambat suka keluar mengulang aplikasi awal masuk penghargaan dana bisnis lambat loadingnya menggunakan wifi data seluler tetap menunjukkan bermasalah aplikasinya jaringan pengguna,-1
"Tadi nya seneng pake dana tapi setelah ada masalah kecil akun dana dibekukan, padahal seharus nya ada system untuk veryfikasi jadi tidak harus kontak costumer service,karena pelayana costumer service nya lambat sekali harus nya pihak dana melihat kelemahan ini dengan memperbaiki pelayanan costumer service nya,setelah ini kapok saya pakai dana",senang pakai dana masalah akun dana dibekukan seharus system untuk veryfikasi jadi kontak costumer service pelayana costumer service lambat pihak dana melihat kelemahan memperbaiki pelayanan costumer service kapok pakai dana,-1
"Costumer service nya payah, lambat banget pelayananya, uang kepotong hitungan detik, di responnya hitungan hari, sampai detik ini orderan saya belum di berikan, hanya di kasih alasan tidak memuaskan",costumer service payah lambat banget pelayananya uang kepotong hitungan detik responnya hitungan detik orderan berikan alasan memuaskan,-1
"Saya melakukan transfer dari dana ke rekening bank..biasanya lancar sih galama tapi baru kali ini transaksinya berstatus ""menunggu"".orang kan gatau ya kepentingan apa yg sedang berlangsung,saya udah coba menghubungi CS dana via whatsapp,e-mail,telepon dan youknowlah sudah tau jawabanya amat tidak memuaskan dan respon yg lambat serta tak dapat memberi solusi dan sekarang adalah hari ke 2 saya kecewa terhadap apk DANA!!! Saya naikan bintang 5 jika dihari ketiga transaksi saya berhasil:)",melakukan transfer dana rekening bank lancar galama kali transaksinya berstatus menunggu orang enggak tau kepentingan berlangsung coba menghubungi cs dana via whatsapp mail telepon youknowlah tahu jawabanya memuaskan respon lambat memberi solusi kecewa aplikasi dana naikan bintang dihari ketiga transaksi berhasil,-1
Serba simpel fikturnya ..aman dan nyaman sekali cocok buat anak jaman now..yuk daftar aja gunakan referal ( cls0ql ) dapat diverifikasih cepat dan mendapatkan bonus dari dana semoga sukses selalunya!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Is the best aplikasi dana !!!!!!!!!!!!!!;!;;;;!!!!!!!,serba simpel fikturnya aman nyaman cocok anak jaman now yuk daftar gunakan referal cls ql diverifikasih cepat mendapatkan bonus dana semoga sukses selalunya is the best aplikasi dana,1
"Sedikit jelek,, mending DANA yang dulu ga ribet, top up gampang, kirim gampang, ga ky sekrang, lambat banget,, padahal biasanya top up langsung masuk lah ini keluar dulu dan nunggu lama, perbaiki dong",jelek lebih baik dana ribet top up gampang kirim gampang lambat banget top up langsung masuk keluar menunggu perbaiki,-1
