raw,processed,predict
"Saya sangat kecewa dengan dana. Transaksi transfer ke rekening BCA saya tidak terikim2 alias nyantol sudah 1 Minggu gak ada pengembalian sama skali. Sudah saya email,whatsapp dan sudah telpon costomer care 3x malah disuruh nunggu terus. Kurang profesional dan slow respon. Saya tunggu iktikad dan kabar baiknya soal akun saya !!!",kecewa dana transaksi transfer rekening baca terikim alias nyangkut minggu pengembalian email whatsapp telpon costomer care disuruh menunggu terus kurang profesional slow respon tunggu iktikad kabar sebaiknya soal akun,-1
"DANA bener2 mengecewakan , sampai sekarang akun saya di bekukan dan tidak bisa login sampe saat ini sudah sekitar 1 Minggu Lebih dan uang saldo saya gak tau masih ada atau sudah hangus , telponn CS nya sudah lebih dari 5 kali sampe sekarang akun saya tetap saja tidak bisa login ,gak tau saya harus konplean kemana lagi , dan saya sangat kecewa ,padahal saya pengguna DANA sudah cukup lama Pesan saya pribadi ,mohon di perbaiki agar nasabah yg lain tidak kecewa seperti saya ,",dana benar mengecewakan akun bekukan login minggu uang saldo tahu hangus telponn cs kali akun tetap login tahu konplean kemana kecewa pengguna dana cukup pesan pribadi perbaiki nasabah kecewa,-1
"Dari 2018 sampai skg menggunakan dana, baru kali ini kecewa transfer ke rekening bank statusnya pending. Melihat ulasan di google kasus transfer ke rekening bank pending hanya terjadi dengan nominal besar. Menghubungi Cs WA selalu sibuk, email tidak ada jawaban, tlp pun selalu sibuk. Kenapa pelayanan dana jadi menurun seperti ini? Kapok ga akan pernah lg mengunakan dana untuk transaksi digital",menggunakan dana kali kecewa transfer rekening bank statusnya pending melihat ulasan google kasus transfer rekening bank pending terjadi nominal besar menghubungi cs whatsapp sibuk email jawaban telepon sibuk pelayanan dana jadi menurun kapok mengunakan dana untuk transaksi digital,-1
"Ini hub. Admin DANA kemana ya...? Klo ada masalah lalu gmn..? Sy ada masalah uang yg tertahan di dana karena pembelian sy di BUKALAPAK ditolak seller... Duh, lalu knp uangnya bukan dibalikin ke saldo akun BUKALAPAK...tp malah masuk ke dana...??? Lalu gmn nasib uang sy..? Knp ssy JADI URUSANNYA KE DANA .?? Bukan ke Bukalapak...? Gmn tanggung jawabnya BUKALAPAK..? Ammppuuuunnn..mo belanja malah jadi PUUSSIINGG... Duh jd mulai mikir2 dulu deh klo mau belanja lagi di bukalapak...",hubungi admin dana kemana masalah gimana masalah uang tertahan dana pembelian bukalapak ditolak seller aduh uangnya dibalikin saldo akun bukalapak masuk dana gimana nasib uang ya jadi urusannya dana bukalapak gimana tanggung jawabnya bukalapak ammppun belanja jadi puu iingg aduh jadi mulai mikir deh belanja bukalapak,-1
"Aplikasi sampah!!! Uang gua ketahan (menunggu) gara² tf gagal giliran di chat lewat wa, dm twitter, sama email ga ada respon sama sekali, pas ditelpon cs nya baru ngomong sebentar langsung di matiin sampe abis pulsa 20rb lebih cuma buat nanya ke cs yg belum sampe 2 menit ngomong langsung panggilan di akhiri.. Aplikasi jelek!!! Bagi yg belum download Jangan di download deh slow respon bener ini cs nya",aplikasi sampah uang ketahan menunggu gara tf gagal giliran chat lewat whatsapp dm twitter email respon pas ditelpon cs bicara sebentar langsung matiin habis pulsa ribu tanya cs menit bicara langsung panggilan akhiri aplikasi jelek download download deh slow respon benar cs,-1
"Tolong dong dibantu prosesnya,saya baru transfer tapi ko pending trus. Saya kasih bintang satu dulu, kalo udah balik lagi uangnya atau terkirim secepatnya saya tambah lagi bintangnya😔tolong segera di proses, sangat urgent untuk berobat. Terima kasih.",dibantu prosesnya transfer pending terus bintang satu balik uangnya terkirim secepatnya tambah bintangnya proses urgent untuk berobat terima,1
"Tadi tf ke ovo, biasanya dalam hitungan detik uang sudah berhasil, tapi sampe sekarang belum masih belum brhasil itu gmana ya? Tapi uang sudah kepotong dan proses masih berlangsung. Di ovo juga belum masuk, biasanya aman2 aja tuh kenapa ya. Uang sudah kepotong tapi trasnferan belum berhasil",tf ovo hitungan detik uang berhasil berhasil uang kepotong proses berlangsung ovo masuk aman uang kepotong trasnferan berhasil,-1
Nyesel bgt pake dana kenapa sih kalo pas buka apk trus mau klik kirim uang selalu muter muter trus padahal sinyal full... TOLONG PIHAK DANA PERBAIKI SERVER ANDA!!!!!!! Saya janji kalo seperti ini trus saya akan pindah aja dompet digital ke gopay sama ovo !!!!,menyesal banget pakai dana pas aplikasi terus klik kirim uang muter muter terus sinyal full pihak dana perbaiki server janji terus pindah dompet digital gopay ovo,-1
"Kemarin sudah bener berhasil di konfirmasi upgrade premiumnya, kok sekarang berubah gagal konfirmasi lagi sih kak, padahal kemarin saya sudah seneng mau topup lagi. Kalo begini terus capek kak, ini saya komplain sekali lagi dan yg terakhir kali, kalo gak berhasil juga maka mending pake aplikasi lain sajalah masih banyak ini. Terimakasih",kemarin benar berhasil konfirmasi upgrade premiumnya berubah gagal konfirmasi kak kemarin senang topup terus cape kak komplain terakhir kali berhasil lebih baik pakai aplikasi terimakasih,-1
Parah sekali untuk responnya. Seharusnya untuk aplikasi seperti ini memperkerjakan customer service yang banyak untuk melayani customer. Sehingga customer puas dengan pelayanannya . Tidak MENUNGGU TERLALU LAMA SEPERTI INI. bagaimana kalau uang itu sangat dbutuhkan . Tidak bisa respon dengan cepat . Sangat KECEWA,parah untuk responnya untuk aplikasi memperkerjakan customer service untuk melayani customer customer puas pelayanannya menunggu uang dbutuhkan respon cepat kecewa,-1
"Tolong dong aplikasinya diperbaiki, saya sudah meng update dan sudah meng uprage. Tapi kenapa akun saya tidak bisa jadi premium? Padahal dua bulan yg lalu akun saya sudah premium saya sudah mengikuti prosedurnya. Tapi sekarang kok ga bisa lagi? Mohon pencerahannya uang saya masih ada 150.000 didalamnya",aplikasinya diperbaiki meng update meng uprage akun jadi premium dua bulan akun premium mengikuti prosedurnya pencerahannya uang didalamnya,-1
"Tolong kembalikan saja saldo saya karena sudah 1x24 jam saya menunggu. Saldo berkurang transaksi sampai skrng tulisannya di aplikasi masih menunggu, mau sampai kapan menunggu??? Di hub via whatsapp selalu penuh layanan di email lama balasannya dan tidak ada solusinya",kembalikan saldo jam menunggu saldo berkurang transaksi tulisannya aplikasi menunggu menunggu hubungi via whatsapp penuh layanan email balasannya solusinya,-1
"Hai kak, aku mau kasih kritik terkait penggunaan Dibagian pembayaran seperti pulsa & data, listrik, digital Voucher dll. Loading pada jam 7pm sampai jam 3 am sangat sering lama ketika buka aplikasi sampai bisa terbuka bagian elektronik payment nya. Cara yg sudah saya lakukan update aplikasi, clear cache, dan untuk koneksi internet saya sudah test dan jaringan stabil namun tetep lama Sekian terimakasih ditunggu pembaruannya",hai kak kritik terkait penggunaan dibagian pembayaran pulsa data listrik digital voucher dan lain-lain loading jam pm jam aplikasi terbuka bagian elektronik payment cara lakukan update aplikasi clear cache untuk koneksi internet test jaringan stabil tetap sekian terimakasih ditunggu pembaruannya,-1
Saya saran kan kepada seluruh pengguna aplikasi DANA..mulai sekarang jangan pakai lagi aplikasi Dana ini..selamatkan uang anda.. Sudah beberapa rekan tf uang k DANA saya..uang tidak ada yang masuk..ada apa dengan DANA sekarang????,saran pengguna aplikasi dana mulai pakai aplikasi dana selamatkan uang rekan tf uang dana uang masuk dana,-1
"Awalnya saya happy2 aja menggunaan DANA, Bahkan sempat recommendasiin pcr saya untuk download. TAPI 4hari yg lalu saya trx menggunakan DANA. saldo saya kepotong, tpi dari sananya blm masuk. Dirowayat pengiriman ketnya masih dalam proses. Sudah tlpn ke cust service, sudah email, sudah WA ke DANA tapi sampai dengan hari ini belum ada solusinya. Tolong masalah handling complaint nya ditingkatkan lg, trimakasih.",awalnya bahagia menggunaan dana recommendasiin pcr untuk download trx menggunakan dana saldo kepotong sananya masuk dirowayat pengiriman ketnya proses telepon cust service email whatsapp dana solusinya masalah handling complaint ditingkatkan trimakasih,-1
"Tolong akun saya yang dibekukan tanpa sebab di buka kembali. Tolong berikan penjelasan, saya sudah kirim email untuk pengaduan masalah saya dalam aplikasi ini. Tp tidak ada tindak lanjut yg jelas. Saya mau menggunakan dana saya untuk transaksi penting.",akun dibekukan kembali berikan penjelasan kirim email untuk pengaduan masalah aplikasi tindak lanjut jelas menggunakan dana untuk transaksi penting,-1
"dana ini mau nipu atau gimana sih,saldo saya 300 ribu,kok tidak bisa verifikasi ke premium,error terus padahal saya telah mengikuti semua intruksi yang telah di berikan,kembalikan saldo dana saya,atau saya laporkan kepihak berwajib atas tindakan penipuan!",dana tipu saldo ribu verifikasi premium error terus mengikuti intruksi berikan kembalikan saldo dana laporkan kepihak berwajib atas tindakan penipuan,-1
"Padahal aplikasinya udah bagus tapi sayang untuk mengatasi masalah sangat sangat buruk sekali, uang saya ngak tau kmn terkirim ngak dikembalikan juga ngak, di hubungi lewat wa dilempar ke email, pas di email sampe sekarang belum juga ada solusi, di telpon juga ngak bisa..",aplikasinya bagus sayang untuk mengatasi masalah buruk uang nggak tahu kemana terkirim nggak dikembalikan nggak hubungi lewat whatsapp dilempar email pas email solusi telpon nggak,-1
Saya transfer ke bank lain. Tapi di riwayat tertulis menunggu. 1 hari saya tunggu dan masih gak masuk juga. Ko jadi gak jelas ini apk. Kalo uang saya gak kembali. Saya akan sebarin ke teman teman saya yang sudah donwload biar pada tau jeleknya aplikasi ini.,transfer bank riwayat tertulis menunggu tunggu masuk jadi jelas aplikasi uang kembali sebarin teman teman donwload tahu jeleknya aplikasi,-1
"Saya sangat kecewa, saya mau transfer uang untuk bayar lazada tidak bisa, karena tidak bisa di pakai untuk transaksi, jdi saya mau transfer balik uang saya ke rekening tp itu pun susah harus upgrade dlu ke premium,, Ribet bgt si Tlg dong dipermudah Pelayanan customer juga lelet bgt kayak keong lgi jalan, org lagi penting juga lama bgt responnya. Toloooooong tolong BANGET diperbaiki lgi pelayanannya... Terimakasih",kecewa transfer uang untuk bayar lazada pakai untuk transaksi jadi transfer balik uang rekening susah upgrade premium ribet banget dipermudah pelayanan customer lambat banget keong jalan orang penting banget responnya banget diperbaiki pelayanannya terimakasih,-1
"Apk ini udah parah. Jgn digunakan lgi. Hari ini sy sengaja memasukkan saldo untuk beli kuota. Beli ga bisa, mau sy kembalikan ke rekening jga susah. Kevewa bgt. Klo udah ga siap running mending hps aja dr PS. Merugikan banyak masyarakat klo caranya begini. Bgmna klo mau transaksi urgent apa ga kelabakan",aplikasi parah digunakan sengaja memasukkan saldo untuk beli kuota beli kembalikan rekening susah kevewa banget siap running lebih baik hps pas merugikan masyarakat caranya transaksi urgent kelabakan,-1
"Susah banget buat transaksi online nomer handphone selalu saja sudah terdaftar akun lain saya bingung,dan akhirnya uninstal ulang eh malah gak bisa dapat kode OTP yang baru,katanya kode sudah terkirim ke nomer anda tapi kok gak ada sih ,gimana nih min...tolong dong bantu",susah banget transaksi onlen nomer handphone terdaftar akun bingung uninstal ulang eh kode otp katanya kode terkirim nomer min bantu,-1
"Top up gak kunjung masuk, padahal biasanya enak2 saja. Menghubungi WhatApps yg bales robot balesannya penuh mulu, Email yg bales juga robot disuruh ngisi data2 yg yg diperlukan setelah itu lama banget balesnya ( inikah costumer 24 jam yg tertera di aplikasi lho ). Yg nama orang top up itu pasti butuh, jdi permasalahannya harus dicepetin gak seenak jidat lho,,, satu lagi ini aplikasi setelah update malah sering keluar sendiri, lemot pula",top up kunjung masuk enak menghubungi whatapps balas robot balesannya penuh terus email balas robot disuruh mengisi data diperlukan banget balesnya costumer jam tertera aplikasi lho nama orang top up butuh jadi permasalahannya dicepetin seenak jidat lho satu aplikasi update keluar lambat,-1
"Terimakasih pihak dana karena telah bisa menyelesaikan masalah saya, ketika ingin membuat akun. Dan sekarang saya bisa masuk ke apk dana. Apk dana sangat membantu saya dalam melakukan pembelian secara online jadi terimakasih dana atas fasilitas yang bagus semoga bisa menambah fitur fitur yang lain lagi dan tetap menjaga keamanan dan ke nyaman pengguna.",terimakasih pihak dana menyelesaikan masalah membuat akun masuk aplikasi dana aplikasi dana membantu melakukan pembelian secara onlen jadi terimakasih dana atas fasilitas bagus semoga menambah fitur fitur tetap menjaga keamanan nyaman pengguna,-1
"Aduh kok jadi begini sih min !!! Tiba"" mau login sandi salah ! Padahal udah bener loh dan 3x coba malah di bekukan dalam 1 jam ! Ini maksudnya apa yah ... Mohon perbaiki akun saya . saya baru saja mengirim uang sebanyak 300rb",aduh jadi min tiba login sandi salah benar loh coba bekukan jam maksudnya ya perbaiki akun mengirim uang ribu,-1
Mohon info nya kak . Saya udah register dana. Tapi kemarin saya mau masuk ke dana lagi. Nomor yang saya pake regist hilang dan saya harus gimana biar saya bisa membuka dan transaksi pake akun. Dana saya lagi. Mohon info ny trimakasih,informasi kak register dana kemarin masuk dana nomor pakai regist hilang membuka transaksi pakai akun dana informasi trimakasih,-1
"Bagus, belum pernah ada masalah selama saya pakai dana... top up lancar, tarik tunai lancar, kirim uang lancar, bayar apapun lancar dan sukses... thanks you dana terus pertahankan dan jangan bikin pelanggan kecewa!!!",bagus masalah pakai dana top up lancar tarik tunai lancar kirim uang lancar bayar apapun lancar sukses terima kasih you dana terus pertahankan pelanggan kecewa,-1
"Tiap kali melakukan pembayaran melalui scan QRIS selalu tidak bisa, padahal aplikasi selalu di update tiap kali ada update. Padahal pakai e-wallet lain scan QRIS nya bisa ,hanya DANA aja pas scan tidak bisa . Tolong di perbaiki!!",kali melakukan pembayaran scan qris aplikasi update kali update pakai wallet scan qris dana pas scan perbaiki,-1
