raw,processed,predict
"Habis upgrade malah gabisa cari nomer yang mau ditrasfer, padahal sebelumnya fine² aja. Mungkin bisa diperbaiki lagi ya, nanti akan saya ganti untuk penilaiannya jika sudah kembali seperti semula.",habis upgrade tidak bisa cari nomer ditrasfer fine diperbaiki ganti untuk penilaiannya kembali,-1
"Sebelum saya upgrade ke versi terbaru nya ini ga ada masalah sama sekali, tp sekarang malah link aja saya ga bisa terbuka lg aplikasinya, salah nya dimana ya? Tolong dibantu dong?? Pd saat aplikasi dibuka keluar option pilih bahasa, begitu dipilih malah itu² terus yg keluar, sedangkan aplikasi nya kayak henk gitu, makasih sebelum nya🙏🙏",upgrade versi terbaru masalah link terbuka aplikasinya salah dimana dibantu aplikasi dibuka keluar option pilih bahasa dipilih terus keluar aplikasi henk terima kasih,-1
"hp rusak plus kartu juga, saya ingin login, dan sudah terdaftar di aplikasi ini, supaya bisa masuk tanpa menggunakan kartu itu bagaimana? Seperti halnya aplikasi mytelkomsel, aplikasi tersebut bisa login tanpa kartu, tapi bisa masuk ke aplikasi lewat verifikasi gmail, yg saya harapkan itu dari aplikasi LinkAja ini. paling minim ada opsi lah untuk bisa login tanpa ada kartu di aplikasi ini.",handphone rusak plus kartu login terdaftar aplikasi masuk menggunakan kartu halnya aplikasi mytelkomsel aplikasi login kartu masuk aplikasi lewat verifikasi gmail harapkan aplikasi linkaja minim opsi untuk login kartu aplikasi,-1
"Tak perlu untuk upgrade,jika layanan sudah memuaskan,jika sudah baik,tak ada guna suruh upgrade versi baru,tapi malah harus copot versi lama dulu,,ia kalau masih inget kata sandi,,",perlu untuk upgrade layanan memuaskan baik suruh upgrade versi copot versi ingat kata sandi,-1
"Tolong dong jangan mempersulit pelanggan , saya pelanggan setia link aja , Makai gak pernah ada masalah, tiba"" upgrade sendiri aplikasinya, kebetulan no saya tsb sudah mati dan patah kartunya , saya sudah hub pihak XL online tapi tidak bisa di reaktivasi kartunya, sudah mengisi formulir pemindahan Saldo secara lengkap pake softcopy malah disuruh isi data secara ulang melalui email, dan minta cap tanda basah dr operator,, saya hanya mau uang saya kembali, udah susah di buat susah lagi 😭",mempersulit pelanggan pelanggan setia link makai masalah tiba upgrade aplikasinya kebetulan no mati patah kartunya hubungi pihak xl onlen reaktivasi kartunya mengisi formulir pemindahan saldo secara lengkap pakai softcopy disuruh isi data secara ulang email meminta cap tanda basah operator uang kembali susah susah,-1
mohon maaf knapa pada waktu ambil foto untuk update full service susahnya minta ampun. tolong di permudah. saya ambil berkali kali da hasilnya bagus sudah sesuai instruksi namun jawaban foto tidak bisa terbaca terus. sudah ganti Hp dengan kulaitas HP bagus masih sama saja. bingung saya. sementara saya kasih bintang satu sampai saya sukses bisa upgrade,maaf knapa waktu ambil foto untuk update full service susahnya meminta ampun permudah ambil berkali kali hasilnya bagus sesuai instruksi jawaban foto terbaca terus ganti handphone kulaitas handphone bagus bingung bintang satu sukses upgrade,-1
Mau log in aja kok susah banget.. kode verifikasi gak keluar2. Pas udah dapet kode gabisa autofill dan gak bisa di copy paste ke aplikasi. Gimana nih setelah upgrade malah jadi buruk banget,log susah banget kode verifikasi keluar pas kode tidak bisa autofill copy paste aplikasi upgrade jadi buruk banget,-1
Barusan habis update. Tapi sampai sekarang saya belum terima kode verifikasi akun saya. Sudah berkali² coba masih saja belum dapat. Tolong donk.. saya jadi susah untuk transaksi.,barusan habis update terima kode verifikasi akun berkali coba jadi susah untuk transaksi,-1
Saya top up pulsa gagal. Sampai skrg blm balik. Setelah saya upgrade versi malah jadi ngelag2 mulu. Buat cek emoney jg ga bisa. Maunya apa sih. Malah lancar versi sebelumnya.,top up pulsa gagal balik upgrade versi jadi ngelag terus cek emoney maunya lancar versi,-1
"Saran : Bolehkan tim linkaja memproses keamanan akun transaksi kita dengan penambahan kode OTP setelah pin? Tolonglah kalau sudah bagus ga usah diotak atik, setelah diupdate terakhir ini malah sering nutup sendiri dan agak lambat. Ga usah buat kacau aplikasi lah buat jengkel aja",saran bolehkan tim linkaja memproses keamanan akun transaksi penambahan kode otp pin tolonglah bagus perlu diotak atik diupdate terakhir nutup lambat perlu kacau aplikasi jengkel,-1
"V 4.18.1 banyak masalah nya, aplikasi gampang hang, setiap kali memulai aplikasi akun sering keluar sendiri dilaman awal masukin nomor hp sama sandi terus, tab favorit yg sudah disimpan hilang semuamya!!. Mending gk usah di keluarin pembaharuan jika banyak masalah !!! Pembaruan itu untuk ngilangin masalah (bug) bukan munculin masalah (bug). Hah, padahal udah lama gunain link aja, jadi niat mau ganti ke dompet digital yg sejenis deh...",masalah aplikasi gampang hang kali memulai aplikasi akun keluar dilaman awal masukkan nomor handphone sandi terus tab favorit disimpan hilang semuamya lebih baik gak perlu mengeluarkan pembaharuan masalah pembaruan untuk menghilangkan masalah bug munculin masalah bug hah gunain link jadi niat ganti dompet digital sejenis deh,-1
Kak minta tolong bantuannya ini gimana ya mau masuk aja susah padahal nomernya sudah betul. Padahal sebelumnya ndak pernah ada masalah tapi tiba tiba upgrade sendiri tolong kak soalnya link aja saya pakai buat kerja e kalau susah masuk terus gimana🙄,kak meminta bantuannya masuk susah nomernya betul masalah tiba tiba upgrade kak soalnya link pakai kerja susah masuk terus,-1
"Aplikasi ampas, sms verifikasi lambat masuk. Keburu waktu habis, setengah jam kemudian baru masuk, nomor kadaluarsa anjink!!!. Jangan percaya fintech yg gak ada kantor cabangnya. Karena kalau ada kendala susah urusan. 3 kali dah kecewa sama app ini. Bye uninstall dan tidak menyarankan orang buat aplikasi ini. Verifikasi mu itu basi dan ketinggalan zaman.",aplikasi ampas sms verifikasi lambat masuk terlanjur waktu habis setengah jam masuk nomor kadaluarsa anjink percaya fintech kantor cabangnya kendala susah urusan kali kecewa app bye uninstall menyarankan orang aplikasi verifikasi mu basi ketinggalan zaman,-1
"Saat saya update ke versi terbaru, saya tidak bisa mengakses akun link aja saya karna nomor tsb sudah tidak saya gunakan lagi. Padahal akun saya tersebut telah full service. Saya berharap bisa menggunakan akun saya tersebut seperti biasa. Apakah akun tersebut bisa diganti nomor? Terimakasih",update versi terbaru mengakses akun link nomor gunakan akun full service berharap menggunakan akun akun diganti nomor terimakasih,-1
Cukup maximal di kasih 1 aja. Tak akan di tambah lagi Logout melulu Minta verifikasi email melulu Pdhl sudah dan sering verifikasi email dan nomor Jd tiap mau transaksi selalu terhambat .,cukup maximal tambah logout melulu meminta verifikasi email melulu verifikasi email nomor jadi transaksi terhambat,-1
"Saya upgrade ke versi 4.18.1 kok jadi tidak bisa di buka ya? Hang..... Teman saya juga download untuk pertama kali, hp nya langsung jadi kedip2 di versi ini. Tolong di perbaiki BUGnya. Terimakasih",upgrade versi jadi hang teman download untuk pertama kali handphone langsung jadi kedip versi perbaiki bugnya terimakasih,-1
"Kenapa untuk upgrade akun sulit sekali??? Foto ktp saya blur, dan itu masa aktif seumur hidup Tolong beri kemudahan seperti apk sebelah, dengan melampirkan dokumen lain.",untuk upgrade akun sulit foto ktp blur masa aktif seumur hidup beri kemudahan aplikasi sebelah melampirkan dokumen,-1
Hai admin tolong dong gimana caranya upgrade kok gak bisa terus ya padahal udah diulang beberapa kali tetap aja nggak bisa tolong dong Solusinya 🙏🙏soalnya mau ambil uang jadi ribet,hai admin caranya upgrade terus diulang kali tetap solusinya soalnya ambil uang jadi ribet,-1
"Tolong bantu akun yang terblokir donk jangan kalian udah di telpon malah gak membantu sama sekali Malah pulsa saya yg habis sekali nelpon habis 5000 lagi .jadi uang saya udah lengket di aplikasi ini ,dasar pemerasan",bantu akun terblokir telpon membantu pulsa habis nelpon habis jadi uang lengket aplikasi dasar pemerasan,-1
"Mau upgrade full servis gagal terus pada, padahal data yang masukan benar dan foto ktp juga terang, gimana sih tolong dibantu.",upgrade full servis gagal terus data masukan benar foto ktp terang dibantu,-1
