raw,processed,predict
"Kecewa sm aplikasi ini. Kmrin aku mau narik uang aku di linkaja melalui atm, jd aku transfer uangku ke rekening bri ku, eh tiba2 malah ke pending dan smpe skrg uangku belum masuk ke rekeningku. Mana ngga bisa dicancel juga, jd statusnya pending trs. Giliran aku email cs nya malah disuruh nunggu sampe senin, gila kali aku disuruh nunggu 4 hari buat narik uang aku sendiri? Knp bisa pendingnya lama gitu sih? Pdhl aku udh blg lg butuh uang itu skrg, dan seenaknya aja ditahan uangku sm aplikasi ini",kecewa aplikasi kemarin menarik uang linkaja atm jadi transfer uangku rekening bri ku eh tiba pending uangku masuk rekeningku dicancel jadi statusnya pending terus giliran email cs disuruh menunggu senin gila kali disuruh menunggu menarik uang pendingnya udah bilang butuh uang seenaknya ditahan uangku aplikasi,-1
Bintang berkurang karena saya ada kendala nomer telfon yg di pakai sudah tidak bisa terpakai..tapi tidak ada solusi yg mudah dari link aja...gara2 nomer tlfn yg di pakai link aja mati jadi saya tidak bisa terima kode verifikasi.tolong solusinya min..saldo saya masih ada di link aja padahal selama ini saya suka bgt pakai link aja baru kali ini ada kendala trimakasih,bintang berkurang kendala nomer telfon pakai terpakai solusi mudah link gara nomer tlfn pakai link mati jadi terima kode verifikasi solusinya min saldo link suka banget pakai link kali kendala trimakasih,-1
Saya sudah menghubungi lewat email dan disuruh melampirkan data diri dan berkas pendukung salah satu nya Kartu Keluarga. Saya sudah memfoto Kartu Keluarga Asli tetapi selalu ditolak karena dikira Fotocopy karena kertasnya HVS Putih. Mohon diberikan edukasi kepada Verifikator Bahwa Dokumen Kartu Keluarga yang terbaru dari Disdukcapil itu MEMANG MENGGUNAKAN KERTAS HVS PUTIH JADI JANGAN DIKIRA FOTOCOPY.,menghubungi lewat email disuruh melampirkan data berkas pendukung salah satu kartu keluarga memfoto kartu keluarga asli ditolak dikira fotocopy kertasnya hvs putih diberikan edukasi verifikator dokumen kartu keluarga terbaru disdukcapil menggunakan kertas hvs putih jadi dikira fotocopy,-1
Aplikasi aneh.. Sudah top up tapi gk masak.. Udah telfon call center.. Suruh nunggu 1x24 jam.. Udah tunggu.. Tetep gk masuk.. Di telfon lagi.. Katanya suruh nunggu lagi.. Kan aneh...,aplikasi aneh top up gak masak telfon call center suruh menunggu jam tunggu tetap gak masuk telfon katanya suruh menunggu aneh,-1
Cukup maximal di kasih 1 aja. Tak akan di tambah lagi Logout melulu Minta verifikasi email melulu Pdhl sudah dan sering verifikasi email dan nomor Jd tiap mau transaksi selalu terhambat .,cukup maximal tambah logout melulu meminta verifikasi email melulu verifikasi email nomor jadi transaksi terhambat,-1
"Tolong bantu akun yang terblokir donk jangan kalian udah di telpon malah gak membantu sama sekali Malah pulsa saya yg habis sekali nelpon habis 5000 lagi .jadi uang saya udah lengket di aplikasi ini ,dasar pemerasan",bantu akun terblokir telpon membantu pulsa habis nelpon habis jadi uang lengket aplikasi dasar pemerasan,-1
Saya telpon untuk ngajuin keluhan tpi biaya nya mahal.. tolong la woii .. dh 400 ribu ni hilang karena transaksi yg tidak terkirim ke tujuan.. transaksi yg saya alami transaksi pengiriman pulsa dengan nominal 100 ribu hingga 4 kali transaksi.. payah payah payah payah,telpon untuk mengajukan keluhan biaya mahal woii deh ribu hilang transaksi terkirim tujuan transaksi alami transaksi pengiriman pulsa nominal ribu kali transaksi payah payah payah payah,-1
"Ok banget appnya, pernah transaksi pending. Nyoba kontak ke email kal ga salah slow respon, kemudian nyoba kirim dm ke akun twitternya. Ga selang lama uang dah masuk ke rekening tujuan meski status si app masih pending. Sukses selalu LinkAja...",ok banget appnya transaksi pending mencoba kontak email kal salah slow respon mencoba kirim dm akun twitternya selang uang masuk rekening tujuan status app pending sukses linkaja,-1
"Udah kalo mau top up susah,pasti di semua indomart bilangnya eror... Kalo niat bikin apk ya sesuai email lah,jgn sesuai nomer nomer gua udah gak ada dimintain verivikadi mlh di dlm ada saldonya ajg Payah",top up susah indomabilangnya eror niat aplikasi sesuai email sesuai nomer nomer dimintain verivikadi saldonya anjing payah,-1
"Jangan download aplikasi ini, karena ada di masalah pending transaksi apapun, itu lama sekali refundnya, sangat buruk aplikasi ini, tanggapan dari admin juga respon sulit, kasian pelanggan aplikasi ini uang nya stuck aja di aplikasi tidak di tindak lanjuti. Sangat payah dan jelek. Perbaiki segera. Atau uninstall massal. Ok!!!",download aplikasi masalah pending transaksi apapun refundnya buruk aplikasi tanggapan admin respon sulit kasihan pelanggan aplikasi uang stuck aplikasi tindak lanjuti payah jelek perbaiki uninstall al ok,-1
