raw,processed,predict
"saya kan sempat gagal memasukkan pin 3x akhirnya dianjurkan untuk reset pin hanya via call center (via email, dan via pertanyaan keamanan belum diatur) namun sudah 2x tlpn call center disetiap kalibrasi data selalu terputus, apakah tidak ada solusi lain untuk reset pin?",gagal memasukkan pin dianjurkan untuk reset pin via call center via email via pertanyaan keamanan diatur telepon call center disetiap kalibrasi data terputus solusi untuk reset pin,-1
"hp rusak plus kartu juga, saya ingin login, dan sudah terdaftar di aplikasi ini, supaya bisa masuk tanpa menggunakan kartu itu bagaimana? Seperti halnya aplikasi mytelkomsel, aplikasi tersebut bisa login tanpa kartu, tapi bisa masuk ke aplikasi lewat verifikasi gmail, yg saya harapkan itu dari aplikasi LinkAja ini. paling minim ada opsi lah untuk bisa login tanpa ada kartu di aplikasi ini.",handphone rusak plus kartu login terdaftar aplikasi masuk menggunakan kartu halnya aplikasi mytelkomsel aplikasi login kartu masuk aplikasi lewat verifikasi gmail harapkan aplikasi linkaja minim opsi untuk login kartu aplikasi,-1
Mau log in aja kok susah banget.. kode verifikasi gak keluar2. Pas udah dapet kode gabisa autofill dan gak bisa di copy paste ke aplikasi. Gimana nih setelah upgrade malah jadi buruk banget,log susah banget kode verifikasi keluar pas kode tidak bisa autofill copy paste aplikasi upgrade jadi buruk banget,-1
Bintang berkurang karena saya ada kendala nomer telfon yg di pakai sudah tidak bisa terpakai..tapi tidak ada solusi yg mudah dari link aja...gara2 nomer tlfn yg di pakai link aja mati jadi saya tidak bisa terima kode verifikasi.tolong solusinya min..saldo saya masih ada di link aja padahal selama ini saya suka bgt pakai link aja baru kali ini ada kendala trimakasih,bintang berkurang kendala nomer telfon pakai terpakai solusi mudah link gara nomer tlfn pakai link mati jadi terima kode verifikasi solusinya min saldo link suka banget pakai link kali kendala trimakasih,-1
Barusan habis update. Tapi sampai sekarang saya belum terima kode verifikasi akun saya. Sudah berkali² coba masih saja belum dapat. Tolong donk.. saya jadi susah untuk transaksi.,barusan habis update terima kode verifikasi akun berkali coba jadi susah untuk transaksi,-1
"Saran : Bolehkan tim linkaja memproses keamanan akun transaksi kita dengan penambahan kode OTP setelah pin? Tolonglah kalau sudah bagus ga usah diotak atik, setelah diupdate terakhir ini malah sering nutup sendiri dan agak lambat. Ga usah buat kacau aplikasi lah buat jengkel aja",saran bolehkan tim linkaja memproses keamanan akun transaksi penambahan kode otp pin tolonglah bagus perlu diotak atik diupdate terakhir nutup lambat perlu kacau aplikasi jengkel,-1
"Aplikasi nya minta diperbarui tapi, selsai diperbarui aplikasi enggak bisa minta kode verivikasi tapi sms kodenya masuknya telat nunggu waktu habis baru sms masuk, jaringan enggak bermasalh aman aman aja, ngapain diperbarui kalau ribet, solusi dong min gimana, udah ditop up baru minta perbarui",aplikasi meminta diperbarui selsai diperbarui aplikasi meminta kode verivikasi sms kodenya masuknya terlambat menunggu waktu habis sms masuk jaringan bermasalh aman aman sedang apa diperbarui ribet solusi min ditop up meminta perbarui,-1
"Di versi terbaru ini susah banget login nya,sering logout sendiri sebelumnya tidak ada kendala,versi ini kok jelek bgt mana saldo di link masih ada lagi",versi terbaru susah banget login logout kendala versi jelek banget saldo link,-1
"Tolong minn.. Saya tadi salah masukin kode verifikasi trus d suruh nunggu 10 menit.. Trus saya udah nunggu hampir stengah jam kok belum bisa.. Trus knpa link saya tiba"" keluar sendiri..",minn salah masukkan kode verifikasi terus suruh menunggu menit terus menunggu stengah jam terus link tiba keluar,-1
Kenapa saya tidak bisa login di akun saya sendiri. Padahal dulu lancar. Apa karena saldo saya yang di curi oleh pihak linkaja. Jadi saya tidak bisa login. Cs sudah saya hubungi tapi tidak ada tanggapan. Apa2an kalau begitu,login akun lancar saldo curi pihak linkaja jadi login cs hubungi tanggapan an,-1
