raw,processed,predict
"Aplikasi ampas, sms verifikasi lambat masuk. Keburu waktu habis, setengah jam kemudian baru masuk, nomor kadaluarsa anjink!!!. Jangan percaya fintech yg gak ada kantor cabangnya. Karena kalau ada kendala susah urusan. 3 kali dah kecewa sama app ini. Bye uninstall dan tidak menyarankan orang buat aplikasi ini. Verifikasi mu itu basi dan ketinggalan zaman.",aplikasi ampas sms verifikasi lambat masuk terlanjur waktu habis setengah jam masuk nomor kadaluarsa anjink percaya fintech kantor cabangnya kendala susah urusan kali kecewa app bye uninstall menyarankan orang aplikasi verifikasi mu basi ketinggalan zaman,-1
"Untuk melakukan transaksi dari linkaja ke rekening bri sangat sulit. Tidak bisa transfer. Keluhan saya itu saja selama sebulan ini memakai linkaja. Semoga cepat disetting ulang, biar mempermudah bertransaksi ke seluruh bank. Terimakasih.",untuk melakukan transaksi linkaja rekening bri sulit transfer keluhan sebulan memakai linkaja semoga cepat disetting ulang mempermudah bertransaksi bank terimakasih,-1
"Parag lambat sistem nya , masa transfer kBNI pending di suruh nunggu 1x24 jam , woooiii itu uang mau di pakai , seenak nya aja di pending , d tlp alesan gak ada gangguan , lah itu kenapa duit saya di pending , aplikasi lain tidak seperti ini , burukkk lah pakai link gak guna , masih banyak yang 0 rupiah jika tf k bank lain 😏",parag lambat sistem masa transfer kbni pending suruh menunggu jam woi uang pakai seenak pending telepon alesan gangguan duit pending aplikasi buruk pakai link rupiah tf bank,-1
Dear LinkAja Alangkah baiknya pada pembaharuan berikutnya dilengkapi dengan fitur WIDGET sehingga ketika akan melakukan transaksi menggunakan barcode dapat dilakukan secara cepat dan tepat. Overall semua baik. Mohon untuk ditingkatkan. Terimakasih.,dear linkaja alangkah sebaiknya pembaharuan berikutnya dilengkapi fitur widget melakukan transaksi menggunakan barcode dilakukan secara cepat tepat overall baik untuk ditingkatkan terimakasih,-1
"Aplikasi penipu , kembalikan uang saya woiii masa isi saldo sampai sekarang status pending , harus menunggu berapa Minggu lagi orang butuh cepat woii, kalau sampai besok tdk ada tanggapan saya sebarkan ini biar aplikasi ini hancur di telfon tdk ada respon, klaau belum sanggup buat aplikasi GK usah iya merugikan masyarakat woii!!!",aplikasi penipu kembalikan uang woi masa isi saldo status pending menunggu minggu orang butuh cepat woii besok tanggapan sebarkan aplikasi hancur telfon respon klaau sanggup aplikasi gak perlu merugikan masyarakat woii,-1
"Sayang sekali, di versi terbaru ini malah peforma dari aplikasinya tidak cukup baik. Mungkin karena efek banyak tambahan item atau menu yang kurang penting di layanan utama ataupun menu home. Semoga ada pebaikan unyuk meningkatkan performa layanan di aplikasi ini.",sayang versi terbaru peforma aplikasinya cukup baik efek tambahan hitam menu kurang penting layanan utama menu rumah semoga pebaikan unyuk meningkatkan performa layanan aplikasi,-1
Sebagai pelajaran baru kali ini saya isi saldo 100rb blm masuk2 jg..saya chat lewat email berbelit Skali blm ada tindak lanjutin. Mohon ditindak lanjuti dgn cepat semoga saldo saya kembali. Saya kasih bintang 1 sampai saldo saya kembali. Alhamdulillah saya kasih kembali bintang 5 krna saldo saya sudah kembali. Semoga d pertahankan pelayananx Linkaja.,pelajaran kali isi saldo ribu masuk chat lewat email berbelit tindak lanjutkan ditindak lanjuti cepat semoga saldo kembali bintang saldo kembali alhamdulillah kembali bintang saldo kembali semoga pertahankan pelayananx linkaja,1
"Mudah digunakan dan terpercaya. Manajemennya ramah jika ada masalah cepat tanggap. Pada bulan Juli 2021 saya telah gagal bertransaksi dan setelah saya laporkan segera uang saya di-refund ke rekening Lingkaja kepunyaan saya. Terima kasih, semoga Linkaja terus jaya dan menjadi solusi pembayaran yang utama bagi penggunanya.",mudah digunakan terpercaya manajemennya ramah masalah cepat tanggap bulan juli gagal bertransaksi laporkan uang refund rekening lingkaja kepunyaan terima semoga linkaja terus jaya menjadi solusi pembayaran utama penggunanya,-1
"Hadeh saya kira aplikasi terpercaya saya mau transfer malah di pending, ingin cepat jadi gak tau samapinya kapan, saran jangan mau top up jika kita ingin menggunakannya di pending gak tau kapan kembalinya, saya akan naikan bintangnya kalau proses saya di selesaikan",hadeh kira aplikasi terpercaya transfer pending cepat jadi tahu samapinya saran top up menggunakannya pending tahu kembalinya naikan bintangnya proses selesaikan,-1
"Sangat bagus dan mudahkan untuk transaksi, terimakasih link aja,dengan link aja transaksi apupun lebih muda dan cepat prosesnya👍👌👌😘,pokoknya the best untuk link aja,dan senang bisa pake link,😁😁😁🤗",bagus mudahkan untuk transaksi terimakasih link link transaksi apupun muda cepat prosesnya pokoknya the best untuk link senang pakai link,1
