raw,processed,predict
"Admin ovo pada gak ada yang becus kerja.... Saya mau konfirmasi kehilangan nomor, saya di suruh megirimkan selfi pegang KTP udah saya turuti, saya di over"" ke admin lain dan di minta persyaratan yang sama, kalau gak bisa kerja mending gak usah kerja.... Nomor call center nya gak bisa di hubugi.... Ini aplikasi makin kesini makin parah.... Pelayanan kurang baik dan kurang cerdas.... Apa karna ada saldo gw di akun gw makanya di persulit??? Mau kriminal kah??????",admin ovo becus kerja konfirmasi kehilangan nomor suruh megirimkan selfi pegang ktp turuti over admin meminta persyaratan kerja lebih baik perlu kerja nomor call center hubugi aplikasi kesini parah pelayanan kurang baik kurang cerdas saldo akun persulit kriminal kah,-1
"Jelek..jangan coba2 pakai ovo,transfer ke rekening bank,status berhasil tapi uang tidak masuk ke rekening,minta pertanggung jawaban suruh nunggu,udah 10 hari kita konfirmasi lagi.tau tau akun kita di blokir otomatis.aplikasi sampah merugukin orang lain semoga tahun depan anda bangkruttttttt",jelek coba pakai ovo transfer rekening bank status berhasil uang masuk rekening meminta pertanggung jawaban suruh menunggu konfirmasi tahu tahu akun blokir otomatis aplikasi sampah merugukin orang semoga tahun bangkrut,-1
"Setelah di update tidak bisa upgrade ke akun premium. Padahal sudah sesuai prosedur yang ditulis. Mulai dari foto ktp asli, gambar sudah jelas dan tidak blur. Tp tetap g bisa dan suruh diulang. Mohon segera diperbaiki. Terima kasih",update upgrade akun premium sesuai prosedur ditulis mulai foto ktp asli gambar jelas blur tetap suruh diulang diperbaiki terima,-1
sumpah ini aplikasi gak jelas!!! upgrate foto ktp selalu di tolak padahal ktp masih mulus gak ada cacatnya. selanjutnya mau hapus akun aja Malah tambah Ruwet!!!!!!!! pokoknya ini aplikasi sangat ribetttt,sumpah aplikasi jelas upgrate foto ktp tolak ktp mulus cacatnya selanjutnya hapus akun tambah ruwet pokoknya aplikasi ribet,-1
"Udah tlp Cs sampe habis pulsa gak ada hasil, katanya tgl lahir gak sama dengan NIK malah disuruh rubah nik, NIK itu sifatnya individu gak bisa di ganti mau datang ke disduk capil juga ampe kiamat pun gbisa diganti, cs nya gak membantu, mau upgrade ke premier aja susah, gak recomended banget, dan GAK ADA HASIL",telepon cs habis pulsa hasil katanya tanggal lahir nik disuruh rubah nik nik sifatnya individu ganti datang disduk capil kiamat gbisa diganti cs membantu upgrade premier susah recomended banget hasil,-1
"Saya ingin melakukan upgrade ovo premier namun selalu gagal uplod foto e-KTP padahal kondisi e-KTP baik dan pencahayaan pun baik, mohon diperbaiki sistemnya, seperti aplikasi lain harusnya yang mempermudah penggunanya, maaf bintang 1",melakukan upgrade ovo premier gagal uplod foto ktp kondisi ktp baik pencahayaan baik diperbaiki sistemnya aplikasi mempermudah penggunanya maaf bintang,-1
"Ovo udh mulai cacat kayaknya..kirim uang ke akun dana kagak bisa, ke semua bank juga kagak bisa,mulai dari bri,bni, permata, bca, dan smua bank tidak bisa, keterngn gagal kan parah ni..makin cacat aja ovo..",ovo udah mulai cacat kirim uang akun dana bank mulai bri bni permata baca bank keterngn gagal parah cacat ovo,-1
"Bintang satu dulu karena ada pertanyaan, ketika daftar dan pilih upgrade ada foto KTP, sudah saya foto berkali2 dan padahal sudah jelas tapi masih mengulang terus, apakah harus tetap dengan KTP atau Ovo saya sudah bisa dipakai",bintang satu pertanyaan daftar pilih upgrade foto ktp foto berkali jelas mengulang terus tetap ktp ovo dipakai,-1
"Setiap kali top up dan mau membeli paket lewat ovo, selalu tidak bisa login sampai akun terblokir, dan untuk mengembalikannya harus tlp ke cs. Nya kan sayang pulsa. Jadi males pake ovo mening pake dana ga ribet.",kali top up membeli paket lewat ovo login akun terblokir untuk mengembalikannya telepon cs sayang pulsa jadi malas pakai ovo mening pakai dana ribet,-1
"Tolong lah ini... Kenapa susah sekali untuk verifikasi?? Selama 3 hari saya mencoba untuk verifikasi tapi gagal terus karena foto selfie yang tidak diterima. Puluhan kali saya mencoba tapi gagal terus?? Kenapa?? Kenapa dipersulit begini?? Foto saya sudah benar kok, pencahayaan pas, tidak ada aksesoris, tidak terlalu cepat tapi kenapa gagal terus?? Saya pengen nangis aja rasanya... Sulit sekali padahal saya sedang butuh untuk membayar beberapa keperluan kampus. Aplikasi nggak guna sama sekali!!!",susah untuk verifikasi mencoba untuk verifikasi gagal terus foto selfie diterima puluhan kali mencoba gagal terus dipersulit foto benar pencahayaan pas aksesoris cepat gagal terus menangis rasanya sulit butuh untuk membayar keperluan kampus aplikasi,-1
"Kecewa banget sih ama ovo sekarang, cuma buka blokir aja ampe harus bikin surat di atas materai padahal udah jelas akun saya sendiri.. bukti data diri udah di kirim tetep bae harus bikin surat pernyataan.. seribet inikah ovo sekarang 😏",kecewa banget ovo blokir surat atas materai jelas akun bukti data kirim tetap bae surat pernyataan seribet ovo,-1
"Mw Upgrade ke OVO PREMIER, susah. Pasti alesanNya terkendala foto yg bLur lah, yg kurang pencahayaan lah, kurang jelas lah,, pdhl udh jelas sejelas jelas nya tuh foto. Mgkn koneksi yg dPake OVO msh Pentium jadul. NgGa kyk Aplikasi tetangga, yg gampang mudah verifikasi apapun. Aneh OVO..",now watching upgrade ovo premier susah alesannya terkendala foto blur kurang pencahayaan kurang jelas udah jelas sejelas jelas foto koneksi dpake ovo pentium jaman dulu kayak aplikasi tetangga gampang mudah verifikasi apapun aneh ovo,-1
"apk ovo ini makin kesini makin gak jelas , semakin banyak e-walet baru bukan nya semakin bagus malah semakin ancur , gimana mau banyak pengguna nya , saya kirim uang ke akun Dana saya , dari apk ovo terkirim , tp di apk Dana tidak masuk saldo nya , sudah dari tanggal 3 sampe sekarang belum ada kejelasan , seperti di gantung . padahal di masa sulit seperti saat ini , uang segitu sangat penting sekali . tolong lah system nya di perbaiki lagi , jangan kebanyakan ngopi kerja nya",aplikasi ovo kesini jelas walet bagus hancur pengguna kirim uang akun dana aplikasi ovo terkirim aplikasi dana masuk saldo tanggal kejelasan gantung masa sulit uang segitu penting system perbaiki kebanyakan ngopi kerja,-1
"Saya selalu gagal masuk ke akun ovo saya padahal tiba tiba keluar dari aplikasi dan ketika masuk lagi katanya sandi salah dan ketika sedang ubah sandi gagal terus, terus gimana bisa saya lapor untuk menyelsaikan masalah ini karena tidak ada menu untuk melaporkan masalah ini",gagal masuk akun ovo tiba tiba keluar aplikasi masuk katanya sandi salah ubah sandi gagal terus terus lapor untuk menyelsaikan masalah menu untuk melaporkan masalah,-1
"Heh mau upgrade kenapa susah banget sih?! Kamera saya Bagus, jernih, fotonya gak blur sama sekali, kondisi KTP nya jga baik ga cacat. Ini kenapa susah banget sih??! Tolong dong saya mau transfer duitnya ini:( pls bgt knp ga bisa2 sih😭 dah deseperate saya nyoba foto berkali2",heh upgrade susah banget kamera bagus jernih fotonya blur kondisi ktp baik cacat susah banget transfer duitnya banget deseperate mencoba foto berkali,-1
Parah Pelayanan OVO klo ada Masalh Tanggap dan penyelesaian lambat...dan Akun OVO klo merubah Nomer Hp jangan terpecah jadi 2 akun..saya isi top up di akun lama nah ketika nomer akun lama di rubah menjadi baru..saya top up masuk nya ke nomer akun yang saya ganti/rubah nomer baru... Dan ketika itu di email untuk mengemblikan saldo top up di tutup akun terlebih dahulu dan verifikasi..tapi dh seminggu jawaban nya ga ada selesai nya di CS nya.. Ribet..,parah pelayanan ovo masalah tanggap penyelesaian lambat akun ovo merubah nomer handphone terpecah jadi akun isi top up akun nomer akun rubah menjadi top up masuk nomer akun ganti rubah nomer email untuk mengemblikan saldo top up tutup akun verifikasi deh seminggu jawaban selesai cs ribet,-1
"Mau transfer harus upgrade ke premium, tapi gagal terus saat foto EKTP, padahal sudah jelas, tidak buram, tidak ada cahaya yg memantul dan lainnya, hadehh sampe berulangkali, menunggu 10 menit berulang kali, mohon dibantu dong, saya sudah dm tuh di Instagram",transfer upgrade premium gagal terus foto ektp jelas buram cahaya memantul hadehh berulangkali menunggu menit berulang kali dibantu dm instagram,-1
"Mau transfer harus upgrade dulu,,,tapi itu proses upgrade nya susah banget ,,udah email beberapa kali jawaban nya clasic,telpon call center sama sampe pulsa abis 75 ribu,,,bangsaatttt",transfer upgrade proses upgrade susah banget email kali jawaban clasic telpon call center pulsa habis ribu bangsaat,-1
"Aplikasinya sangat menjengkelkan, tidak bisa di upgrade ke premium padahal kondisi ktp, kamera, dll nya sudah memenuhi syarat. Tetapi selalu gagal! Tolong dong aplikasinya diperbaiki lagi, soalnya saya ingin mentransfer saldo saya!!!",aplikasinya menjengkelkan upgrade premium kondisi ktp kamera dan lain-lain memenuhi syarat gagal aplikasinya diperbaiki soalnya mentransfer saldo,-1
"Udah pake ovo hampir 2 tahun, awalnya lancar lancar aja, kenapa sekarang saya mau top up pake atm gabisa bisa udah liat youtube berkali kali juga tetep ga bisa. Yerus mau tf uang katanya di surup update ovo premium coba berkali kali juga ga bisa yg katanya ktpnya birem segala macemlah, sampe males pake obo lagi!",pakai ovo tahun awalnya lancar lancar top up pakai atm tidak bisa lihat youtube berkali kali tetap yerus tf uang katanya surup update ovo premium coba berkali kali katanya ktpnya birem macemlah malas pakai obo,-1
"Tolong banget dong, ini mau foto KTP buat upgrade ke premium, udah bagus, udah jelas, gak goyang pas di foto tapi malah dibuat buram sama aplikasinya pas hasil foto... Gimana ga disuruh foto ulang terus, capek nunggu 10 menit nya 😭",banget foto ktp upgrade premium bagus jelas goyang pas foto dibuat buram aplikasinya pas hasil foto disuruh foto ulang terus cape menunggu menit,-1
"Pada hal saya sudah punya akun ovo,tiba-tiba log out sendiri,giliran mau masuk gak bisa,sudah saya uninstall dan install ulang ,masih sama saja,ini bagaimana si? Sedangkan jaman sekarang apa-apa harus pakai aplikasi ini,seperti parkir di mall harus pakai aplikasi ini,",punya akun ovo tiba tiba log out giliran masuk uninstall install ulang jaman pakai aplikasi parkir mall pakai aplikasi,-1
"Kenapa udah bberapa hari ini saya ga bisa log in ke akun saya, pdahal statusnya udah premier.. setiap kali log in selalu di suruh update dulu Google play service terbaru.. pdahal saya udah update layanan google play service nya berkali2, to tetap saja ga bisa masuk.. why ovo, kenapaaaa.. ?",bberapa log akun statusnya premier kali log suruh update google play service terbaru update layanan google play service berkali tryout tetap masuk why ovo,-1
"Sumpah kecewa bngt!!! Temen saya tf dari DANA Ke OVO saya, tapi knp pas saya mau tf ke rek BCA saya akun saya malah terblokir, akun ovo saya sudah premier dan saya memasukan pin yg benar, saya sudah hubungin call Centre tapi alesannya sibuk terus!! Tolong donk kasih penjelasan, gmn itu saldo saya yg ada di ovo, mana saldo nya lumayan!!",sumpah kecewa banget teman tf dana ovo pas tf rek baca akun terblokir akun ovo premier memasukan pin benar hubungin call centre alesannya sibuk terus penjelasan gimana saldo ovo saldo lumayan,-1
Hp saya hilang beserta kartu nya juga. Padahal data diri seperti NIK no hp lama foto diri itu sudah lengkap masih ditanya saldo ovocash dan ovo point nyaa yaaa mana inget sedangkan HP saya aja hilang gimana juga bisa lihat kartu nya pun hilang. Hadeeehh penyelesaian masalah tidak membantu sama sekali dipersulit. Padahal tinggal samain aja nik ktp foto diri. Tidak seperti gojek bank bnc bank bca cepat tanggap. Kecewa sih sama ovo.,handphone hilang beserta kartu data nik no handphone foto lengkap ditanya saldo ovocash ovo point ingat handphone hilang lihat kartu hilang hadehh penyelesaian masalah membantu dipersulit tinggal samain nik ktp foto gojek bank bnc bank baca cepat tanggap kecewa ovo,-1
"Aplikasi apa ini,mau masuk ke akun ovo aja gabisa,padalahal di Tokopedia masih ada saldonya,dan saya sudah menghubungi 1500696 malah tidak di respon balik,melainkan di tutup.",aplikasi masuk akun ovo tidak bisa padalahal tokopedia saldonya menghubungi respon balik tutup,-1
Mau upgrade susah banget. KTP sudah bagus malah gak kedeteksi pas burem malah bisa. Ambil foto Selfi sampe kepala potel juga gak bisa bisa. Gk recommended nih. Tolong dong di tingkatan,upgrade susah banget ktp bagus kedeteksi pas buram ambil foto selfi kepala potel gak recommended tingkatan,-1
"Apk busukkkkk!!!!!! Enah padahal saya gak ada ganti² security kode,kenapa bisa saya masuk malah salah, yang ada ke block akun nya, tolong lah lebih di perbaiki lagi ini apk sampah!!! Uang saya ketanam di dalam!!!",aplikasi busuk enah ganti security kode masuk salah block akun perbaiki aplikasi sampah uang ketanam,-1
"Alhamdulillah, akhirnya bisa juga upgrade ke ovo premier.. Terima kasih kepada pihak ovo. Aplikasi ini membantu saya dalam berbagai pembayaran dan usaha berjualan saya..",alhamdulillah upgrade ovo premier terima pihak ovo aplikasi membantu berbagai pembayaran usaha berjualan,1
"Ini saya gimana kartu saya hilang, Dan saya mau masuk akun ovo harus veripikasi karma habis login, ada jalan terbaik ga buat masuk ke akun ovo saya lagi soalnya kartu saya hilang, mohon petunjuk",kartu hilang masuk akun ovo veripikasi karma habis login jalan terbaik masuk akun ovo soalnya kartu hilang petunjuk,-1
Waktu dlu saya pernah daftar Ovo Bahkan sudah is akun premiere. Dan skrg saya mau Pakai lagi aplikasi nya apakah harus daftar ulang atau tidak yah? Mohon infonya. Makasih,waktu daftar ovo is akun premiere pakai aplikasi daftar ulang ya infonya terima kasih,-1
