raw,processed,predict
"Penanganan nya lambat, salah masukin pin gara2 hp nya ngebleng, tlfn cs, katanya segera di bantu, nyampe sore msh blm ada kabar, mana lumayan saldo nya masih banyak, saldo itu hasil narik ojol buat beli susu anak dll, tolong lh segera di respon",penanganan lambat salah masukkan pin gara handphone ngebleng tlfn cs katanya bantu sore kabar lumayan saldo saldo hasil menarik ojol beli susu anak dan lain-lain respon,-1
"Setiap kali top up dan mau membeli paket lewat ovo, selalu tidak bisa login sampai akun terblokir, dan untuk mengembalikannya harus tlp ke cs. Nya kan sayang pulsa. Jadi males pake ovo mening pake dana ga ribet.",kali top up membeli paket lewat ovo login akun terblokir untuk mengembalikannya telepon cs sayang pulsa jadi malas pakai ovo mening pakai dana ribet,-1
"Sumpah kecewa bngt!!! Temen saya tf dari DANA Ke OVO saya, tapi knp pas saya mau tf ke rek BCA saya akun saya malah terblokir, akun ovo saya sudah premier dan saya memasukan pin yg benar, saya sudah hubungin call Centre tapi alesannya sibuk terus!! Tolong donk kasih penjelasan, gmn itu saldo saya yg ada di ovo, mana saldo nya lumayan!!",sumpah kecewa banget teman tf dana ovo pas tf rek baca akun terblokir akun ovo premier memasukan pin benar hubungin call centre alesannya sibuk terus penjelasan gimana saldo ovo saldo lumayan,-1
Saya di mengalami kendala di fitur ovo tapi kok pas login lama banget di kirim link verifikasi nya tiap mau login lama banget dikirm Tolong dong di percepat login nya saya perlu Dan jugak kalo bisa pas login nya fitur verifikasi link nya di ilangin aja bikin ribet,mengalami kendala fitur ovo pas login banget kirim link verifikasi login banget dikirm percepat login perlu pas login fitur verifikasi link ilangin ribet,-1
Aplikasi yang mempersulit. Haruskah verivikasi data minta foto sampe 100 kali. Tinggal menggunakan aja sulit yah. Sudah login sesuai no hp dan email. Burukkk,aplikasi mempersulit haruskah verivikasi data meminta foto kali tinggal menggunakan sulit ya login sesuai no handphone email buruk,-1
"play service saya sudah ke versi terbaru, kenapa masih di suruh update versi aja? jadinya saya tidak bisa login ke ovo lagi, kenapa itu bisa terjadi?",play service versi terbaru suruh update versi jadinya login ovo terjadi,-1
"Td nya bintang 5 saya kasih dan terpecaya utk saya,tp semakin kemari bukan tambah canggih malah seperti di persulit utk masuk akun ovo saya setelah logout👊,,,permintaan notif otp tidak pernah timbul di coba berulang kali malah suspend waktu🤦‍♂ Coba di perbaiki lah sy pengguna ovo bertahun2 lho dari pertama",bintang terpecaya untuk kemari tambah canggih persulit untuk masuk akun ovo logout permintaan notif otp timbul coba berulang kali suspend waktu coba perbaiki pengguna ovo bertahun lho pertama,-1
"ko kode scurity yang saya masukin salah mulu ya mohon bantuannya dong saya udah top up malah jdi eror, nomor yang saya pake udah benar,code yang saya saya vertikasi malah gagal trus, mohon bantuannya,saya mau investasi malah kode yang saya masukan trus trusan gagal padahal kodenya udh benar",kode scurity masukkan salah terus bantuannya top up jadi eror nomor pakai benar code vertikasi gagal terus bantuannya investasi kode masukan terus trusan gagal kodenya udah benar,-1
"Semenjak di update salah kode security terus, padahal uda benar kode security-nya, Error ini Aplikasi OVO nya min. Jdi ngk nyaman dalam bertransaksi lewat OVO ini.",semenjak update salah kode security terus benar kode security error aplikasi ovo min jadi nyaman bertransaksi lewat ovo,-1
"Akhir-akhir ini setelah toup aplikasi sering eror, tidak bisa masuk meski kode security codenya benar... Tolong segera diperbaiki...",akhir akhir toup aplikasi eror masuk kode security codenya benar diperbaiki,-1
Terlalu ribet mau login pake no. Hp bukannya di kasi kode otp malah di kirimin link. Sedangkan no hp nya di aktifkan di hp biasa kusus nelpon yg gk bs buka link. Susah jdinya,ribet login pakai no handphone kode otp mengirimi link no handphone aktifkan handphone kusus nelpon gak link susah jdinya,-1
