raw,processed,predict
"tolong cepat di berikan tindakan perbaikan server nya pada saat transfer ke sesama pengguna ovo,saya dari semalam hingga ke pagi ini masih saja belum bisa melakukan transfer pembayaran sangat memalukan jika dalam waktu selama itu masih belum ada tindakan apa Apun dari pihak ovo.... Kipakkkk lah......",cepat berikan tindakan perbaikan server transfer pengguna ovo semalam pagi melakukan transfer pembayaran memalukan waktu tindakan apapun pihak ovo kipak,-1
"Mohon data pribadi saya dihapuskan, apabila ada pihak yang menyalah gunakan data pribadi saya bukan tanggung jawab saya dan tidak segan-segan melaporkan ke pihak berwajib, karena pelayanannya lambat ,masa trnsafer unag lama betul",data pribadi dihapuskan pihak menyalah gunakan data pribadi tanggung jawab segan segan melaporkan pihak berwajib pelayanannya lambat masa trnsafer unag betul,-1
"Bingung sama app ini? Uang ketanam , respon lambat , niat nggak si buka app? Atau memang begitu cara cari untungnya karena nggak banyak orang yang mau pakai? Seharusnya kalau sudah ada complain langsung di action. tolong cs nya lebih bijak , siapa tau ada kebutuhan urgent dari teman teman yg lain sementara uangnya tertahan didalam , entah itu , mohon maaf,bener bener masalah urgent , terus tanggung jawab dari pihak ovo seperti apa? Noted : not very very very very very recommended app 🙏🙏🙏",bingung app uang ketanam respon lambat niat app cara cari untungnya orang pakai complain langsung action cs bijak tahu kebutuhan urgent teman teman uangnya tertahan didalam tidak tahu maaf benar benar masalah urgent terus tanggung jawab pihak ovo noted very very very very very recommended app,-1
"Tolong lah ini... Kenapa susah sekali untuk verifikasi?? Selama 3 hari saya mencoba untuk verifikasi tapi gagal terus karena foto selfie yang tidak diterima. Puluhan kali saya mencoba tapi gagal terus?? Kenapa?? Kenapa dipersulit begini?? Foto saya sudah benar kok, pencahayaan pas, tidak ada aksesoris, tidak terlalu cepat tapi kenapa gagal terus?? Saya pengen nangis aja rasanya... Sulit sekali padahal saya sedang butuh untuk membayar beberapa keperluan kampus. Aplikasi nggak guna sama sekali!!!",susah untuk verifikasi mencoba untuk verifikasi gagal terus foto selfie diterima puluhan kali mencoba gagal terus dipersulit foto benar pencahayaan pas aksesoris cepat gagal terus menangis rasanya sulit butuh untuk membayar keperluan kampus aplikasi,-1
"Selama pakai ovo pernah ada masalah sekali,tapi tim dari ovo cepat menanggapi dan alhamdulillah sdh selesai.masukan aja kalau bisa ovo jg ada program pay later nya,jdi belanja lebih enak,kita gk perlu pake apk lain.",pakai ovo masalah tim ovo cepat menanggapi alhamdulillah selesai masukan ovo program pay later jadi belanja enak gak perlu pakai aplikasi,-1
Hp saya hilang beserta kartu nya juga. Padahal data diri seperti NIK no hp lama foto diri itu sudah lengkap masih ditanya saldo ovocash dan ovo point nyaa yaaa mana inget sedangkan HP saya aja hilang gimana juga bisa lihat kartu nya pun hilang. Hadeeehh penyelesaian masalah tidak membantu sama sekali dipersulit. Padahal tinggal samain aja nik ktp foto diri. Tidak seperti gojek bank bnc bank bca cepat tanggap. Kecewa sih sama ovo.,handphone hilang beserta kartu data nik no handphone foto lengkap ditanya saldo ovocash ovo point ingat handphone hilang lihat kartu hilang hadehh penyelesaian masalah membantu dipersulit tinggal samain nik ktp foto gojek bank bnc bank baca cepat tanggap kecewa ovo,-1
"Saya kasi bintang satu ya,perbaiki masala transfer masa lebih sering gagal.setiap perlu uang buat transfer masala sama gagal pada hal lagi perlu transfer cepat !!!!!!!!",bintang satu perbaiki masala transfer masa gagal perlu uang transfer masala gagal perlu transfer cepat,-1
"Jangan didownload aplikasi bodoh ini karna sekarang sudah tidak jelas.kalo top up cepat diproses tapi kalo mau transfer gagal terus, sayang kan uang anda yang ada didalam aplikasi bodoh ini",didownload aplikasi bodoh jelas top up cepat diproses transfer gagal terus sayang uang didalam aplikasi bodoh,-1
"Saya langsung kasih 5 bintang sekaligus..semoga ovo bisa memberikan yang terbaik, dengan pelayanan yang cepat tepat dan real.. terimakasih ovo.",langsung bintang semoga ovo memberikan terbaik pelayanan cepat tepat real terimakasih ovo,1
"Bener2 berengsek bngt pake ovo,, transfer ke bank gak masuk2. Tp saldo sudah kepotong.. Woy orang itu transfer karena bener2 mendesak pengen cepat masuk.. Di chat lama bngt bls nye,,, kapokkkk w",benar berengsek banget pakai ovo transfer bank masuk saldo kepotong woy orang transfer benar mendesak cepat masuk chat banget balas nye kapok,-1
