raw,processed,predict
"Admin ovo pada gak ada yang becus kerja.... Saya mau konfirmasi kehilangan nomor, saya di suruh megirimkan selfi pegang KTP udah saya turuti, saya di over"" ke admin lain dan di minta persyaratan yang sama, kalau gak bisa kerja mending gak usah kerja.... Nomor call center nya gak bisa di hubugi.... Ini aplikasi makin kesini makin parah.... Pelayanan kurang baik dan kurang cerdas.... Apa karna ada saldo gw di akun gw makanya di persulit??? Mau kriminal kah??????",admin ovo becus kerja konfirmasi kehilangan nomor suruh megirimkan selfi pegang ktp turuti over admin meminta persyaratan kerja lebih baik perlu kerja nomor call center hubugi aplikasi kesini parah pelayanan kurang baik kurang cerdas saldo akun persulit kriminal kah,-1
"Salah 1 pengguna yg sangat2 kecewa ma Ovo, udh top up token tengah malam, token gag masuk, adm cm blg mohon ditunggu 24 jam & mohon maaf atas ketidaknyamanannya. Masa y kita diminta seharian gelap2n??? Udh fee nya mahal, gag jelas pula. Mending pakai Mbanking ato ke gerai isi ulang aja, pasti jelas2 masuk",salah pengguna kecewa ovo udah top up token tengah malam token masuk adm bilang ditunggu jam maaf atas ketidaknyamanannya masa diminta seharian gelap udah fee mahal jelas lebih baik pakai mbanking gerai isi ulang jelas masuk,-1
"Jelek..jangan coba2 pakai ovo,transfer ke rekening bank,status berhasil tapi uang tidak masuk ke rekening,minta pertanggung jawaban suruh nunggu,udah 10 hari kita konfirmasi lagi.tau tau akun kita di blokir otomatis.aplikasi sampah merugukin orang lain semoga tahun depan anda bangkruttttttt",jelek coba pakai ovo transfer rekening bank status berhasil uang masuk rekening meminta pertanggung jawaban suruh menunggu konfirmasi tahu tahu akun blokir otomatis aplikasi sampah merugukin orang semoga tahun bangkrut,-1
"tolong cepat di berikan tindakan perbaikan server nya pada saat transfer ke sesama pengguna ovo,saya dari semalam hingga ke pagi ini masih saja belum bisa melakukan transfer pembayaran sangat memalukan jika dalam waktu selama itu masih belum ada tindakan apa Apun dari pihak ovo.... Kipakkkk lah......",cepat berikan tindakan perbaikan server transfer pengguna ovo semalam pagi melakukan transfer pembayaran memalukan waktu tindakan apapun pihak ovo kipak,-1
ayo apus ovo skrgg!!! saya verivikasi drtd nomor nya kaga masuk . sangat merugikan . pake dana aja lebih bersahabat!!!!!!mana saya habis transfer dari dana ke ovo. sangat merugikan duit nya ga masuk !!!,ayo hapus ovo skrgg verivikasi dari tadi nomor masuk merugikan pakai dana bersahabat habis transfer dana ovo merugikan duit masuk,-1
"Duh ini kenapa ya? Saya kemarin ngisi grab pake ovo 50ribu, pagi ini ada potongan dari PFI Mega Life 11.200 padahal saya gak merasa berlangganan apapun di grab? Saya cek riwayat tidak ada satupun tagihan kok terpotong? Gimana nih penjelasannya?",aduh kemarin mengisi grab pakai ovo ribu pagi potongan pfi mega life merasa berlangganan apapun grab cek riwayat satupun tagihan terpotong penjelasannya,-1
Gimana nya ini aplikasi nya. Sy pengguna ovo premier. Saya mendapatkan transferan sesama ovo. Tp sdh 10jam saldo sy tidak bertambah. Aplikasi bujang nya ini. Jgn di downlod rugi klen nanti.uang kalian hilang. Klow ovo nya ngk senang bs hub ke no sy,aplikasi pengguna ovo premier mendapatkan transferan ovo jam saldo bertambah aplikasi bujang downlod rugi uang hilang ovo senang hubungi no,-1
"Penanganan nya lambat, salah masukin pin gara2 hp nya ngebleng, tlfn cs, katanya segera di bantu, nyampe sore msh blm ada kabar, mana lumayan saldo nya masih banyak, saldo itu hasil narik ojol buat beli susu anak dll, tolong lh segera di respon",penanganan lambat salah masukkan pin gara handphone ngebleng tlfn cs katanya bantu sore kabar lumayan saldo saldo hasil menarik ojol beli susu anak dan lain-lain respon,-1
"Udah tlp Cs sampe habis pulsa gak ada hasil, katanya tgl lahir gak sama dengan NIK malah disuruh rubah nik, NIK itu sifatnya individu gak bisa di ganti mau datang ke disduk capil juga ampe kiamat pun gbisa diganti, cs nya gak membantu, mau upgrade ke premier aja susah, gak recomended banget, dan GAK ADA HASIL",telepon cs habis pulsa hasil katanya tanggal lahir nik disuruh rubah nik nik sifatnya individu ganti datang disduk capil kiamat gbisa diganti cs membantu upgrade premier susah recomended banget hasil,-1
"Tolong cs. Cepat buka dan balas email saya terkait pengaduan saldo ovo cash saya, sebelum top up saldo saya 5k, top up dari tf bank CIMB niaga, dan udah ada notif top up 10k berhasil saldo saya cuma 10k, harusnya 14k dari estimasi pemotongan biaya top up",cs cepat balas email terkait pengaduan saldo ovo cash top up saldo top up tf bank cimb niaga notif top up berhasil saldo estimasi pemotongan biaya top up,1
Ovo tidak bertanggung jawab selalu bikin rugi pelanggan..awal transfer dana nga masuk..sekarang token..voucer nya nga ada saldo kepotong udh lapor dengan bukti2 udh kirim berhari hari nga ada kabar..kaya proses uang 2 miliar aja..hanya 22.000 aja mau makan uang pelanggan..nga malu sama nama besar ovo dengan pelayanan seperti ini..manusia sabar ada batasnya..,ovo bertanggung jawab rugi pelanggan awal transfer dana masuk token voucer saldo kepotong udah lapor bukti udah kirim berhari kabar kayak proses uang miliar makan uang pelanggan malu nama besar ovo pelayanan manusia sabar batasnya,-1
"Ovo udh mulai cacat kayaknya..kirim uang ke akun dana kagak bisa, ke semua bank juga kagak bisa,mulai dari bri,bni, permata, bca, dan smua bank tidak bisa, keterngn gagal kan parah ni..makin cacat aja ovo..",ovo udah mulai cacat kirim uang akun dana bank mulai bri bni permata baca bank keterngn gagal parah cacat ovo,-1
"Setiap kali top up dan mau membeli paket lewat ovo, selalu tidak bisa login sampai akun terblokir, dan untuk mengembalikannya harus tlp ke cs. Nya kan sayang pulsa. Jadi males pake ovo mening pake dana ga ribet.",kali top up membeli paket lewat ovo login akun terblokir untuk mengembalikannya telepon cs sayang pulsa jadi malas pakai ovo mening pakai dana ribet,-1
"Sungguh mengecewakan, pembelian pulsa tdk berhasil (cancelled) sistim tp saldo tdk kembali, pengurusan berbelit dan lama sekali... Sudah diikuti 1x24 jam... Tetep tdk ada tdk lanjut... Sdh tidak minat dg ovo, pusat bantuan jg tdk membantu",sungguh mengecewakan pembelian pulsa berhasil cancelled sistim saldo kembali pengurusan berbelit diikuti jam tetap lanjut minat ovo pusat bantuan membantu,-1
top up 75rb yg masuk ke ovo 73.500 saya top up lagi doptong lagi 1.500.. adm dan potongan nya membuat saya akan berhenti pakai OVO.. ulasan saya di hapus sebelum nya. dan teman saya juga ulasannya di hapus pihak OVO kali ya.. pasti banyak yg pada jauhi ovo kalau begini nih,top up ribu masuk ovo top up doptong adm potongan membuat berhenti pakai ovo ulasan hapus teman ulasannya hapus pihak ovo kali jauhi ovo,-1
Dari kemaren mau transfer ngk bisa katanya dah melebihi batas transfer padahal saya baru satu kali transfer ini mau yg ke 2 kali dah 5 hari ngk bisa tf ..hubungi cs malah sama aj jawaban nya mana ni solusi nya min ...mulay ragu sama apl ini..,kemarin transfer katanya melebihi batas transfer satu kali transfer kali tf hubungi cs aja jawaban solusi min mulay ragu apl,-1
"Sya beli pulsa, 100 Rb saldopun sudah kepotong ko sampe sekarang 1x24 jam belum masuk juga, terus ko di history.a gak ada transaksi.????? Kelanjutan.a gimana minnn ???????????",beli pulsa ribu saldopun kepotong jam masuk terus history transaksi kelanjutan min,-1
"Cuma mau bilang aja yaa. Banyak sii org"" yg bilang apk ini sulit ini lah itu lahh. Tapi selama ini saya pake ovo aman"" aja tuh gada masalah sama skli dan untuk transfer sii cpet cuma knpa harus pake biaya sii ga kaya dana biaya nya 0 rupiah",bilang ya orang bilang aplikasi sulit pakai ovo aman tidak ada masalah untuk transfer cepat pakai biaya kayak dana biaya rupiah,-1
Tadinya saya kasih bintang 5 sekarang saya turunin ya ovo... Karena ini aplikasi dulu sangat bagus buat saya sekarang kenapa jadi gagu transfer engga bisa sama sekali👿👿👿👿 and satu lagi untuk operator jangan terlalu lama untuk bicara dengan customer karena blm tentu customer itu punya pulsa banyak... Terima kasih,bintang turunin ovo aplikasi bagus jadi gagu transfer satu untuk operator untuk bicara customer customer punya pulsa terima,1
"Mending pake aplikasi lain deh yang biaya adminnya dijamin gratis, gk kek aplikasi ini apa² harus pake biaya admin. Kalo top up sih saya wajarkan, ini kita narik dan pindahin ke bank pun tetep kena biaya 2500 rupiah. Hedeuh mending pakai aplikasi lain deh daripada yg ini. 👎🏻",lebih baik pakai aplikasi deh biaya adminnya dijamin gratis gak kayak aplikasi pakai biaya admin top up wajarkan menarik pindahin bank tetap kena biaya rupiah hedeuh lebih baik pakai aplikasi deh,-1
"Mohon untuk para pengguna ovo, lebih berhati hati dalam melakukan transaksi keuangan dengan aplikasi ovo sebelum mengalami kerugian. Saya dapat pengalaman melakukan transaksi dari ovo ke dana milik saya sendiri, saldo berkurang, notifikasi terkirim berhasil, tetapi saldonya tidak masuk ke dana. Dan saat ini transaksi ovo saya selalu gagal dalam melakukan transaksi.",untuk pengguna ovo berhati hati melakukan transaksi keuangan aplikasi ovo mengalami kerugian pengalaman melakukan transaksi ovo dana milik saldo berkurang notifikasi terkirim berhasil saldonya masuk dana transaksi ovo gagal melakukan transaksi,-1
"apk ovo ini makin kesini makin gak jelas , semakin banyak e-walet baru bukan nya semakin bagus malah semakin ancur , gimana mau banyak pengguna nya , saya kirim uang ke akun Dana saya , dari apk ovo terkirim , tp di apk Dana tidak masuk saldo nya , sudah dari tanggal 3 sampe sekarang belum ada kejelasan , seperti di gantung . padahal di masa sulit seperti saat ini , uang segitu sangat penting sekali . tolong lah system nya di perbaiki lagi , jangan kebanyakan ngopi kerja nya",aplikasi ovo kesini jelas walet bagus hancur pengguna kirim uang akun dana aplikasi ovo terkirim aplikasi dana masuk saldo tanggal kejelasan gantung masa sulit uang segitu penting system perbaiki kebanyakan ngopi kerja,-1
Isi ulang pulsa tidak masuk. Tidak tercatat juga di history. Lapor di pusat bantuan lama tersambungnya. Giliran sudah tersambung pelayanan tidak memuaskan. Parah. Jadi ragu mau pakai ovo lagi,isi ulang pulsa masuk tercatat history lapor pusat bantuan tersambungnya giliran tersambung pelayanan memuaskan parah jadi ragu pakai ovo,-1
"Uninstal. Aplikasinya tidak bisa transfer kemanapun uang saya tidak bisa terpakai. Nyangkut di aplikasinya, tolong dong diperbaiki udh berbulan bulan tidak ada perubahan, pindah aplikasi saja.",uninstal aplikasinya transfer kemanapun uang terpakai nyangkut aplikasinya diperbaiki udah berbulan bulan perubahan pindah aplikasi,-1
Saya beli pulsa gak masuk. Saldo udah kepotong. Custamer service nya lemot gk ada solusi. Sya sudah berkali kali kontak by email dan hubungi cust service. Tpi masalah gk selesai. Kapok no recomend,beli pulsa masuk saldo kepotong custamer service lambat gak solusi berkali kali kontak by email hubungi cust service masalah gak selesai kapok no recomend,-1
"Heh mau upgrade kenapa susah banget sih?! Kamera saya Bagus, jernih, fotonya gak blur sama sekali, kondisi KTP nya jga baik ga cacat. Ini kenapa susah banget sih??! Tolong dong saya mau transfer duitnya ini:( pls bgt knp ga bisa2 sih😭 dah deseperate saya nyoba foto berkali2",heh upgrade susah banget kamera bagus jernih fotonya blur kondisi ktp baik cacat susah banget transfer duitnya banget deseperate mencoba foto berkali,-1
Parah Pelayanan OVO klo ada Masalh Tanggap dan penyelesaian lambat...dan Akun OVO klo merubah Nomer Hp jangan terpecah jadi 2 akun..saya isi top up di akun lama nah ketika nomer akun lama di rubah menjadi baru..saya top up masuk nya ke nomer akun yang saya ganti/rubah nomer baru... Dan ketika itu di email untuk mengemblikan saldo top up di tutup akun terlebih dahulu dan verifikasi..tapi dh seminggu jawaban nya ga ada selesai nya di CS nya.. Ribet..,parah pelayanan ovo masalah tanggap penyelesaian lambat akun ovo merubah nomer handphone terpecah jadi akun isi top up akun nomer akun rubah menjadi top up masuk nomer akun ganti rubah nomer email untuk mengemblikan saldo top up tutup akun verifikasi deh seminggu jawaban selesai cs ribet,-1
"Pertama kali langganan. Saat ke kasir Alfamart kok gak ada pilihan isi saldo buat aplikasi ini? . Belum diteliti lebih ya? Isi saldo di Alfamart ada kan?. Jadi,Bingung mau apa disana.",pertama kali langganan kasir alfamakok pilihan isi saldo aplikasi diteliti isi saldo alfamaada jadi bingung disana,1
"Tolong lah pihak ovo jangan mempersulit saya untuk transfer uang ke rekening bank, masa iya dari hari jumat tanggal 6 agustus sampe tanggal 9 agustus gk bisa - bisa buat transfer via rekening bank, biasanya saya transfer uang dari ovo gak masalah2, tapi kok sekarang gk bisa - bisa ya?, tulisan sih external error tapi kok lama bener betulin masalah tersebut???, masa kalah sama aplikasi D**A, disitu bisa2 aja transfer uangnya tanpa ada kendala sama sekali, tolong lah ini diperbaikin.",pihak ovo mempersulit untuk transfer uang rekening bank masa jumat tanggal agustus tanggal agustus gak transfer via rekening bank transfer uang ovo masalah gak tulisan external error benar betulin masalah masa kalah aplikasi disitu transfer uangnya kendala diperbaikin,-1
"Kasian Orang"" transfer dan top up pembayaran sudah berhasil tetapi tidak masuk uangnya termasuk pulsa , sangat merugikan orang lain , Kategori Aplikasi Penipuan. Saya juga beli pulsa pake OVO pembayaran sudah berhasil dan sudah terpotong saldo saya ... Tapi pulsa tidak masuk .. dan tiba"" history pembelian pulsa tidak ada. Aplikasi Bikin rugi",kasihan orang transfer top up pembayaran berhasil masuk uangnya termasuk pulsa merugikan orang kategori aplikasi penipuan beli pulsa pakai ovo pembayaran berhasil terpotong saldo pulsa masuk tiba history pembelian pulsa aplikasi rugi,-1
"Sangat buruk,saya punya saldo di ovo terus saya ingin melakukan pembayaran tapi aplikasinya tdk bisa kebuka. Alasan internet putus padahal sangat lancar,dicoba update sampai hapus data tapi masih tdk bisa. Sangat buruk penilaian saya kali ini,tolong segera diperbaiki",buruk punya saldo ovo terus melakukan pembayaran aplikasinya kebuka alasan internet putus lancar dicoba update hapus data buruk penilaian kali diperbaiki,-1
"Mau transfer harus upgrade ke premium, tapi gagal terus saat foto EKTP, padahal sudah jelas, tidak buram, tidak ada cahaya yg memantul dan lainnya, hadehh sampe berulangkali, menunggu 10 menit berulang kali, mohon dibantu dong, saya sudah dm tuh di Instagram",transfer upgrade premium gagal terus foto ektp jelas buram cahaya memantul hadehh berulangkali menunggu menit berulang kali dibantu dm instagram,-1
"Baru banget install udah approved ke premium. Ehh dipake tfr ke rekening ga bisa2 mulu. Di chat balesnya lama bener. Tulis disini juga paling cuma di suru kontak cs lagi, udah kak udaah berkali2,, ampe capekk. Skrg cuma mau narik saldo yg udah terlanjur ke topup aja trus auto uninstall. Huft",banget install approved premium eh dipakai tfr rekening terus chat balesnya benar tulis suruh kontak cs kak udaah berkali capekk menarik saldo terlanjur topup terus auto uninstall mengeluh,-1
"saya blum ad melakukan transaksi transfer ke bank lain 150x dalam 1 bulan, dan transaksi transfer 10 x dalam sehari. tp saya sudah tadk bisa transaksi lg. balasan email yg saya terima saya sudh melakukan transaksi transfer melewati batas tersebut. sudah saya kirim history transfer ny per hari masih ajj balasnny sama",melakukan transaksi transfer bank bulan transaksi transfer sehari tadk transaksi balasan email terima melakukan transaksi transfer melewati batas kirim history transfer balasnny,-1
"Cukup kecewa sama apk ini karena sudah 2/3x gangguan di proses transfer antarbank, mohon untuk di tingkat lagi jangan hanya kata maaf !!!!!!!! Banyak orang yg sedang butuh!!!!!!!!! Jangan kalian persulit",cukup kecewa aplikasi gangguan proses transfer antarbank untuk tingkat kata maaf orang butuh persulit,-1
"Mau transfer harus upgrade dulu,,,tapi itu proses upgrade nya susah banget ,,udah email beberapa kali jawaban nya clasic,telpon call center sama sampe pulsa abis 75 ribu,,,bangsaatttt",transfer upgrade proses upgrade susah banget email kali jawaban clasic telpon call center pulsa habis ribu bangsaat,-1
"Min tolong di perbaiki masa udah 2 hari gak bisa tf, trus beli pulsa saldonya terpotong pulsanya gak masuk, trus kalau hubungi operator terlalu slow mutar akhirnya pulsa habis solusi gak ada. Aplikasi payah gak bisa transaksi dari kemarin telpon operator katanya sudah melewati batas transaksi, sampai hari ini tetap gak jadi",min perbaiki masa tf terus beli pulsa saldonya terpotong pulsanya masuk terus hubungi operator slow mutar pulsa habis solusi aplikasi payah transaksi kemarin telpon operator katanya melewati batas transaksi tetap jadi,-1
"Aplikasinya sangat menjengkelkan, tidak bisa di upgrade ke premium padahal kondisi ktp, kamera, dll nya sudah memenuhi syarat. Tetapi selalu gagal! Tolong dong aplikasinya diperbaiki lagi, soalnya saya ingin mentransfer saldo saya!!!",aplikasinya menjengkelkan upgrade premium kondisi ktp kamera dan lain-lain memenuhi syarat gagal aplikasinya diperbaiki soalnya mentransfer saldo,-1
"Kemarin malam saya beli pulsa 75.000 ke nomor hp saya dengan biaya 76.500. Saldo OVO telah terpotong 76.500 akan tetapi pulsa tidak masuk. Kemudian ada notifikasi Transaksi telah dicancel, tetapi saldo OVO yg telah terpotong tidak dikembalikan. Mau lapor dari Pusat Bantuan tidak bisa. Harap keluhan saya ini ditindaklanjuti dan saldo OVO saya dikembalikan.",kemarin malam beli pulsa nomor handphone biaya saldo ovo terpotong pulsa masuk notifikasi transaksi dicancel saldo ovo terpotong dikembalikan lapor pusat bantuan harap keluhan ditindaklanjuti saldo ovo dikembalikan,-1
"Udah pake ovo hampir 2 tahun, awalnya lancar lancar aja, kenapa sekarang saya mau top up pake atm gabisa bisa udah liat youtube berkali kali juga tetep ga bisa. Yerus mau tf uang katanya di surup update ovo premium coba berkali kali juga ga bisa yg katanya ktpnya birem segala macemlah, sampe males pake obo lagi!",pakai ovo tahun awalnya lancar lancar top up pakai atm tidak bisa lihat youtube berkali kali tetap yerus tf uang katanya surup update ovo premium coba berkali kali katanya ktpnya birem macemlah malas pakai obo,-1
"Isi pulsa tanggal 10 sampai tangal 12 blom masuk juga, saldo ovo sudah kepotong, dan ga ada bukti struk langsung hilang begitu aja, coba deh tolong cek transaksi nya, klo buat kasih bukti struk nya ya ga ada, tiba"" langsung ke menu utama ovo, berbagus aplikasi bukan malah memperburuk aplikasi,.",isi pulsa tanggal tangal masuk saldo ovo kepotong bukti struk langsung hilang coba deh cek transaksi bukti struk tiba langsung menu utama ovo berbagus aplikasi memperburuk aplikasi,-1
"paraahhh bangettt padahal belum mencapai transfer 10 juta, tapi mau transfer susah banget ke antar bank dan sesama ovo. pantesan rating nya turun !! kenapa aplikasi ovo jadi gini sih !!!",parah banget mencapai transfer juta transfer susah banget bank ovo pantesan rating turun aplikasi ovo jadi,-1
