raw,processed,predict
"Saya baru ganti HP dan baru download lagi sakuku tapi kenapa kok mau masuk akun lama kayak baru register, lalu udah 6x kirim SMS dari register itu tapi gak bisa masuk. Aneh harusnya aplikasi lain itu kalo udah punya akun gak perlu register lagi tapi tinggal sign in tapi ini gak ada pilihan sign in. Tolong solusinya ya",ganti handphone download sakuku masuk akun register kirim sms register masuk aneh aplikasi punya akun perlu register tinggal sign pilihan sign solusinya,-1
"Kenapa saya gagal masuk,sudah berulang kali. sms verifikasi gagal,pada hal pengiriman sms berhasil diterima dan kembali ke aplikasi sakuku nya loading,tapi malah ga masuk keterangan sms verifikasi gagal,kirim ulang atau sudah terima sms klik lanjut. Tolong dibantu 10x ada saya coba,hp sy xiaomi 4a kartu simpati telkomsel",gagal masuk berulang kali sms verifikasi gagal pengiriman sms berhasil diterima kembali aplikasi sakuku loading masuk keterangan sms verifikasi gagal kirim ulang terima sms klik lanjut dibantu coba handphone xiaomi kartu simpati telkomsel,-1
"Krn Apl gak sengaja uninstall, jd trpaksa install ulang. Disitulah awal bencananya. Harus registrasi ulang, disuruh masukin data : nama, email, tgl lahir (anehnya no HP nya justru gak). Nah, walau isi data sdh benar tp Apl selalu bilang Gagal. Ternyata SMS verifikasi dikirim diam2 sampai belasan kali, yg artinya memotong pulsa Rp 500/sms. Pdhl tidak pernah bisa msk dlm Apl. Pulsa habis dg sia-sia, dan Apa boleh buat Saldo dlm akun Sakuku juga terbang sia-sia... 🙄🙄🙄",apl sengaja uninstall jadi trpaksa install ulang disitulah awal bencananya registrasi ulang disuruh masukkan data nama email tanggal lahir anehnya no handphone isi data benar apl bilang gagal ternyata sms verifikasi dikirim diam belasan kali artinya memotong pulsa rp sms masuk apl pulsa habis sia sia saldo akun sakuku terbang sia sia,-1
Pastikan data yang di masukkan sudah sesuai dengan data kamu di BCA Kenapa saya tidak bisa upgrade ke aktivasi plus ???? Data sesuai yang saya lampirkan sesuai data di BCA kenapa? Beneran apa tidak ini aplikasi SAKUKU app BCA ???,pastikan data masukkan sesuai data baca upgrade aktivasi plus data sesuai lampirkan sesuai data baca benaran aplikasi sakuku app baca,-1
"saya bingung kenapa gagal registrasi, sms verifikasi gagal terus, padahal udah 1tahunan terdaftar jd sakuku plus, karena hp kereset sya tidak bisa masuk lg, sim tunggal, nomor hp sama, email dan user sama, sudah uninstal download berkali kali tolong bantuanya, saldonya ada banyak",bingung gagal registrasi sms verifikasi gagal terus tahunan terdaftar jadi sakuku plus handphone kereset masuk sim tunggal nomor handphone email uninstal download berkali kali bantuanya saldonya,-1
"Saya sudah pernah registrasi, saat install ulang mo kirim SMS selalu gagal, menurut cs akun ku masih aktif tapi mau pakai gak bisa.... Dan saya pakai kartuHALO Telkomsel, kuota dan pulsa gak masalah. Posisi kartu di SIM 1",registrasi install ulang kirim sms gagal menurut cs akun ku aktif pakai pakai kartuhalo telkomsel kuota pulsa masalah posisi kartu sim,-1
"keluhan thd Saku ku : kemarin tgl 16 mei , pertama kali saya pakai Saku ku utk beli makanan di bakmi GM emporium pluit Rp 39 ribu , tapi di Akun Sakuku tidak dapat diskon 75% . mohon di cek sistim sakuku , dan kembalikan diskon nya ke akun sakuku . kutunggu diskon nya .",keluhan saku ku kemarin tanggal mei pertama kali pakai saku ku untuk beli makanan bakmi gm emporium pluit rp ribu akun sakuku diskon cek sistim sakuku kembalikan diskon akun sakuku kutunggu diskon,1
wah...sayang bget... untuk akses menu di haruskan untuk pembuatan akun sakuku plus. lah terus apa bedanya dengan mobile banking...? padahal saya membutuhkan gambar scan QR untuk nama merchant saya... lah kalau saya update nama akun akan berubah mejadi nama sesuai data bank saya. jadi saya anggap gagal ya aplikasi tersebut. terimakasih,sayang banget untuk akses menu haruskan untuk pembuatan akun sakuku plus terus bedanya mobile banking membutuhkan gambar scan qr untuk nama merchant update nama akun berubah mejadi nama sesuai data bank jadi anggap gagal aplikasi terimakasih,-1
"Kemaren saya daftar sakuku, tapi karena hp diservis karena rusak. Semua aplikasi saya hapus. Tapi saya instal ulang sakuku, tapi saya mau daftar lagi nggak bisa. karena saya lupa memasukkan data yang dulu, soalnya dulu dibuatkan teman. Bagaimana saya bisa mengakses akun saya kembali?",kemarin daftar sakuku handphone diservis rusak aplikasi hapus instal ulang sakuku daftar lupa memasukkan data soalnya dibuatkan teman mengakses akun kembali,-1
"registrasi & login susah, dari awal download sampai skrg blm punya akun sakuku nih. mohon solusinya dong BCA karena udh pakai SIM 1 & pulsa saya 27rb, jaringan internet juga lancar. pasti terpenuhi lah syarat2 buat registrasi. mau kasih bintang 5 klo udh jadi bener akun ku. makasih.",registrasi login susah awal download punya akun sakuku solusinya baca udah pakai sim pulsa ribu jaringan internet lancar terpenuhi syarat registrasi bintang udah jadi benar akun ku terima kasih,-1
Saya sudah registrasi Sakuku di kantor cabang bca terdekat lalu karena lama tidak saya pakai akhirnya saya hapus aplikasi Lalu baru-baru ini saya download ulang ternyata harus registrasi lagi padahal kan saya sudah registrasi dengan nomor hp yg saya punya Gimana caranya harus Log In akun yg sudah terdaftar dan supaya tidak harus registrasi lagi????,registrasi sakuku kantor cabang baca terdekat pakai hapus aplikasi download ulang ternyata registrasi registrasi nomor handphone punya caranya log akun terdaftar registrasi,-1
Aplikasi e banking yang kurang bagus... saya upgrade OS dari Nougat ke Oreo malah gak bisa di pake... telp ke 1500888 bilang kalau hp yang di upgrade tidak bisa di pakai saku ku... So Suck!!!,aplikasi banking kurang bagus upgrade os nougat oreo pakai telepon bilang handphone upgrade pakai saku ku sok suck,-1
