raw,processed,predict
"100% kecewa full, Saya baru saja membeli pulsa lewat sakuku, tapi belum ada masuk sampai detik ini. Ada email yang bisa di hubungi gak buat kirim bukti nyA kalau belum masuk pulsa yang saya beli, jangan beginilah",kecewa full membeli pulsa lewat sakuku masuk detik email hubungi kirim bukti masuk pulsa beli,-1
Udah terpaksa ihklasin aja uang yang terpotong tapi ga masuk ke pulsa. Telpon ke sana harus isi pulsa terus terpotong banyak. Udh konfirmasi by telpon tp blm di proaea juga. Udh ga mau pake aplikasinya lagi. nyesel~ terpaksa uninstall~ Padahal dari tgl 7 sampe sekarang belum masuk.,terpaksa ihklasin uang terpotong masuk pulsa telpon isi pulsa terus terpotong udah konfirmasi by telpon proaea udah pakai aplikasinya menyesal terpaksa uninstall tanggal masuk,-1
"saya bingung kenapa gagal registrasi, sms verifikasi gagal terus, padahal udah 1tahunan terdaftar jd sakuku plus, karena hp kereset sya tidak bisa masuk lg, sim tunggal, nomor hp sama, email dan user sama, sudah uninstal download berkali kali tolong bantuanya, saldonya ada banyak",bingung gagal registrasi sms verifikasi gagal terus tahunan terdaftar jadi sakuku plus handphone kereset masuk sim tunggal nomor handphone email uninstal download berkali kali bantuanya saldonya,-1
"Saya sudah pernah registrasi, saat install ulang mo kirim SMS selalu gagal, menurut cs akun ku masih aktif tapi mau pakai gak bisa.... Dan saya pakai kartuHALO Telkomsel, kuota dan pulsa gak masalah. Posisi kartu di SIM 1",registrasi install ulang kirim sms gagal menurut cs akun ku aktif pakai pakai kartuhalo telkomsel kuota pulsa masalah posisi kartu sim,-1
"Sudah registrasi dan top up saldo. saldonya masih ada, tapi saat ganti hp log in lagi harus registrasi lagi... ya regist pake nomer yg sama gagal terus. masa isi data harus sama, iya kalo ingat detailnya. sangat disayangkan. padahal nomor dan email juga aktif. harusnya ada notifikasi sms/email saat daftar dulu. atau fitur minimal tidak bisa log in/lupa pasword. biar ngga usah hubungin cs... aplikasi ini harus dikembangkan lagi, biar ngga ada masalah di kemudian hari.",registrasi top up saldo saldonya ganti handphone log registrasi regist pakai nomer gagal terus masa isi data ingat detailnya disayangkan nomor email aktif notifikasi sms email daftar fitur minimal log lupa pasword perlu hubungin cs aplikasi dikembangkan masalah,-1
"sebelumnya saya pakai gk ada masalah,hari ini saya sudah isi pulsa 300.000 aplikasi tidak bisa masuk dengan keterangan ""Maaf ponsel tidak dapat melakukan registrasi sakuku. Hubungi halo bca"" setelah saya telfon halo bca sampai habis pulsa 100.000 katanya dari sistem tidak ada masalah di suruh coba terus sampai beberapa hari kedepan kalau tidak bisa di suruh hubungin lagi. Mau habisin pulsa berapa banyak lagi cobak kalau kayak gitu caranya.",pakai gak masalah isi pulsa aplikasi masuk keterangan maaf ponsel melakukan registrasi sakuku hubungi halo baca telfon halo baca habis pulsa katanya sistem masalah suruh coba terus kedepan suruh hubungin habisin pulsa coba caranya,-1
"Semalam saya top up sakuku dari rek bca Saldo sakuku gak bertambah,,tapi di rekening berkurang..sudah saya telpon halo bca sampai tekor pulsa,, cuman bilang "" di cek kembali nanti jam 4 ke atas"".. Nah ini sudah jam 4 lewat banyak,bolak balik saya cek,,gak ada juga nambah saldo sakuku.. Heddeh kampret",semalam top up sakuku rek baca saldo sakuku bertambah rekening berkurang telpon halo baca rugi pulsa bilang cek kembali jam atas jam lewat bolak balik cek bertambah saldo sakuku heddeh sialan,-1
Mengecewakan saya beli pulsa 25rb ket gagal tpi saldo kepotong.. telp halo bca 1500888 di suruh nunggu sampe habis pulsa 25rb pun ndak ada kejelasan.. hati2 jangan pakai transaksi lainnya kecuali transfer dan tarik tunai. Dan tolong dipermudah untuk customer servicenya selain telp 1500888. Untuk bisa komplain lewat email tanpa telp.,mengecewakan beli pulsa ribu ket gagal saldo kepotong telepon halo baca suruh menunggu habis pulsa ribu kejelasan hati pakai transaksi kecuali transfer tarik tunai dipermudah untuk customer servicenya telepon untuk komplain lewat email telepon,-1
"sampai hari ini pembelian pulsa masih belum masuk padahal saldo sudah ke potong dari kemarin,di konfirmasi ke cs jam 5 ada transaksi tapi di inbox tidak ada bukti transaksi pembelian pulsa dan belum ada solusi yang pasti😔,mau konfirmasi ke provider tapi ngga ada bukti transaksi jadi bingung,mohon d respon ya Alhamdulillah akhirnya ada respon ket koreksi d menu dan uang pembelian pulsa yg failed di kembalikan...thx admin",pembelian pulsa masuk saldo potong kemarin konfirmasi cs jam transaksi inbox bukti transaksi pembelian pulsa solusi konfirmasi provider bukti transaksi jadi bingung respon alhamdulillah respon ket koreksi menu uang pembelian pulsa failed kembalikan terimakasih admin,-1
fuuuhhhh...... terulang lagi.... transaksi di blibli gagal; saldo terpotong; dimenu sakuku bukti transaksi ga ada; di info mutasi ada bukti transaksi.... njur mbulet lagi.... email - chat wa- call center... bikin males....,fuh terulang transaksi blibli gagal saldo terpotong dimenu sakuku bukti transaksi informasi mutasi bukti transaksi njur mbulet email chat whatsapp call center malas,-1
Saya transfer tapi saldo belum bertambah.. Disuruh tlp cs 1500888 giliran tlp malah suruh hubungin CS SAKUKU. bukankah no. Cs sakuku jga suruh hubungin 1500888. Trus saya harus kemana lagi. Hubungin sakuku nya. Klw saldo blm bertambah,transfer saldo bertambah disuruh telepon cs giliran telepon suruh hubungin cs sakuku no cs sakuku suruh hubungin terus kemana hubungin sakuku saldo bertambah,-1
"La.. kalo situap ada problem harus hubungi halo BCA, bisa bangkrut lah.. telpon nya malah dan nihil Tidak ada hasil.. dibanding aplikasi tetangga sangat jauh sekali sebab aplikasi tetangga jika ada problem bisa diselesaikan di aplikasi itu juga",situap masalah hubungi halo baca bangkrut telpon nihil hasil dibanding aplikasi tetangga jauh aplikasi tetangga masalah diselesaikan aplikasi,-1
"Terpaksa saya kasih bintang 1; kejadiannya begini wahai pengguna lain: saya transaksi di blibli,, transaksi gagal namun saldo terpotong 😤,, saya sudah email halobca,, dan WA bca,, solusinya harus ke call center... Weleh koq ribet men,,... Males",terpaksa bintang kejadiannya pengguna transaksi blibli transaksi gagal saldo terpotong email halobca whatsapp baca solusinya call center weleh ribet men malas,-1
"Dear BCA sekedar informasi saja ya. Kalau ada promo-promo baru sebaiknya tolong di beritahu lewat notifikasi email saja ya. karena nggak mungkin sekali kan saya membuka aplikasi ini terus setiap harinya sedangkan saya adalah orang yang super sibuk setiap harinya. Jadi nggak ada waktu untuk membuka aplikasi ini setiap harinya, Atas perhatiannya saya ucapkan terima kasih 🙏",dear baca sekedar informasi promo promo sebaiknya beritahu lewat notifikasi email membuka aplikasi terus harinya orang super sibuk harinya jadi waktu untuk membuka aplikasi harinya atas perhatiannya ucapkan terima,-1
"Saya sangat kecewa pada sakuku. Transaksi gagal tapi saldo tetep terpotong. Saya hubungi cs nya gk bisa bantu, katanya suruh nelfon pihak BCA. Kan harus keluar uang lagi buat nelfon. Kecewa deh pokoknya",kecewa sakuku transaksi gagal saldo tetap terpotong hubungi cs gak bantu katanya suruh menelepon pihak baca keluar uang menelepon kecewa deh pokoknya,-1
"100% kecewa full, Saya baru saja membeli pulsa lewat sakuku, tapi belum ada masuk sampai detik ini. Ada email yang bisa di hubungi gak buat kirim bukti nyA kalau belum masuk pulsa yang saya beli, jangan beginilah",kecewa full membeli pulsa lewat sakuku masuk detik email hubungi kirim bukti masuk pulsa beli,-1
Udah terpaksa ihklasin aja uang yang terpotong tapi ga masuk ke pulsa. Telpon ke sana harus isi pulsa terus terpotong banyak. Udh konfirmasi by telpon tp blm di proaea juga. Udh ga mau pake aplikasinya lagi. nyesel~ terpaksa uninstall~ Padahal dari tgl 7 sampe sekarang belum masuk.,terpaksa ihklasin uang terpotong masuk pulsa telpon isi pulsa terus terpotong udah konfirmasi by telpon proaea udah pakai aplikasinya menyesal terpaksa uninstall tanggal masuk,-1
"Saya sudah pernah registrasi, saat install ulang mo kirim SMS selalu gagal, menurut cs akun ku masih aktif tapi mau pakai gak bisa.... Dan saya pakai kartuHALO Telkomsel, kuota dan pulsa gak masalah. Posisi kartu di SIM 1",registrasi install ulang kirim sms gagal menurut cs akun ku aktif pakai pakai kartuhalo telkomsel kuota pulsa masalah posisi kartu sim,-1
"saya bingung kenapa gagal registrasi, sms verifikasi gagal terus, padahal udah 1tahunan terdaftar jd sakuku plus, karena hp kereset sya tidak bisa masuk lg, sim tunggal, nomor hp sama, email dan user sama, sudah uninstal download berkali kali tolong bantuanya, saldonya ada banyak",bingung gagal registrasi sms verifikasi gagal terus tahunan terdaftar jadi sakuku plus handphone kereset masuk sim tunggal nomor handphone email uninstal download berkali kali bantuanya saldonya,-1
"Sudah registrasi dan top up saldo. saldonya masih ada, tapi saat ganti hp log in lagi harus registrasi lagi... ya regist pake nomer yg sama gagal terus. masa isi data harus sama, iya kalo ingat detailnya. sangat disayangkan. padahal nomor dan email juga aktif. harusnya ada notifikasi sms/email saat daftar dulu. atau fitur minimal tidak bisa log in/lupa pasword. biar ngga usah hubungin cs... aplikasi ini harus dikembangkan lagi, biar ngga ada masalah di kemudian hari.",registrasi top up saldo saldonya ganti handphone log registrasi regist pakai nomer gagal terus masa isi data ingat detailnya disayangkan nomor email aktif notifikasi sms email daftar fitur minimal log lupa pasword perlu hubungin cs aplikasi dikembangkan masalah,-1
"sebelumnya saya pakai gk ada masalah,hari ini saya sudah isi pulsa 300.000 aplikasi tidak bisa masuk dengan keterangan ""Maaf ponsel tidak dapat melakukan registrasi sakuku. Hubungi halo bca"" setelah saya telfon halo bca sampai habis pulsa 100.000 katanya dari sistem tidak ada masalah di suruh coba terus sampai beberapa hari kedepan kalau tidak bisa di suruh hubungin lagi. Mau habisin pulsa berapa banyak lagi cobak kalau kayak gitu caranya.",pakai gak masalah isi pulsa aplikasi masuk keterangan maaf ponsel melakukan registrasi sakuku hubungi halo baca telfon halo baca habis pulsa katanya sistem masalah suruh coba terus kedepan suruh hubungin habisin pulsa coba caranya,-1
"Semalam saya top up sakuku dari rek bca Saldo sakuku gak bertambah,,tapi di rekening berkurang..sudah saya telpon halo bca sampai tekor pulsa,, cuman bilang "" di cek kembali nanti jam 4 ke atas"".. Nah ini sudah jam 4 lewat banyak,bolak balik saya cek,,gak ada juga nambah saldo sakuku.. Heddeh kampret",semalam top up sakuku rek baca saldo sakuku bertambah rekening berkurang telpon halo baca rugi pulsa bilang cek kembali jam atas jam lewat bolak balik cek bertambah saldo sakuku heddeh sialan,-1
Mengecewakan saya beli pulsa 25rb ket gagal tpi saldo kepotong.. telp halo bca 1500888 di suruh nunggu sampe habis pulsa 25rb pun ndak ada kejelasan.. hati2 jangan pakai transaksi lainnya kecuali transfer dan tarik tunai. Dan tolong dipermudah untuk customer servicenya selain telp 1500888. Untuk bisa komplain lewat email tanpa telp.,mengecewakan beli pulsa ribu ket gagal saldo kepotong telepon halo baca suruh menunggu habis pulsa ribu kejelasan hati pakai transaksi kecuali transfer tarik tunai dipermudah untuk customer servicenya telepon untuk komplain lewat email telepon,-1
fuuuhhhh...... terulang lagi.... transaksi di blibli gagal; saldo terpotong; dimenu sakuku bukti transaksi ga ada; di info mutasi ada bukti transaksi.... njur mbulet lagi.... email - chat wa- call center... bikin males....,fuh terulang transaksi blibli gagal saldo terpotong dimenu sakuku bukti transaksi informasi mutasi bukti transaksi njur mbulet email chat whatsapp call center malas,-1
"sampai hari ini pembelian pulsa masih belum masuk padahal saldo sudah ke potong dari kemarin,di konfirmasi ke cs jam 5 ada transaksi tapi di inbox tidak ada bukti transaksi pembelian pulsa dan belum ada solusi yang pasti😔,mau konfirmasi ke provider tapi ngga ada bukti transaksi jadi bingung,mohon d respon ya Alhamdulillah akhirnya ada respon ket koreksi d menu dan uang pembelian pulsa yg failed di kembalikan...thx admin",pembelian pulsa masuk saldo potong kemarin konfirmasi cs jam transaksi inbox bukti transaksi pembelian pulsa solusi konfirmasi provider bukti transaksi jadi bingung respon alhamdulillah respon ket koreksi menu uang pembelian pulsa failed kembalikan terimakasih admin,-1
Saya transfer tapi saldo belum bertambah.. Disuruh tlp cs 1500888 giliran tlp malah suruh hubungin CS SAKUKU. bukankah no. Cs sakuku jga suruh hubungin 1500888. Trus saya harus kemana lagi. Hubungin sakuku nya. Klw saldo blm bertambah,transfer saldo bertambah disuruh telepon cs giliran telepon suruh hubungin cs sakuku no cs sakuku suruh hubungin terus kemana hubungin sakuku saldo bertambah,-1
"La.. kalo situap ada problem harus hubungi halo BCA, bisa bangkrut lah.. telpon nya malah dan nihil Tidak ada hasil.. dibanding aplikasi tetangga sangat jauh sekali sebab aplikasi tetangga jika ada problem bisa diselesaikan di aplikasi itu juga",situap masalah hubungi halo baca bangkrut telpon nihil hasil dibanding aplikasi tetangga jauh aplikasi tetangga masalah diselesaikan aplikasi,-1
"Terpaksa saya kasih bintang 1; kejadiannya begini wahai pengguna lain: saya transaksi di blibli,, transaksi gagal namun saldo terpotong 😤,, saya sudah email halobca,, dan WA bca,, solusinya harus ke call center... Weleh koq ribet men,,... Males",terpaksa bintang kejadiannya pengguna transaksi blibli transaksi gagal saldo terpotong email halobca whatsapp baca solusinya call center weleh ribet men malas,-1
"Dear BCA sekedar informasi saja ya. Kalau ada promo-promo baru sebaiknya tolong di beritahu lewat notifikasi email saja ya. karena nggak mungkin sekali kan saya membuka aplikasi ini terus setiap harinya sedangkan saya adalah orang yang super sibuk setiap harinya. Jadi nggak ada waktu untuk membuka aplikasi ini setiap harinya, Atas perhatiannya saya ucapkan terima kasih 🙏",dear baca sekedar informasi promo promo sebaiknya beritahu lewat notifikasi email membuka aplikasi terus harinya orang super sibuk harinya jadi waktu untuk membuka aplikasi harinya atas perhatiannya ucapkan terima,-1
"Saya sangat kecewa pada sakuku. Transaksi gagal tapi saldo tetep terpotong. Saya hubungi cs nya gk bisa bantu, katanya suruh nelfon pihak BCA. Kan harus keluar uang lagi buat nelfon. Kecewa deh pokoknya",kecewa sakuku transaksi gagal saldo tetap terpotong hubungi cs gak bantu katanya suruh menelepon pihak baca keluar uang menelepon kecewa deh pokoknya,-1
Gua transfer dana dr mobile banking ya nominalnya 2jutaan ke akunn sakuku ... Di mutasi uda berhasil .. pas mau di cek saldo dr sore sampe malem di sakuku masi 0 ... Tlp ke cs malah suruh tunggu ... Dahlah males bat buang2 energi .. gak tuntas nih,transfer dana mobile banking nominalnya jutaan akunn sakuku mutasi berhasil pas cek saldo sore malam sakuku telepon cs suruh tunggu malas banget buang energi tuntas,-1
"Saya komplain masalah saldo saya yang terpotong untuk topup diamond, kenapa sudah sampai 2 hari ini diamond saya tidak masuk2 ya, saya juga sudah telpon masalah ini k 1500888 tidak ada tanggapan,",komplain masalah saldo terpotong untuk topup diamond diamond masuk telpon masalah tanggapan,-1
"Sakuku kalau sudah lupa pin, terus install ulang & percuma install ulang karena pin nya aja lupa..... harusnya connect ke email atau jika cust lupa pin masih bisa terdebit ke rek bca toh uang nya juga belum di pakai. Call Cs BCA cuma bilang gk bisa di proses kl lupa pin sakuku.....Jadi uang nya hilang deh.Lebih baik gunakan yg lain dari pada sakuku.... Kan sudah info diatas bahwa jika pssword lupa tetap tidak balik dana di sakuku.....cuma buang pulsa tlp Cs Bca tdk ada solusi",sakuku lupa pin terus install ulang install ulang pin lupa connect email cust lupa pin terdebit rek baca uang pakai call cs baca bilang gak proses kalo lupa pin sakuku jadi uang hilang deh baik gunakan sakuku informasi diatas p word lupa tetap balik dana sakuku buang pulsa telepon cs baca solusi,-1
"kenapa setelah di update kalo masuk jadi ada saran masuk dg email dan password udah tersedia, jadi rentan di buka sama orang lain.. mohon tanggapannya. Terimaksih.",update masuk jadi saran masuk email word tersedia jadi rentan orang tanggapannya terima kasih,-1
Saya ngambil duit di sakuku dgn atm bca tanpa kartu tpi duit tidak bisa diambil Di telp ke 1500888 gak berguna ada cs Mending gak usah diadain sekalian..nyesal saya pake apl selama 5 thn ini👿👿👿,mengambil duit sakuku atm baca kartu duit diambil telepon berguna cs lebih baik perlu diadain nyesal pakai apl tahun,-1
Promo nya menarik. Namun sebelumnya saya ikut survei berhadiah saldo sakuku 25rb . Smpe skrg blm masuk hadiah nya. Padahal sudah ada email nya. Mohon penjelasan.,promo menarik ikut survei berhadiah saldo sakuku ribu masuk hadiah email penjelasan,-1
Saya Sebagai penhguna atm.Bca sangat menyesal nabung di bca yg sudah merugikan nasabah sehingga uang tabungan sy ludes sama sekali.padahal sy tidak pernah mendaftar beli pulsa potong rekening atau mengaktifkan internet banking apalg mendaftar aplikasi2 spt uang elektronik. Tapi kecerobohan bca yg telah menerima telp selundupan sebanyak. 5 nomer tanpa memberitahu sy pemelik rekening ... lancang sekali harusnya cs bca menghubungi sy dulu benar tidak 5 nomer yg mendaftar itu nomer sy .. akibatnya,penhguna atm baca menyesal nabung baca merugikan nasabah uang tabungan ludes mendaftar beli pulsa potong rekening mengaktifkan internet banking mendaftar aplikasi uang elektronik kecerobohan baca menerima telepon selundupan nomer memberitahu pemelik rekening lancang cs baca menghubungi benar nomer mendaftar nomer akibatnya,-1
"Isi pulsa 100rb,sdh bgtu tidak masuk dan tidak ad pengembalian,sdh telpon halo bca jga smpe hbs pulsa lg 30rb dan terpotong,banyak ruginya,sampah lah pkoknya",isi pulsa ribu masuk pengembalian telpon halo baca habis pulsa ribu terpotong ruginya sampah pokoknya,-1
