raw,processed,predict
"Saya baru ganti HP dan baru download lagi sakuku tapi kenapa kok mau masuk akun lama kayak baru register, lalu udah 6x kirim SMS dari register itu tapi gak bisa masuk. Aneh harusnya aplikasi lain itu kalo udah punya akun gak perlu register lagi tapi tinggal sign in tapi ini gak ada pilihan sign in. Tolong solusinya ya",ganti handphone download sakuku masuk akun register kirim sms register masuk aneh aplikasi punya akun perlu register tinggal sign pilihan sign solusinya,-1
"Tolong kembalikan uang saya ,saya laporan kehilangan hp ,setelah sya ganti hp dengan nomor yang sama login ke sakuku malah saldo jadi NOL lalu bagaimana keamanan nya saya sudah laporan ke hallo BCA untuk blokir sementara ,dan setelah saya urus lagi knapa jadi nol padahal saya aktifin lagi di kantor cabang lho ,mengecewakan dan sangatlah mengecewakan ,sedangkan saldo sakuku saya tidak sedikit lho ,tolong urusin dan kambalikan uang saya ,dan tanpa potongan terima kasih",kembalikan uang laporan kehilangan handphone ganti handphone nomor login sakuku saldo jadi nol keamanan laporan halo baca untuk blokir urus knapa jadi nol aktifin kantor cabang lho mengecewakan mengecewakan saldo sakuku lho mengurusi kambalikan uang potongan terima,-1
"Saya GK bisa masuk gara2 lupa pin. Dan ulang masuk register terus kirim SMS berulang2 ttep GK bisa, intinya saya lupa waktu register seblumnya.. tolg solusinya bosku. Apakah uang saya masih ada d dalamnya.",gak masuk gara lupa pin ulang masuk register terus kirim sms berulang tetap gak intinya lupa waktu register seblumnya tolg solusinya bosku uang dalamnya,-1
Aplikasi apaan ini.. mau login aja susah harus isi data lagi.. mana datanya lupa lagi krena dah daftar lama... kenapa ga login pakai otp aja si... akhirnya saldo saya raib ratusan ribu... terimakasih sakuku,aplikasi login susah isi data datanya lupa daftar login pakai otp saldo raib ratusan ribu terimakasih sakuku,-1
"Mau nanya, kemarin saya login sakuku lngsung bisa masuk, tapi setelah keesokan harinya saya buka lagi kok malah di suruh masukin data diri ulang ya, dan malah gagal terus gak bisa login jadinya, kira-kira kenapa kok bisa gitu ya?. Terimakasih",tanya kemarin login sakuku langsung masuk keesokan harinya suruh masukkan data ulang gagal terus login jadinya kira kira terimakasih,-1
"Awal awalnya bagus sampai beberapa kali transaksi masih oke, tp beberapa saat, pas mau login ga bisa terus, bilangnya sim card nya tidak sesuai dengan sim card pada saat regist pertama kali, dan disuruh reinstall. sedangkan dari awal, sim cardnya ga ganti ganti dan ga pernah copot pasang juga. Dan keadaan hp saya pun masih asli ga pernah dirooted dan sebagainnya. Sama sekali ga bisa diakalin, mau gamau diuninstall dulu dan install lg. masalahnya ada saldonya didalem situ. Disayangkan sekali sih kalo satu""nya cara cuma itu.",awal awalnya bagus kali transaksi oke pas login terus bilangnya sim card sesuai sim card regist pertama kali disuruh reinstall awal sim cardnya ganti ganti copot pasang keadaan handphone asli dirooted sebagainnya diakalin gak mau diuninstall install masalahnya saldonya didalem situ disayangkan satu cara,-1
Tiba2 log out sendiri Dan ANEH NYAH ga ada tombol login Masa registrasi lagi??? Registrasi pun udh di sms sampe 3 kali g bisa2 TAPI pulsa tetep kepotong 🤦🥱,tiba log out aneh tombol login masa registrasi registrasi udah sms kali pulsa tetap kepotong,-1
"aplikasi dari bbrp mnggu lalu keluar terus. Aplikasi sakuku sekarang payah. masa sudah login dan daftar. lalu mau masuk lagi malah muncul ""hp anda tdk terkoneksi internet"". koneksi internet 4G+ bgni.. masa harus dftar lagi sampai buang-buang pulsa SMS apabila mau login sakuku lagi.",aplikasi mnggu keluar terus aplikasi sakuku payah masa login daftar masuk muncul handphone terkoneksi internet koneksi internet masa dftar buang buang pulsa sms login sakuku,-1
"saya transaksi denga kode QR, keterangan gagal tapi di mutasi saldo sudah terpotong dan tidak ada bukti transfer nya",transaksi denga kode qr keterangan gagal mutasi saldo terpotong bukti transfer,-1
"aplikasi dari bank terbesar tapi kok ga bisa sesimpel ovo/gopay. form login aneh, adanya hanya regist. tidak ada petunjuk cara topup di aplikasi (suruh google sendiri gitu ?). top up hanya bisa dari bank bca ~~~~   pernah ada problem salah topup dan sekarang sudah terselesaikan.  namun cara penyeselaian tidak to the point, harus dipush berkali-kali lewat socmed baru ditindak lanjuti dengan serius",aplikasi bank terbesar sesimpel ovo gopay form login aneh regist petunjuk cara topup aplikasi suruh google top up bank baca masalah salah topup terselesaikan cara penyeselaian tryout the point dipush berkali kali lewat socmed ditindak lanjuti serius,-1
"registrasi & login susah, dari awal download sampai skrg blm punya akun sakuku nih. mohon solusinya dong BCA karena udh pakai SIM 1 & pulsa saya 27rb, jaringan internet juga lancar. pasti terpenuhi lah syarat2 buat registrasi. mau kasih bintang 5 klo udh jadi bener akun ku. makasih.",registrasi login susah awal download punya akun sakuku solusinya baca udah pakai sim pulsa ribu jaringan internet lancar terpenuhi syarat registrasi bintang udah jadi benar akun ku terima kasih,-1
"Mas.. Saya kan udah pernah ada akun sakuku udah tersangkut dengan atm.. Trus saya mau login lagi disuruhnya menggunakan data sesuai yang sebelumnya pernah dibuat.. Cuma saya lupa mas datanya.. Ga bisa pake nomor ya telepon ya mas?? Uang saya nyangkut, kira solusinya apa ya mas??",mas akun sakuku tersangkut atm terus login disuruhnya menggunakan data sesuai dibuat lupa mas datanya pakai nomor telepon mas uang nyangkut kira solusinya mas,-1
"kenapa saat buka aplikasi sakuku gk bs ya?ada tulisan : maaf ponsel tidak dapat melakukan registrasi sakuku hubungi halo bca di 1500888. padahal sebelumnya nmr saya sdh terdaftar di sakuku.karna ada update terbaru,sy update begitu selesai sy login gk isa.simcard sudah di sim1,pulsa reguler ada,internet jaringan full,hp blm pernah di root.",aplikasi sakuku gak tulisan maaf ponsel melakukan registrasi sakuku hubungi halo baca nomor terdaftar sakuku update terbaru update selesai login gak isa simcard sim pulsa reguler internet jaringan full handphone root,-1
"Pas saya mau registrasi muter terus, akhirnya saya tinggal dan ga lama disuruh login lagi. pas udah login, ga sengaja saya klik 'ingat pemilihan saya' terus saya ga sengaja klik yang 'jangan bolehkan' terus tiap saya mau registrasi smsnya ga kekirim. Jadi gimana ya? Gabisa pake sakuku atau ada cara lain ya?",pas registrasi muter terus tinggal disuruh login pas login sengaja klik ingat pemilihan terus sengaja klik bolehkan terus registrasi smsnya kekirim jadi tidak bisa pakai sakuku cara,-1
