,raw,processed,labels
0,ganti nomer akun dana no hilang email whatsapp tanggapan payah dana,ganti nomer akun no hilang email whatsapp tanggapan payah,-1
1,ketahuan pakai teman pakai dana susah banget tarik tunai tarik tunai alfa dan lain-lain alesan tidak bisa tarik tunai,ketahuan pakai teman pakai susah banget tarik tunai tarik tunai alfa dan lain-lain alesan tidak bisa tarik tunai,-1
2,aneh verifikasi ktp katanya ktp palsu sim palsu ktp palsu sim atm baca atm bri dan lain-lain jelas aplikasi ktp dinas dukcapil sembarangan mengatai ktp palsu,aneh verifikasi ktp katanya ktp palsu sim palsu ktp palsu sim atm baca atm bri dan lain-lain jelas ktp dinas dukcapil sembarangan mengatai ktp palsu,-1
3,kirim request proses konfirm masuk pihak dana saldo potong coba tlfn pihak dana respon njing email slow respon kepastian asww,kirim request proses konfirm masuk pihak saldo potong coba tlfn pihak respon njing email slow respon kepastian asww,-1
4,pihak ovo jam mengisi pulsa pelanggan masuk gagal terkirim layanan kurang memuaskan ovo,pihak jam mengisi pulsa pelanggan masuk gagal terkirim layanan kurang memuaskan,-1
5,customer service sibuk terus dijawab jawab niat emosi lewat email whatsapp kayak anjing,customer service sibuk terus dijawab jawab niat emosi lewat email whatsapp kayak anjing,-1
6,suka banget aplikasi linkaja benar gampang banget digunakan bayar listrik gojek grabfood aplikasi pertama kali pakai wallet banget mencoba pakai linkaja,suka banget benar gampang banget digunakan bayar listrik gojek grabfood pertama kali pakai wallet banget mencoba pakai,1
7,bagus dompet digital berguna dompet digital all one pembayaran satu dompet linkaja jadi jauh praktis,bagus dompet digital berguna dompet digital all one pembayaran satu dompet jadi jauh praktis,1
8,link dibuka top up saldo hapus install ulang kali restahandphone penjelasan,link dibuka top up saldo hapus install ulang kali restahandphone penjelasan,-1
9,maaf nomor ditolak melakukan kesalahan diperbaiki gimana kak suka banget linkaja tiba tiba,maaf nomor ditolak melakukan kesalahan diperbaiki gimana kak suka banget tiba tiba,-1
10,kecewa bagus dana parah banget respons telpon call centre penuh terus suruh ngontek watsap watsap robot top up saldo bertambah email brkali terlambat respons hati tunggu saldo pulsa habis telpon call centre alhmdulillah saldo udah masuk pantau terus email harian moga terjadi,kecewa bagus parah banget respons telpon call centre penuh terus suruh ngontek watsap watsap robot top up saldo bertambah email brkali terlambat respons hati tunggu saldo pulsa habis telpon call centre alhmdulillah saldo udah masuk pantau terus email harian moga terjadi,-1
11,pakai aplikasinya sim nomor handphone terdaftar baca posisi sim posisi sim nomor terdaftar sim pakai aplikasi baca mobile masalah hm aplikasi aneh tambah canggih tambah mundur,pakai aplikasinya sim nomor handphone terdaftar baca posisi sim posisi sim nomor terdaftar sim pakai baca mobile masalah hm aneh tambah canggih tambah mundur,-1
12,aplikasi amazing kebutuhanku berbau uang jadi simple beli pulsa waktu malas pergi keluar rumah disuruh ibu beli token pulsa jadi ribet tinggal link link berangkat kerja motor tinggal nge gojek klik link kantor makan siang bawa bekel tinggal ngegrab food pakai link bapak servis handphone beli sparepacu klik link pembayarannya,amazing kebutuhanku berbau uang jadi simple beli pulsa waktu malas pergi keluar rumah disuruh ibu beli token pulsa jadi ribet tinggal link link berangkat kerja motor tinggal nge gojek klik link kantor makan siang bawa bekel tinggal ngegrab food pakai link bapak servis handphone beli sparepacu klik link pembayarannya,1
13,ya aplikasi untuk transaksi pengiriman uang email link jawaban tanggapi pakai transaksi nyata perbaiki terimah,ya untuk transaksi pengiriman uang email link jawaban tanggapi pakai transaksi nyata perbaiki terimah,-1
14,pas tampil maaf ponsel melakukan registrasi sakuku hubungi bank baca perbaiki,pas tampil maaf ponsel melakukan registrasi hubungi bank baca perbaiki,-1
15,pertama kali gagal memuat niat nggak aplikasi masak gangguan terus nggak,pertama kali gagal memuat niat nggak masak gangguan terus nggak,-1
16,semalem isi pulsa coba kirim uang upgrade dana premium upgrade dana premium loading banget gagal kayak perbaiki servernya orang kecewa jadinya,semalem isi pulsa coba kirim uang upgrade premium upgrade premium loading banget gagal kayak perbaiki servernya orang kecewa jadinya,-1
17,membantu menguntungkan transaksi saldo kapotong masuk menghubungi mail saldo dipulangin pokoknya linkaja top,membantu menguntungkan transaksi saldo kapotong masuk menghubungi mail saldo dipulangin pokoknya top,1
18,link membuat urusan jadi mudah transfer bayar listrik bayar pdam isi pulsa dsb,link membuat urusan jadi mudah transfer bayar listrik bayar pdam isi pulsa dsb,1
19,pengguna penjelasannya kurang tahu paham kegunaan aplikasi bantuain penjelasannya terima kasih,pengguna penjelasannya kurang tahu paham kegunaan bantuain penjelasannya terima kasih,1
20,aplikasi nanggung banget login pingerprint untuk bayar topup indomaret alfamat topup jenius gagal tf baca virtual menu lengkap pas an aduh nangung banget app sekelas baca plis membenahi,nanggung banget login pingerprint untuk bayar topup indomaret alfamat topup jenius gagal tf baca virtual menu lengkap pas an aduh nangung banget app sekelas baca plis membenahi,-1
21,tanya masukkan uang dana pelajar ktp bingungnya minggu duit hangus jadi perak,tanya masukkan uang pelajar ktp bingungnya minggu duit hangus jadi perak,-1
22,parah parah aplikasi ovo masaa satu minggu sistem sibuk melulu transfer,parah parah masaa satu minggu sistem sibuk melulu transfer,-1
23,sms daftar install aplikasi kuota data gb daftar bayar pakai sms registrasi terus tahu fungsinya pastikan rugi kuota download buang buang pulsa registrasi urusan uang penting kalah permainan onlen jalan memaksakan rugi konsumen bos ku,sms daftar install kuota data gb daftar bayar pakai sms registrasi terus tahu fungsinya pastikan rugi kuota download buang buang pulsa registrasi urusan uang penting kalah permainan onlen jalan memaksakan rugi konsumen bos ku,-1
24,update full servis tanggapan pihak linkaja tercantup linkaja kali jam iniudah kali jam respon disitu mengecewakan,update full servis tanggapan pihak tercantup kali jam iniudah kali jam respon disitu mengecewakan,-1
25,kembalikan saldo dana tanggal agustus jam pagi beli pulsa riwayat transaksi tertulis kadaluarsa saldo dikembalikan,kembalikan saldo tanggal agustus jam pagi beli pulsa riwayat transaksi tertulis kadaluarsa saldo dikembalikan,-1
26,akhir jadi susah login blsn sms dproses dcb kmudian instal ulang,akhir jadi susah login blsn sms dproses dcb kmudian instal ulang,-1
27,aplikasi bagus banget membantu keperluan mendadak transfer mudah ribet cepat pulsa listrik habis pokok keren banget,bagus banget membantu keperluan mendadak transfer mudah ribet cepat pulsa listrik habis pokok keren banget,1
28,aplikasi sebelah lebih baik pakai jelek lebih baik sumpah beroo harga mahal murah bayar top up cepat pakai ribet lebih baik pilih,sebelah lebih baik pakai jelek lebih baik sumpah beroo harga mahal murah bayar top up cepat pakai ribet lebih baik pilih,1
29,aplikasi lumayan membantu kali top up rekening udah kepotong gamasuk saldo link aneh rugi,lumayan membantu kali top up rekening udah kepotong gamasuk saldo link aneh rugi,-1
30,recomended untuk aplikasi aplikasi berguna banget menu memudahkan untuk transaksi transfer tarik tunai beli pulsa data asuransi bayar listrik pdam internet pembayarannya simple no ribet ribet pakai cukup scan tunjukkan token aplikasi langsung bayar melakukan transaksi menggunakan satu aplikasi pokoknya download,recomended untuk berguna banget menu memudahkan untuk transaksi transfer tarik tunai beli pulsa data asuransi bayar listrik pdam internet pembayarannya simple no ribet ribet pakai cukup scan tunjukkan token langsung bayar melakukan transaksi menggunakan satu pokoknya download,1
31,maaf bintang dana makinn lambat masa transfer menunggu jam tulisan kirim klik terus mesti hapus donload butuh waktu,maaf bintang makinn lambat masa transfer menunggu jam tulisan kirim klik terus mesti hapus donload butuh waktu,-1
32,kartu hilang masuk akun ovo veripikasi karma habis login jalan terbaik masuk akun ovo soalnya kartu hilang petunjuk,kartu hilang masuk akun veripikasi karma habis login jalan terbaik masuk akun soalnya kartu hilang petunjuk,-1
