raw,processed,Sentimen
Mau ganti nomer akun dana lama no nya hilang sudah di email di WA juga tidak ada tanggapan PAYAH dana,ganti nomer akun dana no hilang email whatsapp tanggapan payah dana,-1
Ketauan pake yang lain teman2 pake dana susah banget mau tarik tunai .tiap mau tarik tunai ke alfa dll pasti aja ada alesan gabisa tarik tunai nya .😡,ketahuan pakai teman pakai dana susah banget tarik tunai tarik tunai alfa dan lain-lain alesan tidak bisa tarik tunai,-1
"aneh, verifikasi KTP. katanya KTP gua palsu. SIM gua palsu. kalo KTP gw palsu gak mungkin gw bisa bikin SIM, bikin ATM bca, ATM bri dll. gak jelas nih aplikasi. yang bikin KTP tuh bukan gw tapi dari dinas dukcapil. sembarangan aja ngatain KTP gw palsu",aneh verifikasi ktp katanya ktp palsu sim palsu ktp palsu sim atm baca atm bri dan lain-lain jelas aplikasi ktp dinas dukcapil sembarangan mengatai ktp palsu,-1
Gwe kirim ke req masih proses belum ada konfirm masuk dari pihak dana tapi saldo udah k.potong aja.. gimana itu... dah gwe coba tlfn pihak dana gak ada respon njing... d.email slow respon tanpa kepastian asww,kirim request proses konfirm masuk pihak dana saldo potong coba tlfn pihak dana respon njing email slow respon kepastian asww,-1
gimana nih pihak ovo udah 1x24 jam saya ngisi pulsa pelanggan saya gak masuk2.. gagal enggak terkirim juga enggak.. layanan nya kurang memuaskan di ovo,pihak ovo jam mengisi pulsa pelanggan masuk gagal terkirim layanan kurang memuaskan ovo,-1
"Gimana sih customer service nya, sibuk mulu gak dijawab jawab niat kgk sih emosi gw lama""l, udah lewat email, whatsapp sama aja kek anj-,)",customer service sibuk terus dijawab jawab niat emosi lewat email whatsapp kayak anjing,-1
"Suka bngt sama aplikasi LinkAja. bener2 gampang bngt buat digunakan. bisa bayar listrik, gojek, grabfood dan masih bnyk lainnya hanya dalam 1 aplikasi. buat yg pertama kali pake e-wallet, bisa bngt nyoba pake LinkAja",suka banget aplikasi linkaja benar gampang banget digunakan bayar listrik gojek grabfood aplikasi pertama kali pakai wallet banget mencoba pakai linkaja,1
"Sangat bagus! Dompet digital paling berguna dari semua dompet digital yang ada. Bisa all in one, semua pembayaran bisa hanya dengan satu dompet (LinkAja) jadi jauh lebih praktis.",bagus dompet digital berguna dompet digital all one pembayaran satu dompet linkaja jadi jauh praktis,1
"Ada apa dengan link aja? Hari ini tidak bisa dibuka sama sekali setelah top up saldo padahal sudah hapus dan install ulang bbrpa kali, sdh restart handphone juga, mohon penjelasan",link dibuka top up saldo hapus install ulang kali restahandphone penjelasan,-1
"Maaf ini kok nomor saya ditolak gt ya ? Padahal saya tidak melakukan kesalahan.. Mohon diperbaiki atau gmn gt kak,, Padahal dulu suka banget linkaja,, kok tiba-tiba gak bisa :(",maaf nomor ditolak melakukan kesalahan diperbaiki gimana kak suka banget linkaja tiba tiba,-1
Saya kecewa. Biasanya bagus2 aja... sekarang Ini gimana dana ya.. parah banget. Respons dong. Telpon call centre penuh terus. . D suruh ngontek watsap. . Watsap cuma robot. Udah Top up tapi saldo gak nambah2. Email brkali2 juga telat respons. Mohon hati2 saja ke yang lainnya ya. Saya tunggu saldo saya saja. Pulsa sampai habis buat telpon call centre. Alhmdulillah saldo udh masuk setelah pantau trus email 2 harian. Muga gak trjadi gini lagi.,kecewa bagus dana parah banget respons telpon call centre penuh terus suruh ngontek watsap watsap robot top up saldo bertambah email brkali terlambat respons hati tunggu saldo pulsa habis telpon call centre alhmdulillah saldo udah masuk pantau terus email harian moga terjadi,-1
"Sebelumnya bisa pake aplikasinya dgn sim nomor hp yg terdaftar di BCA dgn 
posisi bkn di sim 1 tp posisi sim 2, tapi knp sekarang nomor yg terdaftar 
hrs di sim 1?? Pake aplikasi BCA mobile aja ga masalah hmmm... Aplikasi yg 
aneh.. tidak tambah canggih tp malah tambah mundur...",pakai aplikasinya sim nomor handphone terdaftar baca posisi sim posisi sim nomor terdaftar sim pakai aplikasi baca mobile masalah hm aplikasi aneh tambah canggih tambah mundur,-1
"Aplikasi yang amazing sih ini, semua kebutuhanku berbau uang jadi simple. Bisa beli pulsa waktu mager pergi keluar rumah sih. Nahh lagi kalo disuruh nyokap beli token pulsa jd nggk ribet tinggal link link ajaa. Mau berangkat kerja nggk ada motor tinggal nge gojek aja klik link aja sampe kantor. Makan siang nggk bawa bekel tinggal ngegrab food aja sih dan pakai link aja lagi. Nah nahh bapak saya buka servis hp nih mau beli sparepart cuss klik link aja buat pembayarannya.",aplikasi amazing kebutuhanku berbau uang jadi simple beli pulsa waktu malas pergi keluar rumah disuruh ibu beli token pulsa jadi ribet tinggal link link berangkat kerja motor tinggal nge gojek klik link kantor makan siang bawa bekel tinggal ngegrab food pakai link bapak servis handphone beli sparepacu klik link pembayarannya,1
"Kenapa yah aplikasi saya tidak bisa untuk transaksi pengiriman uang, saya sudah email ke link aja nya , jawaban nya sudah di tanggapi dan sudah bisa di pakai transaksi, tpi nyata belum bisa . Tolong di perbaiki . Terimah kasih",ya aplikasi untuk transaksi pengiriman uang email link jawaban tanggapi pakai transaksi nyata perbaiki terimah,-1
"Pas di buka malah tampil "" maaf, ponsel anda tidak bisa melakukan registrasi sakuku.hubungi bank BCA"". mohon perbaiki.!!!",pas tampil maaf ponsel melakukan registrasi sakuku hubungi bank baca perbaiki,-1
