raw,processed,predict
mantul dah pokok ny GK nyesel lagi klo ud di download??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????ngk usa dilihat ke bawah pokok ny GK nyesel LG dijamin,mantul pokok gak menyesal download usah dilihat bawah pokok gak menyesal dijamin,-1
"Saya sangat kecewa dengan dana. Transaksi transfer ke rekening BCA saya tidak terikim2 alias nyantol sudah 1 Minggu gak ada pengembalian sama skali. Sudah saya email,whatsapp dan sudah telpon costomer care 3x malah disuruh nunggu terus. Kurang profesional dan slow respon. Saya tunggu iktikad dan kabar baiknya soal akun saya !!!",kecewa dana transaksi transfer rekening baca terikim alias nyangkut minggu pengembalian email whatsapp telpon costomer care disuruh menunggu terus kurang profesional slow respon tunggu iktikad kabar sebaiknya soal akun,-1
"DANA bener2 mengecewakan , sampai sekarang akun saya di bekukan dan tidak bisa login sampe saat ini sudah sekitar 1 Minggu Lebih dan uang saldo saya gak tau masih ada atau sudah hangus , telponn CS nya sudah lebih dari 5 kali sampe sekarang akun saya tetap saja tidak bisa login ,gak tau saya harus konplean kemana lagi , dan saya sangat kecewa ,padahal saya pengguna DANA sudah cukup lama Pesan saya pribadi ,mohon di perbaiki agar nasabah yg lain tidak kecewa seperti saya ,",dana benar mengecewakan akun bekukan login minggu uang saldo tahu hangus telponn cs kali akun tetap login tahu konplean kemana kecewa pengguna dana cukup pesan pribadi perbaiki nasabah kecewa,-1
"Dari 2018 sampai skg menggunakan dana, baru kali ini kecewa transfer ke rekening bank statusnya pending. Melihat ulasan di google kasus transfer ke rekening bank pending hanya terjadi dengan nominal besar. Menghubungi Cs WA selalu sibuk, email tidak ada jawaban, tlp pun selalu sibuk. Kenapa pelayanan dana jadi menurun seperti ini? Kapok ga akan pernah lg mengunakan dana untuk transaksi digital",menggunakan dana kali kecewa transfer rekening bank statusnya pending melihat ulasan google kasus transfer rekening bank pending terjadi nominal besar menghubungi cs whatsapp sibuk email jawaban telepon sibuk pelayanan dana jadi menurun kapok mengunakan dana untuk transaksi digital,-1
"Ini hub. Admin DANA kemana ya...? Klo ada masalah lalu gmn..? Sy ada masalah uang yg tertahan di dana karena pembelian sy di BUKALAPAK ditolak seller... Duh, lalu knp uangnya bukan dibalikin ke saldo akun BUKALAPAK...tp malah masuk ke dana...??? Lalu gmn nasib uang sy..? Knp ssy JADI URUSANNYA KE DANA .?? Bukan ke Bukalapak...? Gmn tanggung jawabnya BUKALAPAK..? Ammppuuuunnn..mo belanja malah jadi PUUSSIINGG... Duh jd mulai mikir2 dulu deh klo mau belanja lagi di bukalapak...",hubungi admin dana kemana masalah gimana masalah uang tertahan dana pembelian bukalapak ditolak seller aduh uangnya dibalikin saldo akun bukalapak masuk dana gimana nasib uang ya jadi urusannya dana bukalapak gimana tanggung jawabnya bukalapak ammppun belanja jadi puu iingg aduh jadi mulai mikir deh belanja bukalapak,-1
"Aplikasi sampah!!! Uang gua ketahan (menunggu) gara² tf gagal giliran di chat lewat wa, dm twitter, sama email ga ada respon sama sekali, pas ditelpon cs nya baru ngomong sebentar langsung di matiin sampe abis pulsa 20rb lebih cuma buat nanya ke cs yg belum sampe 2 menit ngomong langsung panggilan di akhiri.. Aplikasi jelek!!! Bagi yg belum download Jangan di download deh slow respon bener ini cs nya",aplikasi sampah uang ketahan menunggu gara tf gagal giliran chat lewat whatsapp dm twitter email respon pas ditelpon cs bicara sebentar langsung matiin habis pulsa ribu tanya cs menit bicara langsung panggilan akhiri aplikasi jelek download download deh slow respon benar cs,-1
"Tolong dong dibantu prosesnya,saya baru transfer tapi ko pending trus. Saya kasih bintang satu dulu, kalo udah balik lagi uangnya atau terkirim secepatnya saya tambah lagi bintangnya😔tolong segera di proses, sangat urgent untuk berobat. Terima kasih.",dibantu prosesnya transfer pending terus bintang satu balik uangnya terkirim secepatnya tambah bintangnya proses urgent untuk berobat terima,-1
"Tadi tf ke ovo, biasanya dalam hitungan detik uang sudah berhasil, tapi sampe sekarang belum masih belum brhasil itu gmana ya? Tapi uang sudah kepotong dan proses masih berlangsung. Di ovo juga belum masuk, biasanya aman2 aja tuh kenapa ya. Uang sudah kepotong tapi trasnferan belum berhasil",tf ovo hitungan detik uang berhasil berhasil uang kepotong proses berlangsung ovo masuk aman uang kepotong trasnferan berhasil,-1
Nyesel bgt pake dana kenapa sih kalo pas buka apk trus mau klik kirim uang selalu muter muter trus padahal sinyal full... TOLONG PIHAK DANA PERBAIKI SERVER ANDA!!!!!!! Saya janji kalo seperti ini trus saya akan pindah aja dompet digital ke gopay sama ovo !!!!,menyesal banget pakai dana pas aplikasi terus klik kirim uang muter muter terus sinyal full pihak dana perbaiki server janji terus pindah dompet digital gopay ovo,-1
"Saya sudah kirim email prihal pelepasan akun premium saya, sudah 7 hari tapi proses nya tidak selesai. Segala macam pertanyaan dan persyaratan sudah saya kirim. Tapi belum ada kejelasan terkait permasalahan saya. Sangat lambat responnya. Jika saya blm menghapus ulasan ini berarti pihak dana blm menyelesaikan keluhan saya.",kirim email prihal pelepasan akun premium proses selesai pertanyaan persyaratan kirim kejelasan terkait permasalahan lambat responnya menghapus ulasan berarti pihak dana menyelesaikan keluhan,-1
