raw,processed
"Selama Makai aman aja ga ada kendala, aplikasi nya bagus banget, lancar ga seperti mbangkin yg lambat, untuk transfer antar bank bumn juga gratis, seneng banget pokoknya pake app nya, Cuma 1 saran saya untuk fitur isi saldo melalui debit card agar fitur nya segera dirilis dong, biar kita isi saldo ga bolak balik buka m banking 😁, terus 1 lagi, kalo abis transaksi, saldo yg di layar awal ga berubah nambah atau kurangnya saldo, walaupun jendela nya uda di refresh, harus di tutup baru buka lagi",makai aman kendala bagus banget lancar mbangkin lambat untuk transfer bank bumn gratis senang banget pokoknya pakai app saran untuk fitur isi saldo debit card fitur dirilis isi saldo bolak balik banking terus habis transaksi saldo layar awal berubah bertambah kurangnya saldo jendela refresh tutup
"selamat sore,,mohon jawabannya saya tanggal 13 mengisi saldo dari mandiri online dua kali tetapi yang masuk cuma satu kali sementara dari rekening saya sudah terkirim dua kali pertanyaan saya yang kedua saya ngisi ko tidak masiluk di linkaja,,kemana kira kira uangnya??",selamat sore jawabannya tanggal mengisi saldo mandiri onlen dua kali masuk satu kali rekening terkirim dua kali pertanyaan kedua mengisi masiluk kemana kira kira uangnya
"Bener bener kapok! Saya isi saldo 300rb di rekening kepotong saldo ga masuk masuk, sudah komplain suruh nunggu 3hari, ini sudah merugikan nasabah saya akan laporkan ke OJK & Media Konsumen, Tolong hati2 klo transaksi menggunakan LinkAja uang kita tidak aman malah dirugikan!! Saat Pandemi malah mengambil hak orang lain",benar benar kapok isi saldo ribu rekening kepotong saldo masuk masuk komplain suruh menunggu merugikan nasabah laporkan ojk media konsumen hati transaksi menggunakan uang aman dirugikan pandemi mengambil hak orang
"Ketika nomor saya sdh migrasi ke Halo, kenapa ketika saya klik di item pascabayar pilihan operator Telkomsel tidak muncul? Sehingga saya kesulitan untuk bayar tagihan nomor saya maupun nomor orang lain. Padahal ketika masih belum dimigrasi pilihan operator Telkomsel ada",nomor migrasi halo klik hitam pascabayar pilihan operator telkomsel muncul kesulitan untuk bayar tagihan nomor nomor orang dimigrasi pilihan operator telkomsel
"Hallo link aja, tolong dibantu. Aplikasi saya tiba2 mnta update, sy update. Saldo saya ada didalam. Tp pas masuk pake nomor hp yg lama, nomor hp saya sudah lama mati. Bantu solusinya karna uang saya ada disana. Trims",halo link dibantu tiba minta update update saldo didalam pas masuk pakai nomor handphone nomor handphone mati bantu solusinya uang disana terima kasih
"Susah,,,sekarang sudah mau transfer selalu gagal,padahal nominal sudah sesuai dan no pengiriman udah benar. Dari kemaren sampai hari ini gak bisa trf,alasan gak masuk akal. Maintenance apa sampai 24 jam lebih",susah transfer gagal nominal sesuai no pengiriman benar kemarin trf alasan masuk akal maintenance jam
"Pelayanannya susah,jadi aku salah isi pulsa ke nomor aku yang satunya tapi nomor itu ga aktif ya jadinya pulsanya ga masuk,ketika udah aku aktifin nomor tersebut tetep aja tuh pulsa masih ga masuk,refund ga bisa ngehubungi via chat susah banget",pelayanannya susah jadi salah isi pulsa nomor satunya nomor aktif jadinya pulsanya masuk aktifin nomor tetap pulsa masuk refund ngehubungi via chat susah banget
"Tidak puas dengan sistem pelayanan CS nya.. awal kali komplain, dilayani bot secara berbelit2... kemudian pas udah ngobrol sama agen, jawabannya juga pake template.. gk ada bedanya ngobrol sama manusia & robot... Sepertinya memang tidak mau menerima pengaduan pelanggan... Saya pengguna lama LinkAja, bahkan sejak namanya masih T-cash... Entahlah semenjak T-cash menjadi LinkAja ini kualitas pelayanan pelanggan nya sangat turun sekali... Saya sudah dua kali komplain & dibeginikan...",puas sistem pelayanan cs awal kali komplain dilayani bot secara berbelit pas mengobrol agen jawabannya pakai template gak bedanya mengobrol manusia robot menerima pengaduan pelanggan pengguna namanya cash semenjak cash menjadi kualitas pelayanan pelanggan turun dua kali komplain dibeginikan
"Komplain salah memasukkan nomer pembelian data menjadi tanggung jawab pemegang link aja oke jika nomer tsb aktif jika tdk aktif, trs saldo pengisian pulsa dijadiin apa??? Bisnis provider atau link aja gitu??",komplain salah memasukkan nomer pembelian data menjadi tanggung jawab pemegang link oke nomer aktif aktif terus saldo pengisian pulsa dijadikan bisnis provider link
Sebelum.update gak ada masalah. Semua transaksi lancar aja. Skarang aplikasi sering keluar sendiri klw melakukan pembayaran pake scan qris..mohon segera perbaiki. Soalnya mals pake app sejenis yg lain.,update masalah transaksi lancar keluar melakukan pembayaran pakai scan qris perbaiki soalnya mals pakai app sejenis
