raw,processed
"Admin ovo pada gak ada yang becus kerja.... Saya mau konfirmasi kehilangan nomor, saya di suruh megirimkan selfi pegang KTP udah saya turuti, saya di over"" ke admin lain dan di minta persyaratan yang sama, kalau gak bisa kerja mending gak usah kerja.... Nomor call center nya gak bisa di hubugi.... Ini aplikasi makin kesini makin parah.... Pelayanan kurang baik dan kurang cerdas.... Apa karna ada saldo gw di akun gw makanya di persulit??? Mau kriminal kah??????",admin becus kerja konfirmasi kehilangan nomor suruh megirimkan selfi pegang ktp turuti over admin meminta persyaratan kerja lebih baik perlu kerja nomor call center hubugi kesini parah pelayanan kurang baik kurang cerdas saldo akun persulit kriminal kah
"Salah 1 pengguna yg sangat2 kecewa ma Ovo, udh top up token tengah malam, token gag masuk, adm cm blg mohon ditunggu 24 jam & mohon maaf atas ketidaknyamanannya. Masa y kita diminta seharian gelap2n??? Udh fee nya mahal, gag jelas pula. Mending pakai Mbanking ato ke gerai isi ulang aja, pasti jelas2 masuk",salah pengguna kecewa udah top up token tengah malam token masuk adm bilang ditunggu jam maaf atas ketidaknyamanannya masa diminta seharian gelap udah fee mahal jelas lebih baik pakai mbanking gerai isi ulang jelas masuk
"Jelek..jangan coba2 pakai ovo,transfer ke rekening bank,status berhasil tapi uang tidak masuk ke rekening,minta pertanggung jawaban suruh nunggu,udah 10 hari kita konfirmasi lagi.tau tau akun kita di blokir otomatis.aplikasi sampah merugukin orang lain semoga tahun depan anda bangkruttttttt",jelek coba pakai transfer rekening bank status berhasil uang masuk rekening meminta pertanggung jawaban suruh menunggu konfirmasi tahu tahu akun blokir otomatis sampah merugukin orang semoga tahun bangkrut
"tolong cepat di berikan tindakan perbaikan server nya pada saat transfer ke sesama pengguna ovo,saya dari semalam hingga ke pagi ini masih saja belum bisa melakukan transfer pembayaran sangat memalukan jika dalam waktu selama itu masih belum ada tindakan apa Apun dari pihak ovo.... Kipakkkk lah......",cepat berikan tindakan perbaikan server transfer pengguna semalam pagi melakukan transfer pembayaran memalukan waktu tindakan apapun pihak kipak
Sumpah ni apk mulai bermasalah. Kemrin saya isi pulsaku sendiri yg 75k terganggu saya tunggu 1x24 eh di cancel tapi saldoku terpotong. Samai sekarang belum dikembalikan saldoku. Ini sudah ke dua kalinya terjadi samaku. Aq hubungin adminnya malah adminnya bilang tidak tau. Mulai gak jelas kalau seperti begini. Ini bukan dibuat2 tapi benar sudah terjadi samaku. Hati2 kawan kawan. Mendingan pakai Apk DANA,sumpah mulai bermasalah kemrin isi pulsaku terganggu tunggu eh batal saldoku terpotong samai dikembalikan saldoku dua kalinya terjadi samaku hubungin adminnya adminnya bilang tahu mulai jelas dibuat benar terjadi samaku hati kawan kawan mendingan pakai
ayo apus ovo skrgg!!! saya verivikasi drtd nomor nya kaga masuk . sangat merugikan . pake dana aja lebih bersahabat!!!!!!mana saya habis transfer dari dana ke ovo. sangat merugikan duit nya ga masuk !!!,ayo hapus skrgg verivikasi dari tadi nomor masuk merugikan pakai bersahabat habis transfer merugikan duit masuk
"Duh ini kenapa ya? Saya kemarin ngisi grab pake ovo 50ribu, pagi ini ada potongan dari PFI Mega Life 11.200 padahal saya gak merasa berlangganan apapun di grab? Saya cek riwayat tidak ada satupun tagihan kok terpotong? Gimana nih penjelasannya?",aduh kemarin mengisi grab pakai ribu pagi potongan pfi mega life merasa berlangganan apapun grab cek riwayat satupun tagihan terpotong penjelasannya
"Setelah di update tidak bisa upgrade ke akun premium. Padahal sudah sesuai prosedur yang ditulis. Mulai dari foto ktp asli, gambar sudah jelas dan tidak blur. Tp tetap g bisa dan suruh diulang. Mohon segera diperbaiki. Terima kasih",update upgrade akun premium sesuai prosedur ditulis mulai foto ktp asli gambar jelas blur tetap suruh diulang diperbaiki terima
Gimana nya ini aplikasi nya. Sy pengguna ovo premier. Saya mendapatkan transferan sesama ovo. Tp sdh 10jam saldo sy tidak bertambah. Aplikasi bujang nya ini. Jgn di downlod rugi klen nanti.uang kalian hilang. Klow ovo nya ngk senang bs hub ke no sy,pengguna premier mendapatkan transferan jam saldo bertambah bujang downlod rugi uang hilang senang hubungi no
sumpah ini aplikasi gak jelas!!! upgrate foto ktp selalu di tolak padahal ktp masih mulus gak ada cacatnya. selanjutnya mau hapus akun aja Malah tambah Ruwet!!!!!!!! pokoknya ini aplikasi sangat ribetttt,sumpah jelas upgrate foto ktp tolak ktp mulus cacatnya selanjutnya hapus akun tambah ruwet pokoknya ribet
