,tweet,labels
12563,wanita yang paling malang di dunia adalah wanita yang tersalah pilih suami isteri adalah cerminan suami cantik suamimu cant ,-1
7055,kecewa banget sama carefour yang memaksa harus beli tas ketika belanja . paling tidak diberikan opsi ketika membawa barang belanjaan .,-1
17403,sapa nak layan perangai annoying aku ni nanti wei,-1
2351,"bani kampret doyan micin kalau pakde jokowi imlek pasti dibilang haramlah dan antek kafirlah tapi coba kalau anies cari muka pakai baju imlek dan ke vihara petak sembilan , apakah sialan masih konsisten berani mengucapkan ke anies haram juga dan antek kafir ?",-1
11241,"jokowi janji satu muharam hari santri . demi dia terpilih , 360 hari akan dijanjikan ke semua orang . sinting !",-1
3026,"resto sunda yang didesain seperti dangau atau gubuk kecil di tengah sawah , karena sawah masih dibiarkan alami disekeliling dangau . dengan jalan setapak seakan berjalan di tengah pematang sawah . sensasi makan tersendiri bagi kita yang bosan dengan rutinitas makan di meja makan di rumah . untuk menu yang ditawarkan kurang lebih sama dengan restoran sunda lainnya .",1
20394,maknanya jodoh kita kuat tapi kena kuatkan lagi ,1
8125,"untuk pertemuan ngobrol santai maupun bisnis , tempat ini cukup representatif dan menyenangkan . suasana nya tenang dan menyenangkan . tempat nya tidak terlalu besar , begitu juga daya tampung untuk parkir mobil . menu cukup bervariasi , dari menu utama hingga sekedar camilan . begitu juga dengan menu minuman nya .",1
7643,"makanan nya yang harus gue akui enak banget , pemandangan juga baik , kamar nya juga lumayan , yang bagus di karavan , buat anak-anak juga lengkap banget , buat bulan madu juga oke banget .",1
5769,"soal rasa sih tidak perlu diragukan deh ya . waktu itu karena baru buka jadi ada promo dapat es krim gratis kalau ngetweet cek in di lokasi . tempat nya yang bagian belakang saya luas , lebih enak .",1
4179,tempat nya nyaman tenang dan enak . bisa untuk foto-foto . santai bersama keluarga menikmati angin sepoi sepoi .,1
7937,"minimal ini bagaimana claim unlimited youtube , masa iya tetap dipotong kuota utama nya , alay dah .",-1
8345,restoran dengan dua tempat . menyajikan pemandangan kota bandung yang sangat cantik . rasa makanan sangat enak dan cocok untuk lidah orang indonesia . harga cukup mahal . tapi sesuai dengan rasa .,1
5361,"makan bersama keluarga di rumah yang dijadikan restoran . memang mi naripan terkenal tetapi harga nya tidak masuk akal , pelayanan juga buruk tidak ramah , harga untuk semangkuk mi dan nasi tim sangat mahal . padahal di tempat berbeda dengan menu sama , banyak yang harga nya lebih murah dan enak",1
16002,serem anjr,-1
18039,malapetaka terbesar umat ini bukanlah bencana bumi tetapi bala yang sebenar ialah agamawan yang hil ,-1
19713,ya memang sih ada yg pesimis dgn blg lah ngomong doang mah gampang tp anak muda kan sering diremehin dan banyak pre ,-1
19201,niat lingga cuma nonton bola apa daya fanatik lebih kuasa atas diriinya ,-1
23282,vaksin mencegah penyakit infeksi covid cina coronavac diuji klinis tahap akhir fase relawan bandung,-1
11785,di bandung dengan begitu banyak pilihan makanan kami memutuskan untuk mampir ke batagor riri . dengan harga yang tinggi tapi ternyata rasa batagor nya biasa saja . bagi yang belum pernah mencoba kami tidak merekomendasikan nya kecuali kalau anda memang sangat penasaran .,1
21776,gapantes dikasih kita kita mah apalagi elu,-1
18298,astaghfirullahaladzim begitu keji dan jahat kalian memperlakukan seorang perempuan,-1
17986,hospital is canceled ,-1
